id,district_id,electoral_district_id,eligible_voters,voters,invalid_votes,valid_votes,vote_yes,vote_no,voter_turnout,invalid_votes_percentage,valid_votes_percentage,vote_yes_percentage,vote_no_percentage
01212,01,212,3370,785,1,784,769,15,0.23293768545994065,0.0012738853503184713,0.9987261146496815,0.9796178343949045,0.01910828025477707
01214,01,214,3038,689,1,688,675,13,0.22679394338380512,0.001451378809869376,0.9985486211901307,0.9796806966618288,0.018867924528301886
01217,01,217,2151,443,0,443,432,11,0.20595072059507205,0.0,1.0,0.9751693002257337,0.024830699774266364
01219,01,219,3364,815,0,815,803,12,0.24227110582639716,0.0,1.0,0.9852760736196319,0.014723926380368098
01221,01,221,3838,906,0,906,886,20,0.23606044815007818,0.0,1.0,0.977924944812362,0.02207505518763797
01300,01,300,3186,547,0,547,534,13,0.1716886377903327,0.0,1.0,0.9762340036563071,0.02376599634369287
01302,01,302,2793,517,0,517,503,14,0.18510562119584675,0.0,1.0,0.9729206963249516,0.027079303675048357
01305,01,305,3224,703,1,702,694,8,0.21805210918114143,0.001422475106685633,0.9985775248933144,0.9871977240398293,0.011379800853485065
01307,01,307,2777,495,0,495,480,15,0.17824990997479295,0.0,1.0,0.9696969696969697,0.030303030303030304
01308,01,308,2091,295,2,293,284,9,0.1410808225729316,0.006779661016949152,0.9932203389830508,0.9627118644067797,0.030508474576271188
01312,01,312,2404,593,0,593,588,5,0.2466722129783694,0.0,1.0,0.9915682967959528,0.008431703204047217
01315,01,315,2274,578,0,578,574,4,0.2541776605101143,0.0,1.0,0.9930795847750865,0.006920415224913495
01317,01,317,3595,807,0,807,787,20,0.22447844228094577,0.0,1.0,0.9752168525402726,0.024783147459727387
01321,01,321,2339,376,0,376,372,4,0.16075245831551946,0.0,1.0,0.9893617021276596,0.010638297872340425
01323,01,323,2205,361,0,361,355,6,0.163718820861678,0.0,1.0,0.9833795013850416,0.01662049861495845
01325,01,325,2625,331,0,331,330,1,0.1260952380952381,0.0,1.0,0.9969788519637462,0.0030211480362537764
01327,01,327,2936,410,0,410,399,11,0.1396457765667575,0.0,1.0,0.973170731707317,0.026829268292682926
01400,01,400,3332,419,1,418,407,11,0.125750300120048,0.002386634844868735,0.9976133651551312,0.9713603818615751,0.026252983293556086
01403,01,403,2655,499,0,499,488,11,0.18794726930320152,0.0,1.0,0.9779559118236473,0.022044088176352707
01404,01,404,2573,510,0,510,507,3,0.19821220365332298,0.0,1.0,0.9941176470588236,0.0058823529411764705
01405,01,405,1906,323,0,323,318,5,0.1694648478488982,0.0,1.0,0.9845201238390093,0.015479876160990712
01409,01,409,3172,677,0,677,663,14,0.21343001261034047,0.0,1.0,0.9793205317577548,0.0206794682422452
01414,01,414,2056,342,0,342,338,4,0.16634241245136186,0.0,1.0,0.9883040935672515,0.011695906432748537
01415,01,415,2880,502,0,502,490,12,0.17430555555555555,0.0,1.0,0.9760956175298805,0.02390438247011952
01416,01,416,3623,699,1,698,679,19,0.19293403256969363,0.001430615164520744,0.9985693848354793,0.9713876967095851,0.027181688125894134
01421,01,421,2781,478,1,477,468,9,0.17188061848256023,0.0020920502092050207,0.997907949790795,0.9790794979079498,0.01882845188284519
01425,01,425,2740,515,0,515,495,20,0.18795620437956204,0.0,1.0,0.9611650485436893,0.038834951456310676
01427,01,427,2911,530,0,530,523,7,0.18206801786327723,0.0,1.0,0.9867924528301887,0.013207547169811321
01431,01,431,3080,482,1,481,474,7,0.1564935064935065,0.002074688796680498,0.9979253112033195,0.983402489626556,0.014522821576763486
01500,01,500,3136,568,2,566,550,16,0.18112244897959184,0.0035211267605633804,0.9964788732394366,0.9683098591549296,0.028169014084507043
01504,01,504,3129,537,0,537,532,5,0.1716203259827421,0.0,1.0,0.9906890130353817,0.00931098696461825
01505,01,505,2705,629,1,628,620,8,0.23253234750462107,0.001589825119236884,0.9984101748807631,0.985691573926868,0.012718600953895072
01508,01,508,2218,437,0,437,433,4,0.19702434625789,0.0,1.0,0.9908466819221968,0.009153318077803204
01510,01,510,2216,325,0,325,316,9,0.1466606498194946,0.0,1.0,0.9723076923076923,0.027692307692307693
01512,01,512,2150,377,0,377,369,8,0.17534883720930233,0.0,1.0,0.9787798408488063,0.021220159151193633
01513,01,513,2586,347,0,347,340,7,0.13418406805877803,0.0,1.0,0.9798270893371758,0.020172910662824207
01516,01,516,3134,591,0,591,580,11,0.1885768985322272,0.0,1.0,0.9813874788494078,0.018612521150592216
01519,01,519,2449,636,0,636,624,12,0.2596978358513679,0.0,1.0,0.9811320754716981,0.018867924528301886
01522,01,522,2397,329,2,327,321,6,0.13725490196078433,0.0060790273556231,0.993920972644377,0.9756838905775076,0.0182370820668693
01524,01,524,2107,330,1,329,326,3,0.15662078785002373,0.0030303030303030303,0.996969696969697,0.9878787878787879,0.00909090909090909
01528,01,528,3201,598,2,596,582,14,0.18681661980631054,0.0033444816053511705,0.9966555183946488,0.9732441471571907,0.023411371237458192
01600,01,600,2182,294,0,294,288,6,0.13473877176901924,0.0,1.0,0.9795918367346939,0.02040816326530612
01601,01,601,3098,378,0,378,371,7,0.12201420271142673,0.0,1.0,0.9814814814814815,0.018518518518518517
01602,01,602,1911,404,1,403,395,8,0.21140763997906856,0.0024752475247524753,0.9975247524752475,0.9777227722772277,0.019801980198019802
01603,01,603,2669,358,0,358,349,9,0.13413263394529787,0.0,1.0,0.9748603351955307,0.025139664804469275
01605,01,605,2919,425,0,425,420,5,0.14559780746831105,0.0,1.0,0.9882352941176471,0.011764705882352941
01612,01,612,2090,328,0,328,316,12,0.1569377990430622,0.0,1.0,0.9634146341463414,0.036585365853658534
01613,01,613,3166,424,0,424,419,5,0.13392293114339862,0.0,1.0,0.9882075471698113,0.01179245283018868
01617,01,617,2222,261,0,261,256,5,0.11746174617461747,0.0,1.0,0.9808429118773946,0.019157088122605363
01620,01,620,1954,243,0,243,236,7,0.12436028659160696,0.0,1.0,0.9711934156378601,0.02880658436213992
01623,01,623,2938,450,0,450,428,22,0.1531654186521443,0.0,1.0,0.9511111111111111,0.04888888888888889
01624,01,624,2451,365,0,365,354,11,0.1489188086495308,0.0,1.0,0.9698630136986301,0.030136986301369864
01627,01,627,2771,340,2,338,329,9,0.12269938650306748,0.0058823529411764705,0.9941176470588236,0.9676470588235294,0.026470588235294117
01632,01,632,2308,460,2,458,443,15,0.19930675909878684,0.004347826086956522,0.9956521739130435,0.9630434782608696,0.03260869565217391
01634,01,634,2692,409,1,408,397,11,0.15193164933135214,0.0024449877750611247,0.9975550122249389,0.9706601466992665,0.02689486552567237
021A,02,1A,0,506,0,506,483,23,inf,0.0,1.0,0.9545454545454546,0.045454545454545456
021B,02,1B,0,677,0,677,667,10,inf,0.0,1.0,0.9852289512555391,0.014771048744460856
021C,02,1C,0,371,0,371,361,10,inf,0.0,1.0,0.9730458221024259,0.026954177897574125
021D,02,1D,0,617,1,616,612,4,inf,0.0016207455429497568,0.9983792544570502,0.9918962722852512,0.006482982171799027
