address,district_id,district_name,electoral_district_type,electoral_district_id,postal_voting_district_id,electoral_district_berlin_election_id,electoral_district_federal_election_id,berlin_east_west,eligible_voters,eligible_voters_a1,eligible_voters_a1_percentage,eligible_voters_a2,eligible_voters_a2_percentage,eligible_voters_a3,eligible_voters_a3_percentage,voters,voters_percentage,voters_with_voting_license,voters_with_voting_license_percentage,valid_votes,valid_votes_percentage,invalid_votes,invalid_votes_percentage,party_grüne,party_grüne_percentage,party_cdu,party_cdu_percentage,party_spd,party_spd_percentage,party_die_linke,party_die_linke_percentage,party_afd,party_afd_percentage,party_die_partei,party_die_partei_percentage,party_fdp,party_fdp_percentage,party_tierschutzpartei,party_tierschutzpartei_percentage,party_mera25,party_mera25_percentage,party_volt,party_volt_percentage,party_piraten,party_piraten_percentage,party_familie,party_familie_percentage,party_ödp,party_ödp_percentage,party_freie_wähler,party_freie_wähler_percentage,party_tierschutz_hier,party_tierschutz_hier_percentage,party_big,party_big_percentage,party_verjüngungsforschung,party_verjüngungsforschung_percentage,party_pdh,party_pdh_percentage,party_heimat,party_heimat_percentage,party_dkp,party_dkp_percentage,party_menschliche_welt,party_menschliche_welt_percentage,party_bündnis_c,party_bündnis_c_percentage,party_mlpd,party_mlpd_percentage,party_sgp,party_sgp_percentage,party_abg,party_abg_percentage,party_die_basis,party_die_basis_percentage,party_bündnis_deutschand,party_bündnis_deutschand_percentage,party_bsw,party_bsw_percentage,party_dawa,party_dawa_percentage,party_klimaliste,party_klimaliste_percentage,party_letzte_generation,party_letzte_generation_percentage,party_pdv,party_pdv_percentage,party_pdf,party_pdf_percentage,party_v_partei3,party_v_partei3_percentage,aufn
01W110,01,Mitte,W,110,011E,1,75,O,973,612,62.9,361,37.1,0,0.0,409,42.0,10,2.4,409,100.0,0,0.0,123,30.1,54,13.2,47,11.5,25,6.1,22,5.4,13,3.2,26,6.4,4,1.0,4,1.0,50,12.2,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,28,6.8,1,0.2,0,0.0,6,1.5,0,0.0,1,0.2,0,0.0,
01W111,01,Mitte,W,111,011H,1,75,O,1098,807,73.5,291,26.5,0,0.0,290,26.4,3,1.0,289,99.7,1,0.3,52,18.0,51,17.6,41,14.2,27,9.3,41,14.2,9,3.1,11,3.8,9,3.1,6,2.1,9,3.1,4,1.4,0,0.0,1,0.3,1,0.3,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.7,2,0.7,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3,17,5.9,3,1.0,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,
01W112,01,Mitte,W,112,011H,1,75,O,707,441,62.4,266,37.6,0,0.0,283,40.0,12,4.2,282,99.6,1,0.4,93,33.0,33,11.7,39,13.8,14,5.0,14,5.0,14,5.0,15,5.3,6,2.1,5,1.8,24,8.5,2,0.7,0,0.0,0,0.0,1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.7,15,5.3,0,0.0,0,0.0,5,1.8,0,0.0,0,0.0,0,0.0,
01W113,01,Mitte,W,113,011I,1,75,O,1002,608,60.7,394,39.3,0,0.0,465,46.4,13,2.8,464,99.8,1,0.2,172,37.1,55,11.9,49,10.6,44,9.5,20,4.3,14,3.0,22,4.7,3,0.6,10,2.2,50,10.8,0,0.0,0,0.0,0,0.0,1,0.2,1,0.2,0,0.0,0,0.0,2,0.4,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,11,2.4,0,0.0,3,0.6,4,0.9,0,0.0,1,0.2,0,0.0,
01W114,01,Mitte,W,114,011I,1,75,O,970,580,59.8,390,40.2,0,0.0,416,42.9,15,3.6,415,99.8,1,0.2,144,34.7,39,9.4,41,9.9,26,6.3,21,5.1,19,4.6,24,5.8,6,1.4,11,2.7,46,11.1,0,0.0,2,0.5,1,0.2,1,0.2,0,0.0,1,0.2,2,0.5,2,0.5,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,20,4.8,1,0.2,3,0.7,2,0.5,0,0.0,0,0.0,1,0.2,
01W115,01,Mitte,W,115,011L,1,75,O,1219,760,62.3,459,37.7,0,0.0,512,42.0,20,3.9,509,99.4,3,0.6,195,38.3,52,10.2,48,9.4,39,7.7,17,3.3,25,4.9,18,3.5,4,0.8,13,2.6,44,8.6,1,0.2,0,0.0,4,0.8,1,0.2,1,0.2,2,0.4,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,2,0.4,0,0.0,0,0.0,0,0.0,2,0.4,1,0.2,27,5.3,3,0.6,0,0.0,5,1.0,0,0.0,3,0.6,1,0.2,
01W116,01,Mitte,W,116,011M,1,75,O,1289,775,60.1,514,39.9,0,0.0,481,37.3,13,2.7,478,99.4,3,0.6,166,34.7,39,8.2,47,9.8,35,7.3,16,3.3,20,4.2,37,7.7,4,0.8,6,1.3,58,12.1,4,0.8,0,0.0,3,0.6,1,0.2,3,0.6,0,0.0,0,0.0,1,0.2,0,0.0,1,0.2,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,1,0.2,2,0.4,24,5.0,0,0.0,1,0.2,4,0.8,0,0.0,3,0.6,1,0.2,
01W117,01,Mitte,W,117,011N,1,75,O,1202,743,61.8,459,38.2,0,0.0,492,40.9,8,1.6,490,99.6,2,0.4,150,30.6,47,9.6,52,10.6,33,6.7,25,5.1,19,3.9,30,6.1,9,1.8,22,4.5,52,10.6,3,0.6,0,0.0,2,0.4,3,0.6,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,2,0.4,31,6.3,0,0.0,2,0.4,2,0.4,1,0.2,1,0.2,0,0.0,
01W118,01,Mitte,W,118,011N,1,75,O,754,467,61.9,287,38.1,0,0.0,331,43.9,8,2.4,331,100.0,0,0.0,118,35.6,33,10.0,36,10.9,20,6.0,16,4.8,12,3.6,19,5.7,6,1.8,11,3.3,29,8.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3,26,7.9,0,0.0,0,0.0,3,0.9,0,0.0,0,0.0,0,0.0,
01W119,01,Mitte,W,119,011L,1,75,O,1073,651,60.7,422,39.3,0,0.0,438,40.8,13,3.0,438,100.0,0,0.0,145,33.1,44,10.0,48,11.0,37,8.4,26,5.9,14,3.2,28,6.4,5,1.1,9,2.1,41,9.4,1,0.2,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,1,0.2,1,0.2,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5,32,7.3,1,0.2,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,
01W120,01,Mitte,W,120,011M,1,75,O,1061,664,62.6,397,37.4,0,0.0,426,40.2,9,2.1,424,99.5,2,0.5,148,34.9,36,8.5,43,10.1,25,5.9,40,9.4,19,4.5,27,6.4,5,1.2,9,2.1,28,6.6,0,0.0,0,0.0,3,0.7,2,0.5,0,0.0,0,0.0,0,0.0,2,0.5,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,2,0.5,24,5.7,1,0.2,1,0.2,4,0.9,2,0.5,1,0.2,0,0.0,
01W121,01,Mitte,W,121,011J,1,75,O,1186,767,64.7,419,35.3,0,0.0,471,39.7,10,2.1,471,100.0,0,0.0,131,27.8,44,9.3,51,10.8,51,10.8,32,6.8,10,2.1,30,6.4,9,1.9,9,1.9,41,8.7,3,0.6,4,0.8,1,0.2,2,0.4,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,1,0.2,45,9.6,0,0.0,0,0.0,3,0.6,0,0.0,0,0.0,0,0.0,
01W122,01,Mitte,W,122,011J,1,75,O,1162,786,67.6,376,32.4,0,0.0,527,45.4,13,2.5,527,100.0,0,0.0,154,29.2,50,9.5,66,12.5,38,7.2,26,4.9,33,6.3,36,6.8,4,0.8,11,2.1,55,10.4,1,0.2,1,0.2,2,0.4,2,0.4,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,35,6.6,1,0.2,0,0.0,3,0.6,0,0.0,5,0.9,1,0.2,
01W123,01,Mitte,W,123,011K,1,75,O,1233,763,61.9,470,38.1,0,0.0,505,41.0,9,1.8,504,99.8,1,0.2,163,32.3,44,8.7,49,9.7,40,7.9,41,8.1,18,3.6,28,5.6,3,0.6,13,2.6,47,9.3,5,1.0,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,1,0.2,4,0.8,0,0.0,1,0.2,2,0.4,0,0.0,0,0.0,0,0.0,0,0.0,2,0.4,0,0.0,32,6.3,0,0.0,1,0.2,3,0.6,0,0.0,4,0.8,1,0.2,
01W124,01,Mitte,W,124,011P,1,75,O,927,504,54.4,423,45.6,0,0.0,352,38.0,14,4.0,352,100.0,0,0.0,114,32.4,33,9.4,34,9.7,28,8.0,14,4.0,10,2.8,30,8.5,4,1.1,12,3.4,42,11.9,1,0.3,1,0.3,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,5.7,0,0.0,0,0.0,6,1.7,0,0.0,2,0.6,0,0.0,
01W125,01,Mitte,W,125,011P,1,75,O,890,599,67.3,291,32.7,0,0.0,372,41.8,9,2.4,372,100.0,0,0.0,110,29.6,56,15.1,45,12.1,25,6.7,18,4.8,13,3.5,28,7.5,5,1.3,3,0.8,47,12.6,1,0.3,0,0.0,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,3.2,0,0.0,0,0.0,2,0.5,0,0.0,2,0.5,2,0.5,
01W126,01,Mitte,W,126,011G,1,75,O,1170,731,62.5,439,37.5,0,0.0,434,37.1,11,2.5,433,99.8,1,0.2,117,27.0,40,9.2,54,12.5,29,6.7,33,7.6,19,4.4,35,8.1,1,0.2,6,1.4,42,9.7,2,0.5,0,0.0,2,0.5,3,0.7,0,0.0,1,0.2,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,37,8.5,2,0.5,0,0.0,3,0.7,0,0.0,2,0.5,3,0.7,
01W127,01,Mitte,W,127,011G,1,75,O,1231,790,64.2,441,35.8,0,0.0,517,42.0,22,4.3,517,100.0,0,0.0,161,31.1,58,11.2,52,10.1,44,8.5,27,5.2,36,7.0,34,6.6,6,1.2,7,1.4,36,7.0,3,0.6,2,0.4,0,0.0,0,0.0,3,0.6,0,0.0,0,0.0,2,0.4,0,0.0,2,0.4,0,0.0,1,0.2,1,0.2,0,0.0,0,0.0,2,0.4,0,0.0,26,5.0,2,0.4,0,0.0,8,1.5,0,0.0,4,0.8,0,0.0,
01W128,01,Mitte,W,128,011K,1,75,O,1242,851,68.5,391,31.5,0,0.0,503,40.5,18,3.6,500,99.4,3,0.6,108,21.6,69,13.8,39,7.8,47,9.4,58,11.6,20,4.0,27,5.4,11,2.2,14,2.8,31,6.2,2,0.4,3,0.6,1,0.2,2,0.4,0,0.0,2,0.4,1,0.2,4,0.8,0,0.0,4,0.8,2,0.4,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,4,0.8,36,7.2,2,0.4,0,0.0,6,1.2,0,0.0,5,1.0,1,0.2,
01W129,01,Mitte,W,129,011F,1,75,O,1071,657,61.3,414,38.7,0,0.0,366,34.2,8,2.2,366,100.0,0,0.0,76,20.8,49,13.4,39,10.7,30,8.2,28,7.7,18,4.9,28,7.7,5,1.4,8,2.2,34,9.3,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5,41,11.2,1,0.3,2,0.5,2,0.5,0,0.0,1,0.3,0,0.0,
01B1A,01,Mitte,B,1A,011A,1,75,W,0,0,0.0,0,0.0,0,0.0,447,0.0,447,100.0,447,100.0,0,0.0,121,27.1,84,18.8,45,10.1,25,5.6,20,4.5,20,4.5,29,6.5,6,1.3,10,2.2,40,8.9,2,0.4,0,0.0,1,0.2,2,0.4,4,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.4,0,0.0,0,0.0,0,0.0,0,0.0,2,0.4,1,0.2,19,4.3,7,1.6,1,0.2,3,0.7,0,0.0,2,0.4,1,0.2,
01B1B,01,Mitte,B,1B,011B,1,75,W,0,0,0.0,0,0.0,0,0.0,781,0.0,781,100.0,781,100.0,0,0.0,222,28.4,158,20.2,95,12.2,23,2.9,28,3.6,19,2.4,96,12.3,3,0.4,9,1.2,76,9.7,4,0.5,1,0.1,0,0.0,3,0.4,0,0.0,0,0.0,1,0.1,2,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,1,0.1,24,3.1,0,0.0,0,0.0,7,0.9,0,0.0,8,1.0,0,0.0,
01B1C,01,Mitte,B,1C,011C,1,75,O,0,0,0.0,0,0.0,0,0.0,657,0.0,657,100.0,654,99.5,3,0.5,185,28.3,108,16.5,102,15.6,31,4.7,19,2.9,16,2.4,72,11.0,11,1.7,8,1.2,53,8.1,2,0.3,0,0.0,4,0.6,0,0.0,2,0.3,0,0.0,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,2,0.3,29,4.4,2,0.3,0,0.0,4,0.6,0,0.0,1,0.2,0,0.0,
01B1D,01,Mitte,B,1D,011D,1,75,O,0,0,0.0,0,0.0,0,0.0,691,0.0,691,100.0,689,99.7,2,0.3,242,35.1,90,13.1,66,9.6,39,5.7,20,2.9,17,2.5,82,11.9,6,0.9,7,1.0,62,9.0,8,1.2,2,0.3,1,0.1,6,0.9,2,0.3,0,0.0,1,0.1,5,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.3,2,0.3,18,2.6,0,0.0,0,0.0,7,1.0,0,0.0,2,0.3,2,0.3,
01B1E,01,Mitte,B,1E,011E,1,75,O,0,0,0.0,0,0.0,0,0.0,669,0.0,669,100.0,668,99.9,1,0.1,237,35.5,98,14.7,79,11.8,43,6.4,15,2.2,18,2.7,48,7.2,1,0.1,8,1.2,58,8.7,4,0.6,0,0.0,0,0.0,4,0.6,0,0.0,0,0.0,0,0.0,6,0.9,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,42,6.3,0,0.0,0,0.0,2,0.3,0,0.0,3,0.4,0,0.0,
01B1F,01,Mitte,B,1F,011F,1,75,O,0,0,0.0,0,0.0,0,0.0,833,0.0,833,100.0,833,100.0,0,0.0,207,24.8,173,20.8,104,12.5,38,4.6,41,4.9,20,2.4,107,12.8,4,0.5,4,0.5,64,7.7,0,0.0,1,0.1,0,0.0,5,0.6,1,0.1,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.2,56,6.7,0,0.0,0,0.0,2,0.2,0,0.0,3,0.4,0,0.0,
01B1G,01,Mitte,B,1G,011G,1,75,O,0,0,0.0,0,0.0,0,0.0,799,0.0,799,100.0,798,99.9,1,0.1,246,30.8,122,15.3,77,9.6,57,7.1,37,4.6,35,4.4,58,7.3,10,1.3,8,1.0,73,9.1,1,0.1,0,0.0,1,0.1,1,0.1,1,0.1,0,0.0,1,0.1,2,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.4,55,6.9,0,0.0,2,0.3,7,0.9,0,0.0,1,0.1,0,0.0,
01B1H,01,Mitte,B,1H,011H,1,75,O,0,0,0.0,0,0.0,0,0.0,495,0.0,495,100.0,493,99.6,2,0.4,113,22.9,97,19.7,77,15.6,35,7.1,30,6.1,10,2.0,38,7.7,9,1.8,10,2.0,29,5.9,0,0.0,0,0.0,0,0.0,2,0.4,4,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.4,0,0.0,0,0.0,0,0.0,0,0.0,3,0.6,28,5.7,2,0.4,1,0.2,2,0.4,0,0.0,1,0.2,0,0.0,
01B1I,01,Mitte,B,1I,011I,1,75,O,0,0,0.0,0,0.0,0,0.0,699,0.0,699,100.0,698,99.9,1,0.1,293,42.0,72,10.3,72,10.3,41,5.9,17,2.4,16,2.3,61,8.7,7,1.0,12,1.7,48,6.9,2,0.3,0,0.0,3,0.4,3,0.4,0,0.0,1,0.1,0,0.0,3,0.4,0,0.0,0,0.0,2,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,32,4.6,0,0.0,4,0.6,6,0.9,0,0.0,1,0.1,1,0.1,
01B1J,01,Mitte,B,1J,011J,1,75,O,0,0,0.0,0,0.0,0,0.0,726,0.0,726,100.0,725,99.9,1,0.1,242,33.4,75,10.3,91,12.6,63,8.7,23,3.2,32,4.4,59,8.1,7,1.0,7,1.0,62,8.6,3,0.4,0,0.0,3,0.4,5,0.7,1,0.1,2,0.3,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,2,0.3,1,0.1,30,4.1,0,0.0,2,0.3,9,1.2,0,0.0,3,0.4,1,0.1,
01B1K,01,Mitte,B,1K,011K,1,75,O,0,0,0.0,0,0.0,0,0.0,755,0.0,755,100.0,754,99.9,1,0.1,246,32.6,115,15.3,82,10.9,39,5.2,27,3.6,10,1.3,59,7.8,4,0.5,7,0.9,74,9.8,1,0.1,2,0.3,3,0.4,0,0.0,2,0.3,2,0.3,0,0.0,1,0.1,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.3,1,0.1,68,9.0,0,0.0,1,0.1,7,0.9,0,0.0,0,0.0,0,0.0,
01B1L,01,Mitte,B,1L,011L,1,75,O,0,0,0.0,0,0.0,0,0.0,819,0.0,819,100.0,819,100.0,0,0.0,293,35.8,91,11.1,89,10.9,67,8.2,30,3.7,21,2.6,56,6.8,11,1.3,5,0.6,75,9.2,4,0.5,1,0.1,2,0.2,1,0.1,2,0.2,0,0.0,0,0.0,1,0.1,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.4,2,0.2,51,6.2,2,0.2,1,0.1,7,0.9,0,0.0,2,0.2,1,0.1,
01B1M,01,Mitte,B,1M,011M,1,75,O,0,0,0.0,0,0.0,0,0.0,819,0.0,819,100.0,818,99.9,1,0.1,343,41.9,70,8.6,79,9.7,63,7.7,20,2.4,23,2.8,56,6.8,13,1.6,14,1.7,69,8.4,4,0.5,1,0.1,1,0.1,3,0.4,1,0.1,0,0.0,0,0.0,3,0.4,0,0.0,3,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36,4.4,0,0.0,5,0.6,7,0.9,0,0.0,4,0.5,0,0.0,
01B1N,01,Mitte,B,1N,011N,1,75,O,0,0,0.0,0,0.0,0,0.0,675,0.0,675,100.0,675,100.0,0,0.0,275,40.7,64,9.5,54,8.0,54,8.0,15,2.2,19,2.8,61,9.0,4,0.6,8,1.2,70,10.4,2,0.3,0,0.0,3,0.4,1,0.1,1,0.1,1,0.1,0,0.0,2,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,1,0.1,30,4.4,0,0.0,3,0.4,5,0.7,1,0.1,0,0.0,0,0.0,
