address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,berlin_east_west,electoral_district_berlin_election_id,electoral_district_federal_election_id,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_cdu,party_cdu_percentage,party_grüne,party_grüne_percentage,party_die_linke,party_die_linke_percentage,party_afd,party_afd_percentage,party_fdp,party_fdp_percentage,others,others_percentage
01W122,01,Mitte,122,W,1J,O,1,75,1139,589,1,588,65,11.1,39,6.6,276,46.9,60,10.2,18,3.1,26,4.4
01W123,01,Mitte,123,W,1K,O,1,75,1228,592,1,591,55,9.3,47,8,258,43.7,71,12,28,4.7,27,4.6
01W124,01,Mitte,124,W,1P,O,1,75,777,406,0,406,41,10.1,40,9.9,179,44.1,32,7.9,11,2.7,37,9.1
01W125,01,Mitte,125,W,1P,O,1,75,834,420,0,420,45,10.7,33,7.9,195,46.4,26,6.2,17,4,38,9
01W126,01,Mitte,126,W,1G,O,1,75,1150,558,2,556,57,10.3,40,7.2,211,37.9,71,12.8,41,7.4,51,9.2
01W127,01,Mitte,127,W,1G,O,1,75,1163,558,4,554,41,7.4,41,7.4,250,45.1,69,12.5,23,4.2,37,6.7
01W128,01,Mitte,128,W,1K,O,1,75,1176,537,4,533,52,9.8,72,13.5,190,35.6,58,10.9,48,9,37,6.9
01W129,01,Mitte,129,W,1F,O,1,75,997,404,1,403,35,8.7,77,19.1,109,27,38,9.4,29,7.2,52,12.9
01W200,01,Mitte,200,W,2A,O,2,75,885,357,5,352,47,13.4,57,16.2,68,19.3,51,14.5,53,15.1,22,6.3
01W201,01,Mitte,201,W,2A,O,2,75,1100,491,4,487,49,10.1,92,18.9,115,23.6,57,11.7,46,9.4,47,9.7
01W202,01,Mitte,202,W,2B,O,2,75,1288,432,4,428,48,11.2,61,14.3,87,20.3,68,15.9,49,11.4,28,6.5
01W203,01,Mitte,203,W,2A,O,2,75,1070,339,3,336,39,11.6,44,13.1,60,17.9,65,19.3,40,11.9,18,5.4
01W204,01,Mitte,204,W,2D,O,2,75,1276,547,4,543,67,12.3,60,11,139,25.6,103,19,49,9,25,4.6
01W205,01,Mitte,205,W,2B,O,2,75,1249,510,3,507,62,12.2,56,11,123,24.3,107,21.1,47,9.3,22,4.3
01W206,01,Mitte,206,W,2E,O,2,75,1188,521,5,516,89,17.2,50,9.7,99,19.2,129,25,42,8.1,21,4.1
01W207,01,Mitte,207,W,2B,O,2,75,1136,480,4,476,80,16.8,46,9.7,84,17.6,127,26.7,40,8.4,18,3.8
01W208,01,Mitte,208,W,2B,O,2,75,925,405,3,402,54,13.4,30,7.5,193,48,33,8.2,13,3.2,26,6.5
01W209,01,Mitte,209,W,2B,O,2,75,1197,585,2,583,55,9.4,50,8.6,229,39.3,76,13,31,5.3,28,4.8
01W210,01,Mitte,210,W,2H,O,2,75,976,498,1,497,39,7.8,55,11.1,189,38,46,9.3,24,4.8,29,5.8
01W211,01,Mitte,211,W,2G,O,2,75,1189,559,4,555,65,11.7,36,6.5,206,37.1,91,16.4,41,7.4,20,3.6
01W212,01,Mitte,212,W,2H,O,2,75,1263,482,6,476,54,11.3,45,9.5,150,31.5,64,13.4,33,6.9,38,8
01W213,01,Mitte,213,W,2I,O,2,75,1288,545,6,539,98,18.2,73,13.5,98,18.2,123,22.8,47,8.7,31,5.8
01W214,01,Mitte,214,W,2B,O,2,75,1189,445,2,443,59,13.3,90,20.3,123,27.8,45,10.2,30,6.8,49,11.1
01W215,01,Mitte,215,W,2C,O,2,75,1252,468,2,466,63,13.5,94,20.2,129,27.7,47,10.1,31,6.7,51,10.9
01W216,01,Mitte,216,W,2L,O,2,75,803,350,1,349,58,16.6,42,12,123,35.2,33,9.5,22,6.3,29,8.3
01W217,01,Mitte,217,W,2D,O,2,75,962,349,2,347,40,11.5,30,8.6,70,20.2,109,31.4,37,10.7,8,2.3
01W218,01,Mitte,218,W,2M,O,2,75,1262,566,7,559,82,14.7,55,9.8,139,24.9,122,21.8,49,8.8,14,2.5
01W219,01,Mitte,219,W,2D,O,2,75,339,131,1,130,10,7.7,10,7.7,27,20.8,34,26.2,15,11.5,5,3.8
01W220,01,Mitte,220,W,2D,O,2,75,1019,361,2,359,46,12.8,41,11.4,78,21.7,84,23.4,32,8.9,16,4.5
01W221,01,Mitte,221,W,2K,O,2,75,971,357,3,354,45,12.7,28,7.9,86,24.3,94,26.6,37,10.5,11,3.1
01W222,01,Mitte,222,W,2E,O,2,75,889,302,2,300,34,11.3,32,10.7,49,16.3,87,29,30,10,9,3
01W223,01,Mitte,223,W,2J,O,2,75,768,291,3,288,37,12.8,31,10.8,57,19.8,73,25.3,38,13.2,8,2.8
01W224,01,Mitte,224,W,2E,O,2,75,847,351,4,347,48,13.8,33,9.5,69,19.9,82,23.6,32,9.2,7,2
01W225,01,Mitte,225,W,2J,O,2,75,1258,609,8,601,90,15,66,11,117,19.5,156,26,79,13.1,22,3.7
01W226,01,Mitte,226,W,2F,O,2,75,764,306,3,303,29,9.6,27,8.9,54,17.8,92,30.4,37,12.2,7,2.3
01W227,01,Mitte,227,W,2P,O,2,75,1369,566,6,560,97,17.3,52,9.3,116,20.7,124,22.1,59,10.5,26,4.6
01W228,01,Mitte,228,W,2Q,O,2,75,1362,604,4,600,63,10.5,47,7.8,185,30.8,130,21.7,56,9.3,19,3.2
01W229,01,Mitte,229,W,2N,O,2,75,1268,554,3,551,87,15.8,62,11.3,224,40.7,45,8.2,39,7.1,23,4.2
01W230,01,Mitte,230,W,2Q,O,2,75,1064,532,3,529,59,11.2,34,6.4,225,42.5,71,13.4,32,6,21,4
01W300,01,Mitte,300,W,3A,W,3,75,963,394,5,389,42,10.8,14,3.6,139,35.7,56,14.4,15,3.9,12,3.1
01W301,01,Mitte,301,W,3A,W,3,75,652,252,5,247,26,10.5,4,1.6,84,34,31,12.6,9,3.6,6,2.4
01W302,01,Mitte,302,W,3B,W,3,75,970,443,1,442,45,10.2,27,6.1,160,36.2,78,17.6,20,4.5,17,3.8
01W303,01,Mitte,303,W,3A,W,3,75,931,385,4,381,58,15.2,27,7.1,135,35.4,56,14.7,19,5,14,3.7
01W304,01,Mitte,304,W,3E,W,3,75,912,452,1,451,62,13.7,40,8.9,181,40.1,53,11.8,24,5.3,17,3.8
01W305,01,Mitte,305,W,3A,W,3,75,1081,537,4,533,76,14.3,69,12.9,213,40,41,7.7,34,6.4,26,4.9
01W306,01,Mitte,306,W,3B,W,3,75,1371,689,4,685,87,12.7,37,5.4,309,45.1,77,11.2,19,2.8,32,4.7
01W307,01,Mitte,307,W,3B,W,3,75,1139,552,6,546,88,16.1,72,13.2,211,38.6,41,7.5,41,7.5,29,5.3
01W308,01,Mitte,308,W,3B,W,3,75,1184,622,2,620,100,16.1,56,9,288,46.5,42,6.8,25,4,29,4.7
01W309,01,Mitte,309,W,3B,W,3,75,1241,714,4,710,87,12.3,75,10.6,318,44.8,60,8.5,30,4.2,26,3.7
01W310,01,Mitte,310,W,3B,W,3,75,916,423,6,417,70,16.8,37,8.9,174,41.7,45,10.8,20,4.8,16,3.8
01W311,01,Mitte,311,W,3G,W,3,75,1066,433,4,429,55,12.8,44,10.3,158,36.8,55,12.8,22,5.1,15,3.5
01W312,01,Mitte,312,W,3C,W,3,75,835,359,2,357,42,11.8,30,8.4,149,41.7,38,10.6,18,5,12,3.4
01W313,01,Mitte,313,W,3C,W,3,75,842,399,2,397,59,14.9,45,11.3,165,41.6,33,8.3,13,3.3,20,5
01W314,01,Mitte,314,W,3C,W,3,75,1141,502,3,499,87,17.4,69,13.8,154,30.9,37,7.4,34,6.8,30,6
01W315,01,Mitte,315,W,3C,W,3,75,840,353,1,352,44,12.5,38,10.8,138,39.2,43,12.2,23,6.5,5,1.4
01W316,01,Mitte,316,W,3D,W,3,75,922,486,4,482,65,13.5,61,12.7,194,40.2,37,7.7,30,6.2,25,5.2
01W317,01,Mitte,317,W,3D,W,3,75,789,354,4,350,51,14.6,31,8.9,134,38.3,37,10.6,13,3.7,22,6.3
01W318,01,Mitte,318,W,3D,W,3,75,1102,516,8,508,78,15.4,90,17.7,172,33.9,41,8.1,31,6.1,32,6.3
01W319,01,Mitte,319,W,3D,W,3,75,1007,464,1,463,92,19.9,67,14.5,169,36.5,26,5.6,31,6.7,20,4.3
01W320,01,Mitte,320,W,3D,W,3,75,591,313,2,311,47,15.1,57,18.3,121,38.9,11,3.5,13,4.2,24,7.7
01W321,01,Mitte,321,W,3E,W,3,75,1061,420,5,415,62,14.9,81,19.5,133,32,29,7,32,7.7,27,6.5
01W322,01,Mitte,322,W,3E,W,3,75,1165,408,4,404,78,19.3,86,21.3,102,25.2,29,7.2,28,6.9,26,6.4
01W323,01,Mitte,323,W,3E,W,3,75,1174,509,1,508,78,15.4,96,18.9,117,23,55,10.8,53,10.4,33,6.5
01W324,01,Mitte,324,W,3M,W,3,75,1113,377,4,373,74,19.8,87,23.3,82,22,26,7,26,7,27,7.2
01W325,01,Mitte,325,W,3F,W,3,75,986,380,2,378,67,17.7,44,11.6,125,33.1,42,11.1,28,7.4,16,4.2
01W326,01,Mitte,326,W,3M,W,3,75,931,354,2,352,63,17.9,39,11.1,112,31.8,43,12.2,27,7.7,16,4.5
01W327,01,Mitte,327,W,3N,W,3,75,944,382,3,379,65,17.2,46,12.1,139,36.7,27,7.1,23,6.1,25,6.6
01W328,01,Mitte,328,W,3N,W,3,75,800,361,2,359,58,16.2,33,9.2,149,41.5,28,7.8,15,4.2,15,4.2
01W329,01,Mitte,329,W,3P,W,3,75,597,179,2,177,14,7.9,32,18.1,55,31.1,10,5.6,14,7.9,34,19.2
01W330,01,Mitte,330,W,3P,W,3,75,1114,506,3,503,59,11.7,38,7.6,228,45.3,42,8.3,13,2.6,28,5.6
01W400,01,Mitte,400,W,4A,W,4,75,1092,432,10,422,35,8.3,26,6.2,149,35.3,56,13.3,31,7.3,22,5.2
01W401,01,Mitte,401,W,4A,W,4,75,922,411,3,408,40,9.8,18,4.4,171,41.9,48,11.8,30,7.4,12,2.9
01W402,01,Mitte,402,W,4B,W,4,75,1032,409,2,407,49,12,24,5.9,151,37.1,62,15.2,27,6.6,8,2
01W403,01,Mitte,403,W,4L,W,4,75,1356,604,7,597,73,12.2,40,6.7,256,42.9,69,11.6,26,4.4,20,3.4
01W404,01,Mitte,404,W,4A,W,4,75,736,347,8,339,40,11.8,31,9.1,122,36,56,16.5,20,5.9,7,2.1
01W405,01,Mitte,405,W,4C,W,4,75,1233,551,9,542,63,11.6,44,8.1,195,36,88,16.2,33,6.1,10,1.8
01W406,01,Mitte,406,W,4B,W,4,75,908,421,3,418,46,11,33,7.9,183,43.8,49,11.7,19,4.5,9,2.2
01W407,01,Mitte,407,W,4B,W,4,75,1195,537,3,534,60,11.2,43,8.1,203,38,46,8.6,44,8.2,26,4.9
01W408,01,Mitte,408,W,4B,W,4,75,1015,514,3,511,66,12.9,49,9.6,190,37.2,73,14.3,27,5.3,17,3.3
01W409,01,Mitte,409,W,4B,W,4,75,967,453,6,447,58,13,38,8.5,170,38,58,13,25,5.6,11,2.5
