address,electoral_district_type,electoral_district_name,electoral_district_id,berlin_east_west,electoral_districts,eligible_voters,eligible_voters_a1,eligible_voters_a1_percentage,eligible_voters_a2,eligible_voters_a2_percentage,eligible_voters_a3,eligible_voters_a3_percentage,voters,voters_percentage,postal_voters,postal_voters_percentage,voters_with_voting_license,voters_with_voting_license_percentage,valid_votes,valid_votes_percentage,invalid_votes,invalid_votes_percentage,party_grüne,party_grüne_percentage,party_cdu,party_cdu_percentage,party_spd,party_spd_percentage,party_die_linke,party_die_linke_percentage,party_afd,party_afd_percentage,party_die_partei,party_die_partei_percentage,party_fdp,party_fdp_percentage,party_tierschutzpartei,party_tierschutzpartei_percentage,party_mera25,party_mera25_percentage,party_volt,party_volt_percentage,party_piraten,party_piraten_percentage,party_familie,party_familie_percentage,party_ödp,party_ödp_percentage,party_freie_wähler,party_freie_wähler_percentage,party_tierschutz_hier,party_tierschutz_hier_percentage,party_big,party_big_percentage,party_verjüngungsforschung,party_verjüngungsforschung_percentage,party_pdh,party_pdh_percentage,party_heimat,party_heimat_percentage,party_dkp,party_dkp_percentage,party_menschliche_welt,party_menschliche_welt_percentage,party_bündnis_c,party_bündnis_c_percentage,party_mlpd,party_mlpd_percentage,party_sgp,party_sgp_percentage,party_abg,party_abg_percentage,party_die_basis,party_die_basis_percentage,party_bündnis_deutschand,party_bündnis_deutschand_percentage,party_bsw,party_bsw_percentage,party_dawa,party_dawa_percentage,party_klimaliste,party_klimaliste_percentage,party_letzte_generation,party_letzte_generation_percentage,party_pdv,party_pdv_percentage,party_pdf,party_pdf_percentage,party_v_partei3,party_v_partei3_percentage
AI0107,Abgeordnetenhauswahlkreis,Mitte 7,107,W,39,29445,22524,76.5,6921,23.5,0,0.0,15696,53.3,6272,40.0,6428,41.0,15600,99.4,96,0.6,3924,25.2,1400,9.0,1772,11.4,1853,11.9,1002,6.4,670,4.3,467,3.0,267,1.7,695,4.5,1057,6.8,110,0.7,41,0.3,56,0.4,45,0.3,74,0.5,57,0.4,11,0.1,59,0.4,6,0.0,25,0.2,28,0.2,11,0.1,7,0.0,15,0.1,5,0.0,28,0.2,32,0.2,1116,7.2,426,2.7,38,0.2,202,1.3,12,0.1,63,0.4,26,0.2
AI1101,Abgeordnetenhauswahlkreis,Lichtenberg 1,1101,O,57,34096,27227,79.9,6869,20.1,0,0.0,17708,51.9,6276,35.4,6318,35.7,17555,99.1,153,0.9,775,4.4,2749,15.7,1751,10.0,1331,7.6,5009,28.5,435,2.5,323,1.8,432,2.5,73,0.4,362,2.1,100,0.6,203,1.2,64,0.4,128,0.7,172,1.0,16,0.1,21,0.1,41,0.2,31,0.2,31,0.2,31,0.2,14,0.1,10,0.1,8,0.0,23,0.1,39,0.2,67,0.4,3050,17.4,25,0.1,24,0.1,45,0.3,21,0.1,123,0.7,28,0.2
AI1102,Abgeordnetenhauswahlkreis,Lichtenberg 2,1102,O,55,32994,24321,73.7,8673,26.3,0,0.0,19617,59.5,8016,40.9,8113,41.4,19481,99.3,136,0.7,1539,7.9,3213,16.5,2014,10.3,1571,8.1,4179,21.5,590,3.0,467,2.4,468,2.4,105,0.5,637,3.3,109,0.6,189,1.0,72,0.4,135,0.7,135,0.7,11,0.1,22,0.1,39,0.2,23,0.1,25,0.1,46,0.2,11,0.1,9,0.0,4,0.0,23,0.1,32,0.2,76,0.4,3430,17.6,10,0.1,27,0.1,85,0.4,10,0.1,156,0.8,19,0.1
AI1103,Abgeordnetenhauswahlkreis,Lichtenberg 3,1103,O,58,33889,25737,75.9,8152,24.1,0,0.0,18349,54.1,7432,40.5,7523,41.0,18217,99.3,132,0.7,1719,9.4,2229,12.2,2211,12.1,1969,10.8,3292,18.1,671,3.7,387,2.1,525,2.9,164,0.9,788,4.3,133,0.7,149,0.8,62,0.3,116,0.6,140,0.8,26,0.1,21,0.1,66,0.4,21,0.1,26,0.1,36,0.2,15,0.1,11,0.1,8,0.0,14,0.1,29,0.2,90,0.5,2947,16.2,23,0.1,24,0.1,114,0.6,11,0.1,145,0.8,35,0.2
AI1104,Abgeordnetenhauswahlkreis,Lichtenberg 4,1104,O,57,33881,24260,71.6,9621,28.4,0,0.0,20611,60.8,8768,42.5,8924,43.3,20495,99.4,116,0.6,3385,16.5,2018,9.8,2227,10.9,2544,12.4,2563,12.5,1051,5.1,484,2.4,650,3.2,249,1.2,1136,5.5,141,0.7,114,0.6,84,0.4,111,0.5,144,0.7,11,0.1,22,0.1,60,0.3,22,0.1,29,0.1,28,0.1,8,0.0,13,0.1,7,0.0,13,0.1,35,0.2,89,0.4,2758,13.5,30,0.1,42,0.2,216,1.1,15,0.1,158,0.8,38,0.2
AI1105,Abgeordnetenhauswahlkreis,Lichtenberg 5,1105,O,57,33387,24155,72.3,9232,27.7,0,0.0,20235,60.6,8424,41.6,8583,42.4,20073,99.2,162,0.8,2917,14.5,2169,10.8,2192,10.9,2352,11.7,2955,14.7,917,4.6,479,2.4,586,2.9,227,1.1,1119,5.6,171,0.9,122,0.6,79,0.4,130,0.6,127,0.6,15,0.1,24,0.1,50,0.2,22,0.1,35,0.2,33,0.2,15,0.1,22,0.1,6,0.0,11,0.1,47,0.2,76,0.4,2736,13.6,23,0.1,46,0.2,157,0.8,16,0.1,154,0.8,43,0.2
AI1106,Abgeordnetenhauswahlkreis,Lichtenberg 6,1106,O,54,32055,21695,67.7,10360,32.3,0,0.0,22419,69.9,9502,42.4,9690,43.2,22315,99.5,104,0.5,3983,17.8,2838,12.7,2536,11.4,2094,9.4,2715,12.2,911,4.1,742,3.3,514,2.3,174,0.8,1287,5.8,133,0.6,125,0.6,120,0.5,139,0.6,119,0.5,13,0.1,11,0.0,59,0.3,19,0.1,27,0.1,40,0.2,24,0.1,14,0.1,6,0.0,14,0.1,40,0.2,77,0.3,3083,13.8,16,0.1,55,0.2,159,0.7,13,0.1,175,0.8,40,0.2
AI1201,Abgeordnetenhauswahlkreis,Reinickendorf 1,1201,W,40,28184,22250,78.9,5934,21.1,0,0.0,13406,47.6,5312,39.6,5354,39.9,13298,99.2,108,0.8,1721,12.9,2737,20.6,1880,14.1,897,6.7,2004,15.1,429,3.2,404,3.0,367,2.8,242,1.8,556,4.2,94,0.7,84,0.6,45,0.3,68,0.5,126,0.9,39,0.3,11,0.1,32,0.2,15,0.1,7,0.1,28,0.2,18,0.1,9,0.1,10,0.1,8,0.1,23,0.2,43,0.3,935,7.0,285,2.1,18,0.1,73,0.5,10,0.1,62,0.5,18,0.1
AI1202,Abgeordnetenhauswahlkreis,Reinickendorf 2,1202,W,40,28471,21949,77.1,6522,22.9,0,0.0,14296,50.2,5932,41.5,6004,42.0,14182,99.2,114,0.8,1528,10.8,3673,25.9,2161,15.2,556,3.9,2382,16.8,341,2.4,524,3.7,358,2.5,181,1.3,395,2.8,86,0.6,85,0.6,60,0.4,108,0.8,113,0.8,33,0.2,14,0.1,30,0.2,21,0.1,5,0.0,26,0.2,13,0.1,7,0.0,4,0.0,13,0.1,26,0.2,65,0.5,1055,7.4,138,1.0,18,0.1,52,0.4,9,0.1,82,0.6,20,0.1
AI1203,Abgeordnetenhauswahlkreis,Reinickendorf 3,1203,W,43,30429,20372,66.9,10057,33.1,0,0.0,20680,68.0,9228,44.6,9327,45.1,20577,99.5,103,0.5,3117,15.1,6369,31.0,3385,16.5,448,2.2,2414,11.7,427,2.1,1315,6.4,386,1.9,76,0.4,604,2.9,78,0.4,82,0.4,89,0.4,127,0.6,115,0.6,8,0.0,14,0.1,35,0.2,9,0.0,5,0.0,23,0.1,20,0.1,11,0.1,4,0.0,6,0.0,45,0.2,74,0.4,1007,4.9,50,0.2,22,0.1,55,0.3,11,0.1,115,0.6,31,0.2
AI1204,Abgeordnetenhauswahlkreis,Reinickendorf 4,1204,W,43,33851,24638,72.8,9213,27.2,0,0.0,20426,60.3,8430,41.3,8524,41.7,20267,99.2,159,0.8,2889,14.3,5676,28.0,3235,16.0,559,2.8,2721,13.4,500,2.5,943,4.7,462,2.3,111,0.5,624,3.1,120,0.6,133,0.7,91,0.4,135,0.7,161,0.8,30,0.1,20,0.1,44,0.2,22,0.1,4,0.0,42,0.2,19,0.1,6,0.0,8,0.0,8,0.0,58,0.3,72,0.4,1202,5.9,112,0.6,32,0.2,49,0.2,17,0.1,124,0.6,38,0.2
AI1205,Abgeordnetenhauswahlkreis,Reinickendorf 5,1205,W,37,27514,22357,81.3,5157,18.7,0,0.0,12566,45.7,4650,37.0,4680,37.2,12432,98.9,134,1.1,964,7.8,3530,28.4,1941,15.6,430,3.5,2348,18.9,209,1.7,467,3.8,292,2.3,151,1.2,268,2.2,78,0.6,91,0.7,44,0.4,85,0.7,105,0.8,33,0.3,11,0.1,24,0.2,13,0.1,6,0.0,17,0.1,14,0.1,3,0.0,5,0.0,13,0.1,22,0.2,45,0.4,880,7.1,221,1.8,11,0.1,29,0.2,7,0.1,54,0.4,21,0.2
AI1206,Abgeordnetenhauswahlkreis,Reinickendorf 6,1206,W,48,28197,18062,64.1,10135,35.9,0,0.0,21493,76.2,9380,43.6,9500,44.2,21416,99.6,77,0.4,4046,18.9,6825,31.9,3260,15.2,409,1.9,1741,8.1,400,1.9,1733,8.1,331,1.5,57,0.3,827,3.9,84,0.4,58,0.3,76,0.4,130,0.6,69,0.3,6,0.0,11,0.1,51,0.2,8,0.0,6,0.0,20,0.1,24,0.1,2,0.0,3,0.0,6,0.0,39,0.2,83,0.4,920,4.3,12,0.1,16,0.1,48,0.2,7,0.0,89,0.4,19,0.1
AI0201,Abgeordnetenhauswahlkreis,Friedrichshain-Kreuzberg 1,201,W,42,30130,20505,68.1,9625,31.9,0,0.0,19953,66.2,8562,42.9,8852,44.4,19900,99.7,53,0.3,7154,35.9,1520,7.6,2429,12.2,2145,10.8,616,3.1,943,4.7,632,3.2,254,1.3,693,3.5,1294,6.5,80,0.4,20,0.1,57,0.3,39,0.2,70,0.4,36,0.2,13,0.1,38,0.2,7,0.0,12,0.1,13,0.1,6,0.0,11,0.1,7,0.0,5,0.0,34,0.2,32,0.2,1139,5.7,272,1.4,49,0.2,196,1.0,8,0.0,50,0.3,26,0.1
AI0202,Abgeordnetenhauswahlkreis,Friedrichshain-Kreuzberg 2,202,W,37,27256,18661,68.5,8595,31.5,0,0.0,18361,67.4,7645,41.6,7957,43.3,18306,99.7,55,0.3,6793,37.1,790,4.3,1646,9.0,2973,16.2,423,2.3,1074,5.9,395,2.2,241,1.3,730,4.0,1119,6.1,83,0.5,8,0.0,36,0.2,30,0.2,39,0.2,24,0.1,4,0.0,36,0.2,4,0.0,29,0.2,11,0.1,6,0.0,18,0.1,6,0.0,3,0.0,19,0.1,27,0.1,959,5.2,365,2.0,62,0.3,284,1.6,9,0.0,42,0.2,18,0.1
AI0203,Abgeordnetenhauswahlkreis,Friedrichshain-Kreuzberg 3,203,W,37,29429,21867,74.3,7562,25.7,0,0.0,17019,57.8,6655,39.1,6882,40.4,16950,99.6,69,0.4,5396,31.8,1129,6.7,1747,10.3,2440,14.4,578,3.4,985,5.8,376,2.2,268,1.6,702,4.1,941,5.6,82,0.5,21,0.1,55,0.3,29,0.2,53,0.3,97,0.6,7,0.0,28,0.2,3,0.0,21,0.1,15,0.1,6,0.0,8,0.0,6,0.0,4,0.0,37,0.2,19,0.1,995,5.9,540,3.2,54,0.3,225,1.3,6,0.0,60,0.4,17,0.1
AI0204,Abgeordnetenhauswahlkreis,Friedrichshain-Kreuzberg 4,204,O,40,28585,19388,67.8,9197,32.2,0,0.0,18637,65.2,8339,44.7,8529,45.8,18574,99.7,63,0.3,4094,22.0,1805,9.7,2126,11.4,2231,12.0,1474,7.9,846,4.6,611,3.3,426,2.3,339,1.8,1272,6.8,121,0.7,59,0.3,59,0.3,81,0.4,82,0.4,13,0.1,17,0.1,35,0.2,9,0.0,35,0.2,28,0.2,11,0.1,12,0.1,7,0.0,4,0.0,30,0.2,51,0.3,2262,12.2,56,0.3,46,0.2,188,1.0,9,0.0,104,0.6,31,0.2
AI0205,Abgeordnetenhauswahlkreis,Friedrichshain-Kreuzberg 5,205,O,40,29010,18495,63.8,10515,36.2,0,0.0,20662,71.2,9619,46.6,9828,47.6,20615,99.8,47,0.2,6331,30.7,1274,6.2,1927,9.3,2675,13.0,969,4.7,1344,6.5,638,3.1,496,2.4,486,2.4,1821,8.8,154,0.7,55,0.3,84,0.4,45,0.2,84,0.4,9,0.0,10,0.0,64,0.3,3,0.0,26,0.1,23,0.1,10,0.0,8,0.0,2,0.0,2,0.0,37,0.2,48,0.2,1419,6.9,14,0.1,66,0.3,330,1.6,12,0.1,101,0.5,48,0.2
AI0206,Abgeordnetenhauswahlkreis,Friedrichshain-Kreuzberg 6,206,O,43,28689,18171,63.3,10518,36.7,0,0.0,20974,73.1,9618,45.9,9790,46.7,20930,99.8,44,0.2,7005,33.5,1323,6.3,1925,9.2,2483,11.9,842,4.0,1362,6.5,798,3.8,477,2.3,508,2.4,1918,9.2,164,0.8,29,0.1,71,0.3,69,0.3,49,0.2,15,0.1,10,0.0,54,0.3,4,0.0,17,0.1,15,0.1,5,0.0,5,0.0,11,0.1,4,0.0,20,0.1,39,0.2,1201,5.7,16,0.1,57,0.3,289,1.4,10,0.0,103,0.5,32,0.2
AI0301,Abgeordnetenhauswahlkreis,Pankow 1,301,O,39,35208,25061,71.2,10147,28.8,0,0.0,21706,61.7,9319,42.9,9429,43.4,21591,99.5,115,0.5,2268,10.5,4112,19.0,2446,11.3,1184,5.5,4509,20.9,636,2.9,688,3.2,494,2.3,78,0.4,640,3.0,106,0.5,200,0.9,91,0.4,159,0.7,156,0.7,12,0.1,9,0.0,53,0.2,23,0.1,26,0.1,48,0.2,28,0.1,7,0.0,8,0.0,13,0.1,61,0.3,90,0.4,3103,14.4,30,0.1,27,0.1,64,0.3,30,0.1,161,0.7,31,0.1
AI0302,Abgeordnetenhauswahlkreis,Pankow 2,302,O,41,33846,22614,66.8,11232,33.2,0,0.0,22552,66.6,10371,46.0,10491,46.5,22447,99.5,105,0.5,3671,16.4,4125,18.4,2720,12.1,1377,6.1,3486,15.5,695,3.1,864,3.8,495,2.2,120,0.5,853,3.8,101,0.4,146,0.7,88,0.4,141,0.6,131,0.6,15,0.1,13,0.1,46,0.2,21,0.1,14,0.1,31,0.1,18,0.1,7,0.0,3,0.0,9,0.0,48,0.2,102,0.5,2735,12.2,34,0.2,35,0.2,96,0.4,14,0.1,157,0.7,36,0.2
AI0303,Abgeordnetenhauswahlkreis,Pankow 3,303,O,40,34701,22213,64.0,12488,36.0,0,0.0,24070,69.4,11688,48.6,11812,49.1,23968,99.6,102,0.4,5797,24.2,2817,11.8,2881,12.0,2275,9.5,2521,10.5,981,4.1,763,3.2,499,2.1,202,0.8,1339,5.6,98,0.4,87,0.4,90,0.4,125,0.5,91,0.4,15,0.1,17,0.1,54,0.2,17,0.1,30,0.1,40,0.2,27,0.1,11,0.0,3,0.0,6,0.0,46,0.2,67,0.3,2600,10.8,40,0.2,56,0.2,198,0.8,20,0.1,125,0.5,30,0.1
AI0304,Abgeordnetenhauswahlkreis,Pankow 4,304,O,33,28975,20171,69.6,8804,30.4,0,0.0,18053,62.3,7994,44.3,8099,44.9,17959,99.5,94,0.5,2462,13.7,2865,16.0,2196,12.2,1382,7.7,3099,17.3,663,3.7,522,2.9,456,2.5,132,0.7,670,3.7,87,0.5,108,0.6,85,0.5,112,0.6,114,0.6,10,0.1,21,0.1,48,0.3,11,0.1,16,0.1,24,0.1,10,0.1,6,0.0,4,0.0,18,0.1,36,0.2,62,0.3,2438,13.6,13,0.1,36,0.2,99,0.6,23,0.1,108,0.6,23,0.1
AI0305,Abgeordnetenhauswahlkreis,Pankow 5,305,O,36,31020,20103,64.8,10917,35.2,0,0.0,20821,67.1,10160,48.8,10298,49.5,20727,99.5,94,0.5,4267,20.6,2468,11.9,2490,12.0,2001,9.7,2492,12.0,984,4.7,539,2.6,477,2.3,221,1.1,1114,5.4,108,0.5,114,0.6,98,0.5,119,0.6,106,0.5,19,0.1,12,0.1,53,0.3,10,0.0,47,0.2,39,0.2,14,0.1,7,0.0,6,0.0,21,0.1,60,0.3,71,0.3,2401,11.6,17,0.1,36,0.2,162,0.8,11,0.1,111,0.5,32,0.2
AI0306,Abgeordnetenhauswahlkreis,Pankow 6,306,O,47,32228,19524,60.6,12704,39.4,0,0.0,24227,75.2,11623,48.0,11968,49.4,24171,99.8,56,0.2,8896,36.8,1762,7.3,2407,10.0,2492,10.3,985,4.1,1273,5.3,943,3.9,371,1.5,419,1.7,2066,8.5,130,0.5,18,0.1,89,0.4,57,0.2,51,0.2,9,0.0,9,0.0,60,0.2,7,0.0,29,0.1,21,0.1,11,0.0,12,0.0,6,0.0,5,0.0,41,0.2,36,0.1,1489,6.2,17,0.1,54,0.2,285,1.2,4,0.0,83,0.3,34,0.1
AI0307,Abgeordnetenhauswahlkreis,Pankow 7,307,O,39,30505,20106,65.9,10399,34.1,0,0.0,20695,67.8,9471,45.8,9676,46.8,20630,99.7,65,0.3,5548,26.9,1898,9.2,2210,10.7,2227,10.8,1708,8.3,1174,5.7,652,3.2,464,2.2,294,1.4,1487,7.2,133,0.6,72,0.3,97,0.5,96,0.5,67,0.3,7,0.0,10,0.0,49,0.2,11,0.1,19,0.1,27,0.1,17,0.1,18,0.1,5,0.0,7,0.0,43,0.2,61,0.3,1807,8.8,13,0.1,52,0.3,198,1.0,18,0.1,105,0.5,36,0.2
AI0308,Abgeordnetenhauswahlkreis,Pankow 8,308,O,42,30153,18445,61.2,11708,38.8,0,0.0,22501,74.6,10717,47.6,11041,49.1,22455,99.8,46,0.2,7758,34.5,1919,8.5,2277,10.1,2139,9.5,1042,4.6,1105,4.9,1140,5.1,342,1.5,379,1.7,1796,8.0,121,0.5,29,0.1,82,0.4,65,0.3,51,0.2,3,0.0,13,0.1,41,0.2,7,0.0,21,0.1,20,0.1,9,0.0,10,0.0,2,0.0,4,0.0,49,0.2,40,0.2,1602,7.1,4,0.0,38,0.2,232,1.0,11,0.0,73,0.3,31,0.1
AI0309,Abgeordnetenhauswahlkreis,Pankow 9,309,O,45,34104,22625,66.3,11479,33.7,0,0.0,23123,67.8,10483,45.3,10723,46.4,23045,99.7,78,0.3,5912,25.7,2333,10.1,2796,12.1,2213,9.6,2099,9.1,1072,4.7,857,3.7,493,2.1,268,1.2,1534,6.7,127,0.6,75,0.3,84,0.4,82,0.4,105,0.5,15,0.1,12,0.1,58,0.3,18,0.1,29,0.1,29,0.1,6,0.0,8,0.0,9,0.0,7,0.0,44,0.2,76,0.3,2304,10.0,17,0.1,36,0.2,197,0.9,16,0.1,88,0.4,26,0.1
AI0401,Abgeordnetenhauswahlkreis,Charlottenburg-Wilmersdorf 1,401,W,40,28771,21079,73.3,7692,26.7,0,0.0,16227,56.4,7057,43.5,7143,44.0,16125,99.4,102,0.6,3200,19.8,2896,18.0,2590,16.1,930,5.8,1740,10.8,452,2.8,736,4.6,349,2.2,283,1.8,758,4.7,97,0.6,62,0.4,64,0.4,74,0.5,84,0.5,34,0.2,8,0.0,45,0.3,12,0.1,12,0.1,30,0.2,10,0.1,10,0.1,1,0.0,4,0.0,39,0.2,53,0.3,1133,7.0,159,1.0,45,0.3,109,0.7,7,0.0,73,0.5,26,0.2
