id,district_id,electoral_district_id,eligible_voters,voters,invalid_votes,valid_votes,vote_yes,vote_no,voter_turnout,invalid_votes_percentage,valid_votes_percentage,vote_yes_percentage,vote_no_percentage
01327,01,327,3074,537,1,536,485,51,17.469095640858818,0.186219739292365,99.81378026070763,90.31657355679702,9.497206703910614
01400,01,400,3537,586,1,585,522,63,16.567712750918858,0.17064846416382254,99.82935153583618,89.07849829351537,10.750853242320819
01403,01,403,2711,601,1,600,534,66,22.16894135005533,0.16638935108153077,99.83361064891847,88.85191347753744,10.98169717138103
01404,01,404,2607,583,3,580,519,61,22.362869198312236,0.5145797598627788,99.48542024013722,89.02229845626071,10.4631217838765
01405,01,405,1910,386,0,386,355,31,20.209424083769633,0.0,100.0,91.96891191709845,8.031088082901555
01409,01,409,3168,801,2,799,719,80,25.28409090909091,0.24968789013732834,99.75031210986268,89.76279650436953,9.987515605493133
01414,01,414,2132,455,1,454,397,57,21.341463414634145,0.21978021978021978,99.78021978021978,87.25274725274726,12.527472527472527
01415,01,415,2934,584,1,583,521,62,19.90456714383095,0.17123287671232876,99.82876712328768,89.21232876712328,10.616438356164384
01416,01,416,3804,837,1,836,745,91,22.00315457413249,0.11947431302270012,99.8805256869773,89.00836320191159,10.87216248506571
01421,01,421,2993,726,3,723,648,75,24.256598730370865,0.4132231404958678,99.58677685950413,89.25619834710744,10.330578512396695
01425,01,425,2932,621,3,618,560,58,21.180081855388813,0.4830917874396135,99.51690821256038,90.17713365539453,9.339774557165862
01427,01,427,3059,686,3,683,644,39,22.42562929061785,0.43731778425655976,99.56268221574344,93.87755102040816,5.685131195335277
01431,01,431,3259,677,1,676,628,48,20.773243326173674,0.14771048744460857,99.85228951255539,92.76218611521418,7.0901033973412115
01500,01,500,3118,473,2,471,408,63,15.169980756895447,0.42283298097251587,99.57716701902748,86.25792811839324,13.31923890063425
01504,01,504,3153,496,0,496,446,50,15.731049793847129,0.0,100.0,89.91935483870968,10.080645161290322
01505,01,505,2722,545,1,544,365,179,20.02204261572373,0.1834862385321101,99.81651376146789,66.97247706422019,32.84403669724771
01508,01,508,2173,411,0,411,325,86,18.913943856419696,0.0,100.0,79.07542579075427,20.92457420924574
01510,01,510,2105,314,0,314,260,54,14.916864608076008,0.0,100.0,82.80254777070064,17.197452229299362
01512,01,512,2188,436,0,436,385,51,19.926873857404022,0.0,100.0,88.30275229357798,11.697247706422019
01513,01,513,2593,397,1,396,357,39,15.3104512148091,0.2518891687657431,99.74811083123426,89.92443324937027,9.82367758186398
01516,01,516,3317,673,2,671,598,73,20.289418148929755,0.2971768202080238,99.70282317979198,88.8558692421991,10.846953937592868
01519,01,519,2437,562,2,560,451,109,23.06114074681986,0.3558718861209964,99.644128113879,80.2491103202847,19.395017793594306
01522,01,522,2371,317,1,316,265,51,13.369886123998311,0.31545741324921134,99.6845425867508,83.59621451104101,16.08832807570978
01524,01,524,2289,489,0,489,466,23,21.363040629095675,0.0,100.0,95.29652351738241,4.703476482617587
01528,01,528,3398,803,7,796,744,52,23.63154796939376,0.8717310087173101,99.12826899128268,92.65255292652553,6.47571606475716
01600,01,600,2304,357,1,356,321,35,15.494791666666666,0.2801120448179272,99.71988795518207,89.91596638655463,9.803921568627452
01601,01,601,3300,559,1,558,523,35,16.93939393939394,0.17889087656529518,99.82110912343471,93.55992844364937,6.261180679785331
01602,01,602,1967,437,2,435,379,56,22.216573462125062,0.4576659038901602,99.54233409610984,86.72768878718536,12.814645308924485
01603,01,603,2767,369,0,369,340,29,13.335742681604627,0.0,100.0,92.14092140921409,7.8590785907859075
01605,01,605,3174,585,1,584,546,38,18.43100189035917,0.17094017094017094,99.82905982905983,93.33333333333333,6.495726495726497
01612,01,612,2273,362,2,360,341,19,15.92608886933568,0.5524861878453038,99.4475138121547,94.1988950276243,5.248618784530387
01613,01,613,3400,571,2,569,527,42,16.794117647058822,0.3502626970227671,99.64973730297724,92.29422066549913,7.355516637478108
01617,01,617,2359,335,0,335,307,28,14.20093259855871,0.0,100.0,91.64179104477613,8.358208955223882
01620,01,620,2049,316,1,315,268,47,15.422157149829186,0.31645569620253167,99.68354430379746,84.81012658227847,14.873417721518987
01623,01,623,2936,471,1,470,417,53,16.042234332425068,0.21231422505307856,99.78768577494692,88.53503184713377,11.252653927813164
01624,01,624,2686,488,1,487,442,45,18.168279970215934,0.20491803278688525,99.79508196721312,90.57377049180327,9.221311475409836
01627,01,627,2853,408,2,406,369,37,14.300736067297581,0.49019607843137253,99.50980392156863,90.44117647058823,9.068627450980392
01632,01,632,2331,509,1,508,456,52,21.836121836121837,0.19646365422396855,99.80353634577604,89.58742632612967,10.216110019646365
01634,01,634,2800,572,1,571,510,61,20.42857142857143,0.17482517482517482,99.82517482517483,89.16083916083916,10.664335664335663
02101,02,101,1931,325,1,324,278,46,16.8306576903159,0.3076923076923077,99.6923076923077,85.53846153846155,14.153846153846153
02102,02,102,3273,433,2,431,391,40,13.229453101130462,0.4618937644341801,99.53810623556582,90.30023094688222,9.237875288683602
02103,02,103,2060,547,0,547,520,27,26.553398058252426,0.0,100.0,95.06398537477148,4.93601462522852
02104,02,104,1992,571,0,571,538,33,28.664658634538153,0.0,100.0,94.22066549912435,5.779334500875657
02105,02,105,2008,596,0,596,558,38,29.681274900398407,0.0,100.0,93.6241610738255,6.375838926174497
02106,02,106,1732,528,1,527,493,34,30.484988452655887,0.1893939393939394,99.81060606060606,93.37121212121212,6.4393939393939394
02107,02,107,1811,483,0,483,454,29,26.670347874102706,0.0,100.0,93.99585921325053,6.004140786749482
02108,02,108,2150,566,3,563,503,60,26.325581395348834,0.5300353356890459,99.46996466431095,88.86925795053003,10.60070671378092
02109,02,109,1835,612,0,612,580,32,33.35149863760218,0.0,100.0,94.77124183006535,5.228758169934641
02110,02,110,1956,702,0,702,673,29,35.88957055214724,0.0,100.0,95.86894586894587,4.131054131054131
02111,02,111,2095,718,0,718,675,43,34.272076372315034,0.0,100.0,94.01114206128133,5.988857938718663
02112,02,112,1959,638,1,637,599,38,32.567636549259824,0.1567398119122257,99.84326018808778,93.8871473354232,5.956112852664576
02113,02,113,1873,652,2,650,623,27,34.81046449546182,0.3067484662576687,99.69325153374233,95.5521472392638,4.141104294478527
02114,02,114,1914,630,0,630,606,24,32.9153605015674,0.0,100.0,96.19047619047619,3.8095238095238098
02115,02,115,1986,718,1,717,658,59,36.15307150050352,0.1392757660167131,99.86072423398329,91.64345403899722,8.217270194986073
02116,02,116,1978,640,0,640,609,31,32.355915065722954,0.0,100.0,95.15625,4.84375
02117,02,117,1802,513,1,512,492,20,28.46836847946726,0.1949317738791423,99.80506822612085,95.90643274853801,3.898635477582846
02118,02,118,1915,566,0,566,555,11,29.556135770234988,0.0,100.0,98.0565371024735,1.9434628975265018
02119,02,119,1875,649,2,647,619,28,34.61333333333334,0.30816640986132515,99.69183359013869,95.37750385208012,4.314329738058552
02120,02,120,1908,628,0,628,598,30,32.914046121593294,0.0,100.0,95.22292993630573,4.777070063694268
02121,02,121,1840,569,0,569,551,18,30.92391304347826,0.0,100.0,96.8365553602812,3.163444639718805
02122,02,122,1783,559,0,559,531,28,31.35165451486259,0.0,100.0,94.99105545617174,5.008944543828265
02123,02,123,1972,620,0,620,604,16,31.44016227180527,0.0,100.0,97.41935483870968,2.5806451612903225
02124,02,124,2023,713,0,713,682,31,35.24468610973801,0.0,100.0,95.65217391304348,4.3478260869565215
02125,02,125,1917,639,2,637,616,21,33.33333333333333,0.3129890453834116,99.68701095461658,96.40062597809077,3.286384976525822
02126,02,126,1881,578,0,578,566,12,30.72833599149389,0.0,100.0,97.92387543252595,2.0761245674740483
02127,02,127,1982,668,0,668,659,9,33.70332996972755,0.0,100.0,98.65269461077844,1.347305389221557
02128,02,128,1752,586,1,585,571,14,33.44748858447489,0.17064846416382254,99.82935153583618,97.44027303754265,2.3890784982935154
