id,district_id,district_name,electoral_district_id,electoral_district_type,electoral_district_berlin_election_id,electoral_district_federal_election_id,eligible_voters,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_cdu,party_cdu_percentage,party_grüne,party_grüne_percentage,party_die_linke,party_die_linke_percentage,party_piraten,party_piraten_percentage,party_npd,party_npd_percentage,party_fdp,party_fdp_percentage,party_afd,party_afd_percentage,others,others_percentage
ID,"Bezirks-
nummer",Bezirksname,Wahlbezirk,Wahl-bezirksart,"Abgeordneten-
hauswahlkreis","Bundestags-
wahlkreis",Wahlberechtigte insgesamt,Wähler,Ungültige Stimmen,Gültige Stimmen,SPD,SPD in Prozent,CDU,CDU in Prozent,GRÜNE,GRÜNE in Prozent,DIE LINKE,DIE LINKE in Prozent,PIRATEN,PIRATEN in Prozent,NPD,NPD in Prozent,FDP,FDP in Prozent,AfD,AfD in Prozent,Sonstige,Sonstige in Prozent
113I,11,Lichtenberg,3I,B,3,86,0,629,7,622,136,21.864951768488748,131,21.061093247588424,28,4.501607717041801,271,43.569131832797424,14,2.2508038585209005,6,0.964630225080386,7,1.1254019292604502,18,2.8938906752411575,11,1.7684887459807075
113J,11,Lichtenberg,3J,B,3,86,0,461,4,457,98,21.444201312910284,97,21.2253829321663,20,4.3763676148796495,197,43.10722100656455,13,2.8446389496717726,6,1.312910284463895,4,0.87527352297593,14,3.063457330415755,8,1.75054704595186
113K,11,Lichtenberg,3K,B,3,86,0,619,5,614,126,20.521172638436482,128,20.846905537459286,27,4.397394136807818,254,41.36807817589577,22,3.5830618892508146,8,1.3029315960912053,6,0.9771986970684038,17,2.768729641693811,26,4.234527687296417
11401,11,Lichtenberg,401,W,4,86,1257,615,15,600,113,18.833333333333332,131,21.833333333333332,33,5.5,204,34,34,5.666666666666666,11,1.8333333333333333,8,1.3333333333333335,42,7.000000000000001,24,4
11402,11,Lichtenberg,402,W,4,86,1224,652,12,640,130,20.3125,150,23.4375,25,3.90625,247,38.59375,24,3.75,12,1.875,7,1.09375,35,5.46875,10,1.5625
11403,11,Lichtenberg,403,W,4,86,1318,682,14,668,145,21.706586826347305,147,22.005988023952096,25,3.74251497005988,250,37.4251497005988,22,3.293413173652695,15,2.245508982035928,9,1.347305389221557,42,6.287425149700598,13,1.9461077844311379
11404,11,Lichtenberg,404,W,4,86,1055,539,11,528,118,22.348484848484848,112,21.21212121212121,20,3.787878787878788,194,36.74242424242424,16,3.0303030303030303,12,2.272727272727273,8,1.5151515151515151,35,6.628787878787879,13,2.462121212121212
11405,11,Lichtenberg,405,W,4,86,1234,567,11,556,132,23.741007194244602,109,19.60431654676259,22,3.9568345323741005,217,39.02877697841727,18,3.237410071942446,13,2.338129496402878,4,0.7194244604316548,29,5.215827338129497,12,2.158273381294964
11406,11,Lichtenberg,406,W,4,86,1434,701,14,687,152,22.12518195050946,144,20.96069868995633,49,7.132459970887918,242,35.22561863173217,28,4.075691411935954,13,1.8922852983988356,7,1.0189228529839884,37,5.385735080058224,15,2.1834061135371177
11407,11,Lichtenberg,407,W,4,86,1378,659,14,645,130,20.155038759689923,157,24.34108527131783,25,3.875968992248062,232,35.968992248062015,23,3.565891472868217,20,3.10077519379845,7,1.0852713178294573,28,4.341085271317829,23,3.565891472868217
11408,11,Lichtenberg,408,W,4,86,1359,575,9,566,120,21.20141342756184,138,24.381625441696116,31,5.477031802120141,180,31.802120141342755,21,3.7102473498233217,9,1.5901060070671376,15,2.65017667844523,34,6.007067137809187,18,3.180212014134275
11409,11,Lichtenberg,409,W,4,86,1304,651,13,638,140,21.9435736677116,158,24.76489028213166,46,7.210031347962382,181,28.369905956112852,31,4.858934169278997,20,3.1347962382445136,10,1.5673981191222568,34,5.329153605015674,18,2.8213166144200628
11410,11,Lichtenberg,410,W,4,86,1335,704,11,693,152,21.933621933621932,136,19.624819624819626,82,11.832611832611832,213,30.735930735930733,36,5.194805194805195,5,0.7215007215007215,11,1.5873015873015872,42,6.0606060606060606,16,2.3088023088023086
11411,11,Lichtenberg,411,W,4,86,1535,756,14,742,160,21.563342318059302,154,20.754716981132077,46,6.199460916442049,268,36.118598382749326,19,2.560646900269542,22,2.964959568733154,8,1.078167115902965,39,5.256064690026954,26,3.5040431266846364
11412,11,Lichtenberg,412,W,4,86,988,500,10,490,106,21.63265306122449,91,18.571428571428573,64,13.061224489795919,149,30.408163265306122,30,6.122448979591836,8,1.6326530612244898,9,1.8367346938775513,23,4.6938775510204085,10,2.0408163265306123
11413,11,Lichtenberg,413,W,4,86,1488,788,16,772,183,23.704663212435236,187,24.22279792746114,60,7.772020725388601,200,25.906735751295333,41,5.310880829015544,14,1.8134715025906734,12,1.5544041450777202,58,7.512953367875648,17,2.2020725388601035
11414,11,Lichtenberg,414,W,4,86,980,502,5,497,92,18.51106639839034,100,20.12072434607646,28,5.633802816901409,184,37.02213279678068,23,4.627766599597585,15,3.0181086519114686,8,1.6096579476861168,34,6.841046277665996,13,2.61569416498994
11415,11,Lichtenberg,415,W,4,86,1219,644,8,636,113,17.767295597484274,116,18.238993710691823,30,4.716981132075472,262,41.19496855345912,25,3.930817610062893,18,2.8301886792452833,8,1.257861635220126,46,7.232704402515723,18,2.8301886792452833
11416,11,Lichtenberg,416,W,4,86,1066,589,14,575,119,20.695652173913043,130,22.608695652173914,35,6.086956521739131,190,33.04347826086956,24,4.173913043478262,19,3.304347826086956,8,1.391304347826087,33,5.739130434782608,17,2.9565217391304346
