id,district_id,electoral_district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_graue_panther,party_npd,party_gesundheitsforschung,party_lkr,party_dkp,party_sgp,party_büso,party_menschliche_welt,party_b,party_ödp,party_die_basis,party_bildet_berlin,party_dl,party_deutsche_konservative,party_die_grauen,party_neue_demokraten,party_rep,party_du,party_bündnis21,party_die_frauen,party_freie_wähler,party_klimaliste_berlin,party_ld,party_mieterpartei,party_die_humanisten,party_team_todenhöfer,party_volt,voter_turnout,invalid_votes_percentage,valid_votes_percentage
11517,11,517,987,658,329,0,306,5,303,3,43,42,59,83,34,9,8,5,1,1,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,3,0,0,2,4,0,1,0,0,2,31.00303951367781,0.9803921568627451,99.01960784313727
11518,11,518,850,595,255,0,329,10,328,1,44,58,52,71,42,12,7,19,1,1,0,3,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,3,0,1,0,0,9,38.70588235294118,0.303951367781155,99.69604863221885
11519,11,519,930,624,306,0,324,4,320,4,54,59,35,66,51,15,5,14,3,2,1,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,3,0,0,1,0,2,1,34.83870967741935,1.2345679012345678,98.76543209876543
11520,11,520,852,622,230,0,297,4,294,3,62,66,19,64,42,6,6,14,1,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,2,1,0,0,34.859154929577464,1.0101010101010102,98.98989898989899
11521,11,521,1019,695,324,0,350,5,342,7,53,86,28,79,54,7,6,11,3,1,0,0,0,1,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,34.34739941118744,2.0,97.71428571428571
11522,11,522,956,756,200,0,305,1,304,1,71,60,7,79,50,9,5,9,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,1,31.903765690376567,0.32786885245901637,99.672131147541
11523,11,523,970,690,280,0,348,2,340,6,30,61,83,75,45,9,8,11,1,1,1,1,0,2,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,1,0,1,0,2,2,35.876288659793815,1.7241379310344827,97.70114942528735
11524,11,524,862,627,235,0,325,10,324,1,34,34,81,88,35,6,6,14,2,0,0,1,1,1,1,1,0,2,0,5,0,0,0,0,0,0,2,0,0,0,3,0,1,1,0,5,37.7030162412993,0.3076923076923077,99.6923076923077
11525,11,525,970,634,336,0,363,6,362,1,38,51,121,69,31,9,5,18,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,2,0,0,1,0,0,0,2,7,37.422680412371136,0.27548209366391185,99.72451790633609
11526,11,526,1045,688,357,0,418,13,416,1,56,63,133,55,39,17,5,13,3,1,1,1,1,3,0,0,0,1,1,3,0,0,0,1,0,0,4,0,0,2,0,0,1,0,3,9,40.0,0.23923444976076555,99.52153110047847
11527,11,527,894,612,282,0,326,5,322,4,52,62,48,71,42,12,5,10,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,3,1,3,36.46532438478747,1.2269938650306749,98.77300613496932
11528,11,528,958,707,251,0,340,3,332,6,51,70,45,55,59,13,7,9,5,1,0,2,0,3,0,0,0,1,0,3,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,2,35.49060542797495,1.7647058823529411,97.6470588235294
11529,11,529,1090,804,286,0,343,2,342,1,59,68,34,63,70,7,6,10,1,5,2,0,0,1,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,1,1,0,0,1,3,4,31.46788990825688,0.2915451895043732,99.70845481049562
11530,11,530,1006,657,349,0,308,2,305,3,54,71,17,52,68,8,7,10,6,2,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,30.61630218687873,0.974025974025974,99.02597402597402
11531,11,531,938,699,239,0,384,4,378,6,73,86,28,74,60,13,2,19,4,1,1,1,0,3,1,0,0,0,1,0,0,0,0,4,0,0,1,0,0,3,0,0,0,0,0,3,40.93816631130064,1.5625,98.4375
11532,11,532,1050,773,277,0,333,0,324,8,71,65,19,73,60,6,6,11,1,1,0,2,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,31.71428571428571,2.4024024024024024,97.2972972972973
11533,11,533,876,659,217,0,268,5,264,4,45,57,21,50,48,9,6,8,4,3,0,1,0,1,0,0,0,0,1,2,0,0,0,1,0,0,1,3,0,1,0,0,1,0,0,1,30.59360730593607,1.4925373134328357,98.50746268656717
11534,11,534,1116,831,285,0,353,4,347,6,66,79,23,77,59,15,1,7,1,0,2,2,0,0,2,2,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,31.630824372759857,1.69971671388102,98.30028328611898
115A,11,5A,0,0,0,0,529,529,524,5,72,76,142,94,29,13,21,15,8,1,5,2,0,1,0,0,0,2,0,0,1,0,0,3,0,0,4,0,0,2,6,0,2,4,2,19,inf,0.945179584120983,99.05482041587902
115B,11,5B,0,0,0,0,610,610,608,2,99,104,130,107,49,25,10,39,1,4,0,2,0,1,0,0,0,1,0,1,1,0,0,9,0,0,0,0,0,3,4,0,4,1,0,13,inf,0.32786885245901637,99.672131147541
115C,11,5C,0,0,0,0,415,415,411,4,73,103,40,79,56,10,15,10,3,1,2,4,0,2,1,1,0,1,0,1,0,0,0,3,0,0,1,0,0,3,0,0,2,0,0,0,inf,0.9638554216867471,99.03614457831326
115D,11,5D,0,0,0,0,559,559,555,4,103,137,51,128,59,14,12,19,3,1,1,3,0,1,0,0,0,0,1,4,1,0,0,5,0,0,0,0,0,5,0,0,4,1,0,2,inf,0.7155635062611807,99.28443649373881
115E,11,5E,0,0,0,0,447,447,441,5,82,99,47,98,42,11,10,21,0,2,0,2,0,3,1,0,0,1,0,2,1,0,0,1,0,0,0,2,0,3,3,0,1,1,1,7,inf,1.1185682326621924,98.65771812080537
115F,11,5F,0,0,0,0,467,467,465,2,58,65,136,89,31,17,11,12,3,2,0,1,0,2,0,0,0,1,2,2,0,0,0,1,0,0,6,3,0,2,5,0,3,3,3,7,inf,0.4282655246252677,99.57173447537473
115G,11,5G,0,0,0,0,502,502,499,3,65,73,118,116,26,18,20,31,2,1,0,4,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,2,3,0,6,1,0,7,inf,0.5976095617529881,99.40239043824701
115H,11,5H,0,0,0,0,591,591,585,6,91,124,107,122,52,10,16,18,1,2,0,1,0,0,0,1,0,1,0,5,0,0,0,7,0,0,3,2,0,5,3,0,2,0,0,12,inf,1.015228426395939,98.98477157360406
115I,11,5I,0,0,0,0,456,456,456,0,82,100,66,95,43,8,10,22,1,3,2,3,0,1,0,0,0,1,1,2,2,0,0,4,0,0,4,0,0,1,1,0,1,1,1,1,inf,0.0,100.0
115K,11,5K,0,0,0,0,471,471,467,4,86,124,26,130,46,14,10,13,2,0,0,5,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,3,1,0,1,0,0,1,inf,0.8492569002123143,99.15074309978769
115L,11,5L,0,0,0,0,517,517,510,4,100,126,26,143,48,15,5,15,4,3,0,1,1,3,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,4,1,0,6,0,1,3,inf,0.7736943907156674,98.64603481624758
115M,11,5M,0,0,0,0,455,455,449,6,44,61,149,89,22,14,16,13,4,5,0,0,0,2,3,0,0,0,2,1,1,0,0,2,0,0,8,0,0,2,2,0,3,0,0,6,inf,1.3186813186813187,98.68131868131869
