id,district_id,electoral_district_id,eligible_voters,voters,question_1_invalid_votes,question_1_valid_votes,question_1_vote_yes,question_1_vote_no,question_2_invalid_votes,question_2_valid_votes,question_2_vote_yes,question_2_vote_no,voter_turnout,question_1_invalid_votes_percentage,question_1_valid_votes_percentage,question_1_vote_yes_percentage,question_1_vote_no_percentage,question_2_invalid_votes_percentage,question_2_valid_votes_percentage,question_2_vote_yes_percentage,question_2_vote_no_percentage
03220,03,220,2,1076,0,525,4,36,489,301,188,35,538.0,0.0,0.4879182156133829,0.0037174721189591076,0.03345724907063197,0.4544609665427509,0.27973977695167285,0.17472118959107807,0.032527881040892194
032A,03,2A,2,0,0,752,752,51,701,419,282,41,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
032B,03,2B,2,0,0,734,734,50,684,371,313,50,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
032C,03,2C,2,0,0,941,941,93,848,478,370,65,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
032D,03,2D,2,0,0,842,842,58,784,430,354,51,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
032E,03,2E,2,0,0,624,624,46,578,341,237,49,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
03301,03,301,3,1433,0,507,1,29,478,239,239,29,477.6666666666667,0.0,0.35380321004884857,0.0006978367062107466,0.020237264480111653,0.3335659455687369,0.16678297278436846,0.16678297278436846,0.020237264480111653
03302,03,302,3,1716,0,462,1,38,424,241,183,43,572.0,0.0,0.2692307692307692,0.0005827505827505828,0.022144522144522144,0.24708624708624707,0.14044289044289043,0.10664335664335664,0.02505827505827506
03303,03,303,3,1533,0,393,0,31,362,253,109,50,511.0,0.0,0.2563600782778865,0.0,0.020221787345075015,0.23613829093281147,0.16503587736464448,0.07110241356816699,0.03261578604044357
03304,03,304,3,1196,0,434,0,31,403,236,167,32,398.6666666666667,0.0,0.362876254180602,0.0,0.025919732441471572,0.33695652173913043,0.19732441471571907,0.13963210702341136,0.026755852842809364
03305,03,305,3,1277,0,449,0,35,414,262,152,41,425.6666666666667,0.0,0.35160532498042285,0.0,0.0274079874706343,0.3241973375097886,0.20516836335160532,0.11902897415818324,0.03210649960845732
03306,03,306,3,1457,0,560,1,39,521,322,199,45,485.6666666666667,0.0,0.3843514070006863,0.0006863417982155113,0.026767330130404943,0.3575840768702814,0.22100205902539466,0.13658201784488674,0.03088538091969801
03307,03,307,3,1599,0,624,0,56,568,376,192,64,533.0,0.0,0.3902439024390244,0.0,0.035021888680425266,0.35522201375859913,0.23514696685428393,0.1200750469043152,0.04002501563477173
