vote_type,address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,electoral_district_berlin_election_id,electoral_district_federal_election_id,berlin_east_west,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_graue_panther,party_npd,party_gesundheitsforschung,party_lkr,party_dkp,party_sgp,party_büso,party_menschliche_welt,party_b,party_ödp,party_die_basis,party_bildet_berlin,party_dl,party_deutsche_konservative,party_die_grauen,party_neue_demokraten,party_rep,party_du,party_bündnis21,party_die_frauen,party_freie_wähler,party_klimaliste_berlin,party_ld,party_mieterpartei,party_die_humanisten,party_team_todenhöfer,party_volt
Zweitstimme,01W121,01,Mitte,121,W,1L,1,75,O,1011,662,349,0,404,16,403,1,63,56,145,59,16,22,5,3,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,15,1,0,11
Zweitstimme,01W122,01,Mitte,122,W,1M,1,75,O,1108,718,390,0,440,17,440,0,61,80,139,86,11,37,7,4,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,8
Zweitstimme,01W123,01,Mitte,123,W,1M,1,75,O,920,623,297,0,385,11,384,1,51,69,128,57,6,36,8,8,1,0,0,1,0,1,0,0,0,0,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,10
Zweitstimme,01W124,01,Mitte,124,W,1A,1,75,W,1265,944,321,0,371,8,369,2,60,81,101,43,29,25,2,3,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,2,0,0,1,5,10
Zweitstimme,01W125,01,Mitte,125,W,1C,1,75,O,1466,920,546,0,478,12,477,1,89,87,126,67,30,30,8,9,2,0,0,0,1,5,0,0,0,0,1,3,0,0,0,3,0,0,1,0,0,0,5,0,1,0,2,7
Zweitstimme,01B1A,01,Mitte,1A,B,1A,1,75,W,0,0,0,0,790,790,787,2,103,216,211,48,27,96,14,13,3,1,1,0,0,0,1,0,0,0,1,3,0,0,0,3,0,0,1,0,0,1,2,0,1,2,11,28
Zweitstimme,01B1B,01,Mitte,1B,B,1B,1,75,O,0,0,0,0,808,808,804,2,135,232,231,55,28,82,7,4,2,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,2,1,4,12
Zweitstimme,01B1C,01,Mitte,1C,B,1C,1,75,O,0,0,0,0,839,839,836,3,107,189,264,73,24,101,10,15,3,0,0,3,0,2,1,0,0,1,0,5,1,0,0,1,0,0,2,0,0,4,3,0,0,1,1,25
Zweitstimme,01B1D,01,Mitte,1D,B,1D,1,75,O,0,0,0,0,709,709,708,1,108,160,208,96,15,67,13,5,1,0,0,3,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,3,0,1,1,1,20
Zweitstimme,01B1E,01,Mitte,1E,B,1E,1,75,O,0,0,0,0,822,822,820,2,149,231,184,63,37,86,12,11,2,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,4,0,3,4,3,25
Zweitstimme,01B1F,01,Mitte,1F,B,1F,1,75,O,0,0,0,0,616,616,615,1,84,140,196,92,13,42,6,11,1,0,0,1,0,0,1,0,0,0,0,4,1,0,0,2,0,0,3,0,0,3,2,0,0,0,0,13
Zweitstimme,01B1G,01,Mitte,1G,B,1G,1,75,W,0,0,0,0,662,662,659,3,143,159,159,69,40,39,9,10,1,2,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,4,0,1,1,1,14
Zweitstimme,01B1H,01,Mitte,1H,B,1H,1,75,O,0,0,0,0,722,722,720,2,91,144,254,102,13,55,8,4,1,4,0,1,0,0,2,0,0,1,0,4,2,0,0,1,0,0,4,0,0,0,5,0,1,3,1,19
Zweitstimme,01B1I,01,Mitte,1I,B,1I,1,75,O,0,0,0,0,829,829,829,0,113,151,315,113,18,59,8,7,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,3,0,0,1,5,0,1,1,1,25
Zweitstimme,01B1J,01,Mitte,1J,B,1J,1,75,O,0,0,0,0,403,403,403,0,58,84,102,61,20,38,7,7,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,2,0,2,14
Zweitstimme,01B1K,01,Mitte,1K,B,1K,1,75,O,0,0,0,0,715,715,715,0,82,118,301,84,18,47,7,11,2,0,0,1,0,2,0,0,0,0,1,4,2,0,0,1,0,0,1,0,0,0,5,0,1,0,0,27
Zweitstimme,01B1L,01,Mitte,1L,B,1L,1,75,O,0,0,0,0,589,589,584,2,89,96,221,71,13,37,7,6,0,1,0,1,0,0,0,0,0,1,0,7,1,0,0,2,0,0,1,0,0,1,3,0,6,2,0,18
Zweitstimme,01B1M,01,Mitte,1M,B,1M,1,75,O,0,0,0,0,588,588,587,1,82,133,196,59,7,65,7,6,1,3,0,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,17
Zweitstimme,01W200,01,Mitte,200,W,2A,2,75,O,851,616,235,0,320,1,313,7,61,104,24,44,36,21,2,4,1,1,1,1,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,1,0,1,1,2,2
Zweitstimme,01W201,01,Mitte,201,W,2A,2,75,O,1207,772,435,0,417,7,414,2,54,129,56,64,39,41,5,7,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,2,6
Zweitstimme,01W202,01,Mitte,202,W,2B,2,75,O,1136,720,416,0,380,7,377,3,65,117,41,52,34,38,4,4,2,3,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,2,1,0,0,3,0,0,2,1,2
Zweitstimme,01W203,01,Mitte,203,W,2B,2,75,O,1541,973,568,0,461,8,454,7,84,146,65,53,47,31,3,3,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,1,4,6
Zweitstimme,01W204,01,Mitte,204,W,2C,2,75,O,1550,932,618,0,449,7,447,1,64,143,78,68,34,37,5,2,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,7
Zweitstimme,01W205,01,Mitte,205,W,2C,2,75,O,1189,866,323,0,450,3,448,2,84,107,69,93,44,15,4,10,1,2,0,0,1,2,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,1,0,1,2,3,4
Zweitstimme,01W206,01,Mitte,206,W,2D,2,75,O,1291,884,407,0,415,10,412,3,77,94,72,76,32,32,4,6,1,1,2,0,0,3,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,1,1,0,2,0,0,1
Zweitstimme,01W207,01,Mitte,207,W,2D,2,75,O,1050,693,357,0,358,0,356,2,76,71,56,85,42,8,5,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3
Zweitstimme,01W208,01,Mitte,208,W,2E,2,75,O,910,591,319,0,372,20,371,1,62,77,116,48,11,30,4,6,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10
Zweitstimme,01W209,01,Mitte,209,W,2E,2,75,O,1157,780,377,0,483,19,480,3,56,71,158,99,23,26,8,10,1,0,0,3,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,0,2,0,2,3,2,9
Zweitstimme,01W210,01,Mitte,210,W,2F,2,75,O,1152,800,352,0,448,14,443,5,63,76,128,78,24,40,7,4,0,1,0,1,0,0,1,0,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0,0,1,4,7
Zweitstimme,01W211,01,Mitte,211,W,2F,2,75,O,847,624,223,0,319,4,317,0,37,51,89,62,34,16,10,4,3,2,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2
Zweitstimme,01W212,01,Mitte,212,W,2G,2,75,O,859,566,293,0,340,7,339,1,44,56,114,53,24,23,5,1,1,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,9
Zweitstimme,01W213,01,Mitte,213,W,2G,2,75,O,595,418,177,0,174,5,170,3,23,31,40,32,14,9,1,7,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4
Zweitstimme,01W214,01,Mitte,214,W,2G,2,75,O,818,586,232,0,214,2,208,5,34,45,33,36,17,19,2,4,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,1,0,0,0,0,1,0,3,5
Zweitstimme,01W215,01,Mitte,215,W,2H,2,75,O,939,660,279,0,376,7,372,3,84,100,35,77,39,13,2,7,0,0,0,0,0,1,2,0,0,1,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,2
Zweitstimme,01W216,01,Mitte,216,W,2H,2,75,O,909,609,300,0,375,8,374,1,79,95,38,74,43,12,7,7,1,3,1,3,0,2,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,2,1
Zweitstimme,01W217,01,Mitte,217,W,2I,2,75,O,997,719,278,0,286,5,278,8,60,66,33,65,28,9,1,8,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Zweitstimme,01W218,01,Mitte,218,W,2I,2,75,O,939,693,246,0,336,2,335,1,78,87,23,67,44,7,2,9,0,1,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,2,0,0,1,0,1,0,3,2
Zweitstimme,01W219,01,Mitte,219,W,2I,2,75,O,751,563,188,0,245,3,243,2,49,47,29,50,33,8,5,9,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,1,2,0,2
Zweitstimme,01W220,01,Mitte,220,W,2J,2,75,O,1119,734,385,0,355,11,349,6,65,90,68,70,17,14,2,4,3,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,3
Zweitstimme,01W221,01,Mitte,221,W,2K,2,75,O,1448,955,493,0,534,17,529,1,98,125,99,58,37,65,6,8,1,0,2,2,0,2,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,1,4,0,0,0,1,11
Zweitstimme,01W222,01,Mitte,222,W,2K,2,75,O,820,581,239,0,303,6,299,4,59,62,29,78,26,7,9,7,2,2,1,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,4,2
Zweitstimme,01W223,01,Mitte,223,W,2L,2,75,O,1535,925,610,0,528,8,525,3,100,111,123,87,44,21,7,6,0,2,0,0,0,3,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,3,0,2,2,3,4
Zweitstimme,01W224,01,Mitte,224,W,2M,2,75,O,1283,848,435,0,442,12,441,1,92,103,56,96,42,9,5,13,0,1,1,2,0,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,7
Zweitstimme,01W225,01,Mitte,225,W,2M,2,75,O,1324,812,512,0,437,12,432,5,92,120,53,78,42,12,3,11,1,1,1,3,0,5,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1
Zweitstimme,01W226,01,Mitte,226,W,2J,2,75,O,687,482,205,0,193,4,192,1,29,42,24,47,20,3,3,1,2,2,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,3,0,0,2,1,2,4
Zweitstimme,01W227,01,Mitte,227,W,2N,2,75,O,1496,953,543,0,561,15,553,8,102,83,163,90,32,30,8,15,3,2,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,3,0,1,2,6,6
Zweitstimme,01W228,01,Mitte,228,W,2L,2,75,O,1190,711,479,0,416,8,414,2,96,103,101,37,21,38,2,3,0,1,0,0,0,1,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1
Zweitstimme,01W229,01,Mitte,229,W,2N,2,75,O,1050,654,396,0,375,11,369,5,67,65,115,53,15,25,10,3,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,2,0,2,4
Zweitstimme,01B2A,01,Mitte,2A,B,2A,2,75,O,0,0,0,0,594,594,592,2,97,218,86,79,27,49,5,4,1,4,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,2,0,1,2,4,3
Zweitstimme,01B2B,01,Mitte,2B,B,2B,2,75,O,0,0,0,0,878,878,873,5,135,281,131,135,65,70,8,11,3,1,1,6,0,0,1,0,0,0,0,3,0,0,0,1,0,0,1,0,0,1,1,0,3,3,4,8
Zweitstimme,01B2C,01,Mitte,2C,B,2C,2,75,O,0,0,0,0,840,840,840,0,154,229,139,133,42,83,9,20,1,1,0,1,1,3,0,2,0,2,0,3,0,0,0,4,0,0,6,0,0,0,2,0,1,1,1,2
Zweitstimme,01B2D,01,Mitte,2D,B,2D,2,75,O,0,0,0,0,690,690,689,1,144,171,97,155,50,28,8,3,1,8,0,1,1,8,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,1,1,0,6
Zweitstimme,01B2E,01,Mitte,2E,B,2E,2,75,O,0,0,0,0,596,596,593,3,84,93,212,83,21,49,10,8,2,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,1,3,0,0,0,0,18
Zweitstimme,01B2F,01,Mitte,2F,B,2F,2,75,O,0,0,0,0,500,500,500,0,62,83,170,84,16,42,9,5,0,1,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,1,3,0,14
Zweitstimme,01B2G,01,Mitte,2G,B,2G,2,75,O,0,0,0,0,604,604,598,3,97,137,151,96,36,48,5,5,0,1,0,3,1,0,1,0,0,1,0,2,1,0,0,0,0,0,2,0,0,2,0,0,0,0,2,7
Zweitstimme,01B2H,01,Mitte,2H,B,2H,2,75,O,0,0,0,0,519,519,515,4,117,138,47,143,23,11,7,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,0,1,2,0,10
Zweitstimme,01B2I,01,Mitte,2I,B,2I,2,75,O,0,0,0,0,633,633,633,0,125,182,61,136,55,20,11,13,1,1,0,1,0,1,1,0,0,0,2,2,1,0,0,5,0,0,1,0,0,3,1,0,1,3,0,6
Zweitstimme,01B2J,01,Mitte,2J,B,2J,2,75,O,0,0,0,0,526,526,519,7,73,111,93,124,39,27,4,14,2,3,0,0,0,2,0,1,0,0,0,3,1,0,0,4,0,0,2,0,0,1,2,0,1,2,0,10
Zweitstimme,01B2K,01,Mitte,2K,B,2K,2,75,O,0,0,0,0,643,643,643,0,100,167,132,99,29,77,7,10,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,1,1,0,0,1,3,8
Zweitstimme,01B2L,01,Mitte,2L,B,2L,2,75,O,0,0,0,0,969,969,968,1,162,231,236,146,51,65,10,17,6,1,1,1,0,3,0,0,0,0,0,7,2,0,0,5,0,0,0,0,0,1,1,0,1,1,3,17
Zweitstimme,01B2M,01,Mitte,2M,B,2M,2,75,O,0,0,0,0,849,849,846,3,180,229,102,177,58,26,15,21,4,4,1,0,0,3,0,0,0,0,4,3,0,0,0,1,0,0,4,0,0,0,1,0,1,2,2,8
Zweitstimme,01B2N,01,Mitte,2N,B,2N,2,75,O,0,0,0,0,828,828,827,1,103,177,285,117,26,45,17,14,1,0,0,2,0,0,0,0,0,0,1,5,0,0,0,2,0,0,3,0,0,0,2,0,0,2,3,22
Zweitstimme,01W300,01,Mitte,300,W,3A,3,75,W,1194,911,283,0,356,8,353,2,48,38,93,78,18,18,13,9,3,2,0,1,0,2,0,0,0,2,0,5,0,0,0,1,0,0,1,2,0,3,3,0,1,0,5,7
Zweitstimme,01W301,01,Mitte,301,W,3A,3,75,W,960,670,290,0,332,8,332,0,51,40,94,58,22,19,11,11,4,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,2,1,0,0,0,0,1,1,2,8
Zweitstimme,01W302,01,Mitte,302,W,3B,3,75,W,1127,894,233,0,395,9,389,6,62,62,105,58,32,21,6,12,3,0,1,1,0,2,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,3,4,7
Zweitstimme,01W303,01,Mitte,303,W,3B,3,75,W,897,698,199,0,296,7,289,7,51,50,74,49,24,11,7,2,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,7,5
Zweitstimme,01W304,01,Mitte,304,W,3B,3,75,W,874,672,202,0,393,7,392,1,68,77,117,53,19,28,7,5,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,8
Zweitstimme,01W305,01,Mitte,305,W,3C,3,75,W,1027,648,379,0,388,6,385,3,72,84,116,52,21,13,5,9,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,2,0,3,2
Zweitstimme,01W306,01,Mitte,306,W,3D,3,75,W,1322,804,518,0,479,15,478,1,82,62,187,70,19,17,4,12,2,0,0,1,0,0,0,0,0,1,2,2,0,0,0,3,0,0,3,0,0,2,1,0,3,0,0,5
Zweitstimme,01W307,01,Mitte,307,W,3C,3,75,W,1146,712,434,0,412,11,409,3,75,99,105,48,19,28,4,13,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,0,0,3,0,0,0,2,0,0,3,2,2
Zweitstimme,01W308,01,Mitte,308,W,3D,3,75,W,1124,726,398,0,497,21,493,2,87,79,180,70,24,18,3,10,1,2,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,7
Zweitstimme,01W309,01,Mitte,309,W,3E,3,75,W,1260,760,500,0,488,11,488,0,76,84,167,62,24,29,14,8,1,2,0,0,0,1,0,0,0,1,1,4,1,0,0,1,0,0,1,0,0,1,1,0,2,0,2,5
Zweitstimme,01W310,01,Mitte,310,W,3E,3,75,W,921,607,314,0,329,6,324,3,60,73,93,47,13,17,2,5,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,1,0,0,0,3,0,0,1,1,0
Zweitstimme,01W311,01,Mitte,311,W,3F,3,75,W,1006,609,397,0,383,11,382,1,74,55,139,58,17,20,2,6,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
Zweitstimme,01W312,01,Mitte,312,W,3F,3,75,W,777,516,261,0,291,4,288,3,55,46,96,52,13,4,1,7,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,2,1,0,1,1,0,3
Zweitstimme,01W313,01,Mitte,313,W,3F,3,75,W,829,555,274,0,302,4,302,0,58,56,107,43,11,12,4,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4
Zweitstimme,01W314,01,Mitte,314,W,3G,3,75,W,1060,789,271,0,380,11,372,8,74,113,73,54,12,21,4,4,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,4
Zweitstimme,01W315,01,Mitte,315,W,3G,3,75,W,792,585,207,0,282,6,280,1,59,48,84,35,24,11,3,3,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,1,0,3
Zweitstimme,01W316,01,Mitte,316,W,3H,3,75,W,1311,1023,288,0,382,4,376,6,80,120,34,42,44,17,4,8,1,2,0,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,5
Zweitstimme,01W317,01,Mitte,317,W,3I,3,75,W,908,639,269,0,332,8,327,4,60,58,93,54,15,17,5,4,2,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,6
Zweitstimme,01W318,01,Mitte,318,W,3I,3,75,W,1056,683,373,0,405,6,404,1,81,98,93,56,19,29,3,10,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,2,2,0,0,0,1,4
Zweitstimme,01W319,01,Mitte,319,W,3I,3,75,W,973,607,366,0,354,4,351,3,67,77,100,38,24,19,3,7,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5
Zweitstimme,01W320,01,Mitte,320,W,3J,3,75,W,557,372,185,0,285,4,282,2,62,79,85,19,11,14,1,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Zweitstimme,01W321,01,Mitte,321,W,3J,3,75,W,1075,756,319,0,437,9,431,5,83,143,77,40,33,31,6,6,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5
Zweitstimme,01W322,01,Mitte,322,W,3J,3,75,W,1074,795,279,0,357,9,356,1,83,117,56,29,20,29,2,4,2,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6
Zweitstimme,01W323,01,Mitte,323,W,3H,3,75,W,1138,773,365,0,451,10,447,4,82,151,93,40,31,24,1,8,3,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
Zweitstimme,01W324,01,Mitte,324,W,3K,3,75,W,1497,1025,472,0,393,13,387,5,76,115,61,41,26,42,4,5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,5
Zweitstimme,01W325,01,Mitte,325,W,3L,3,75,W,1016,810,206,0,354,4,351,2,77,97,67,56,12,18,4,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,9
