party,name,year_of_birth,profession,direct_mandate_list_mandate,electoral_district
CDU,"Senge, Katharina",1982,Referentin,L,Tempelhof-Schöneberg
CDU,"Förster, Christopher",1986,Projektmanager,D,Neukölln
CDU,"Dr. Juhnke, Robbin",1967,Diplom-Kaufmann,D,Neukölln
CDU,"Schenk, Olaf",1974,Angestellter,D,Neukölln
CDU,"Evers, Stefan",1979,Mitglied des Abgeordnetenhauses,D,Treptow-Köpenick
CDU,"Knack, Lisa-Bettina",1986,Sozialarbeiterin,D,Treptow-Köpenick
CDU,"Dr. Sattelkau, Martin",1957,Berufsbetreuer,D,Treptow-Köpenick
CDU,"Penn, Maik",1981,Mitglied des Abgeordnetenhauses,D,Treptow-Köpenick
CDU,"Gauks, Olga",1987,Lehrerin,D,Marzahn-Hellersdorf
CDU,"Gräff, Christian",1978,Kaufmann,D,Marzahn-Hellersdorf
CDU,"Günther-Wünsch, Katharina",1983,Lehrerin,D,Marzahn-Hellersdorf
CDU,"Herrmann, Alexander",1975,Rechtsanwalt,D,Marzahn-Hellersdorf
CDU,"Freymark, Danny",1983,Mitglied des Abgeordnetenhauses,D,Lichtenberg
CDU,"Dr. Pätzold, Martin",1984,Geschäftsführer einer Stiftung,D,Lichtenberg
CDU,"Haustein, Dennis",1990,Niederlassungsleiter,D,Lichtenberg
CDU,"Usik, Lilia",1989,"Wissenschaftliche Mitarbeiterin 
im Deutschen Bundestag",D,Lichtenberg
CDU,"Dregger, Burkard",1964,Rechtsanwalt,D,Reinickendorf
CDU,"Demirbüken-Wegner, Emine",1961,Mitglied des Abgeordnetenhauses,D,Reinickendorf
CDU,"Schmidt, Stephan",1973,Referent,D,Reinickendorf
CDU,"Wohlert, Björn",1988,Referent für Onlinekommunikation,D,Reinickendorf
CDU,"Dietmann, Michael",1968,Bankkaufmann,D,Reinickendorf
CDU,"Balzer, Frank",1964,Bezirksbürgermeister,D,Reinickendorf
GRÜNE,"Jarasch, Bettina",1968,Mitglied des Abgeordnetenhauses,L,x
GRÜNE,"Kapek, Antje",1976,"Fraktionsvorsitzende 
Bündnis 90/Die GRÜNEN",L,x
GRÜNE,"Dr. Haghanipour, Bahar",1984,"Referentin und 
Bereichsleiterin (Deutscher Frauenrat)",L,x
GRÜNE,"Wesener, Daniel",1975,Politiker,L,x
GRÜNE,"Graf, Werner",1980,Landesvorsitzender,L,x
GRÜNE,"Schedlich, Klara",2000,Studentin,L,x
GRÜNE,"Ziller, Stefan",1981,Mitglied des Abgeordnetenhauses,L,x
GRÜNE,"Ahmadi, Gollaleh",1982,"Büroleiterin bei Mitglied des 
Abgeordnetenhauses",L,x
GRÜNE,"Dr. Taschner, Stefan",1969,Mitglied des Abgeordnetenhauses,L,x
GRÜNE,"Wahlen, Catrin",1972,Büromitarbeiterin,L,x
GRÜNE,"Tomiak, June",1997,Studentin/Abgeordnete,L,x
GRÜNE,"Wojahn, Tonka",1975,Wissenschaftliche Mitarbeiterin,L,x
GRÜNE,"Wapler, Christoph",1969,Rechtsanwalt,L,x
GRÜNE,"Remlinger, Stefanie",1970,Mitglied des Abgeordnetenhauses,L,x
GRÜNE,"Gebel, Silke",1983,Mitglied des Abgeordnetenhauses,D,Mitte
GRÜNE,"Omar, Jian",1985,Politischer Referent,D,Mitte
GRÜNE,"Kurt, Taylan",1988,Referent,D,Mitte
GRÜNE,"Bozkurt, Tuba",1983,Beraterin,D,Mitte
GRÜNE,"Neugebauer, Laura",1995,Studentin,D,Mitte
GRÜNE,"Schmidberger, Katrin",1982,"Politikerin, 
Mitglied des Abgeordnetenhauses",D,Friedrichshain-Kreuzberg
GRÜNE,"Burkert-Eulitz, Marianne",1972,Abgeordnete und Rechtsanwältin,D,Friedrichshain-Kreuzberg
GRÜNE,"Dr. Altuğ, Turgut",1965,Geschäftsführer,D,Friedrichshain-Kreuzberg
GRÜNE,"Franco, Vasili",1992,Wissenschaftlicher Mitarbeiter,D,Friedrichshain-Kreuzberg
GRÜNE,"Schwarze, Julian",1983,Wissenschaftlicher Mitarbeiter,D,Friedrichshain-Kreuzberg
GRÜNE,"Hassepaß, Oda",1974,Leiterin Kundenkommunikation,D,Pankow
GRÜNE,"Krüger, Louis",1996,Projektleiter,D,Pankow
GRÜNE,"Otto, Andreas",1962,Mitglied des Abgeordnetenhauses,D,Pankow
GRÜNE,"Schneider, Julia",1990,Landesbeamtin,D,Pankow
GRÜNE,"Billig, Daniela",1970,Mitglied des Abgeordnetenhauses,D,Pankow
