address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,berlin_east_west,electoral_district_berlin_election_id,electoral_district_federal_election_id,eligible_voters,voters,invalid_votes,valid_votes,party_cdu,party_cdu_percentage,party_spd,party_spd_percentage,party_die_linke,party_die_linke_percentage,party_grüne,party_grüne_percentage,party_afd,party_afd_percentage,party_fdp,party_fdp_percentage,others,others_percentage
01W113,01,Mitte,113,W,011D,O,1,75,1214,696,7,689,132,19.2,173,25.1,100,14.5,185,26.9,25,3.6,22,3.2,52,7.5
01W114,01,Mitte,114,W,011D,O,1,75,1486,816,2,814,153,18.8,181,22.2,154,18.9,183,22.5,29,3.6,48,5.9,66,8.1
01W115,01,Mitte,115,W,011D,O,1,75,897,468,1,467,116,24.8,99,21.2,117,25.1,66,14.1,16,3.4,16,3.4,37,7.9
01W116,01,Mitte,116,W,011D,O,1,75,736,400,5,395,100,25.3,88,22.3,61,15.4,76,19.2,15,3.8,24,6.1,31,7.8
01W117,01,Mitte,117,W,011D,O,1,75,1551,893,3,890,219,24.6,203,22.8,140,15.7,201,22.6,28,3.1,31,3.5,68,7.6
01W118,01,Mitte,118,W,011E,O,1,75,1070,615,8,607,112,18.5,152,25.0,127,20.9,138,22.7,23,3.8,23,3.8,32,5.3
01W119,01,Mitte,119,W,011E,O,1,75,940,517,3,514,97,18.9,143,27.8,95,18.5,119,23.2,12,2.3,16,3.1,32,6.2
01W120,01,Mitte,120,W,011E,O,1,75,1130,588,7,581,108,18.6,137,23.6,106,18.2,135,23.2,22,3.8,25,4.3,48,8.3
01W121,01,Mitte,121,W,011E,O,1,75,1153,618,8,610,131,21.5,152,24.9,102,16.7,130,21.3,25,4.1,31,5.1,39,6.4
01W122,01,Mitte,122,W,011E,O,1,75,1136,589,9,580,126,21.7,146,25.2,103,17.8,131,22.6,11,1.9,27,4.7,36,6.2
01W123,01,Mitte,123,W,011E,O,1,75,1061,534,5,529,124,23.4,122,23.1,70,13.2,141,26.7,13,2.5,32,6.0,27,5.1
01W200,01,Mitte,200,W,012A,O,2,75,896,479,5,474,125,26.4,101,21.3,134,28.3,32,6.8,30,6.3,19,4.0,33,7.0
01W201,01,Mitte,201,W,012A,O,2,75,1212,608,7,601,180,30.0,128,21.3,116,19.3,51,8.5,34,5.7,59,9.8,33,5.5
01W202,01,Mitte,202,W,012A,O,2,75,1121,552,6,546,159,29.1,116,21.2,148,27.1,32,5.9,34,6.2,38,7.0,19,3.5
01W203,01,Mitte,203,W,012A,O,2,75,1161,585,9,576,137,23.8,116,20.1,224,38.9,27,4.7,29,5.0,11,1.9,32,5.6
01W204,01,Mitte,204,W,012A,O,2,75,1281,606,10,596,186,31.2,119,20.0,164,27.5,42,7.0,28,4.7,32,5.4,25,4.2
01W205,01,Mitte,205,W,012B,O,2,75,1166,562,5,557,115,20.6,133,23.9,184,33.0,46,8.3,24,4.3,17,3.1,38,6.8
01W206,01,Mitte,206,W,012B,O,2,75,1384,658,3,655,156,23.8,141,21.5,203,31.0,59,9.0,30,4.6,18,2.7,48,7.3
01W207,01,Mitte,207,W,012B,O,2,75,1217,605,5,600,117,19.5,132,22.0,229,38.2,52,8.7,31,5.2,11,1.8,28,4.7
01W208,01,Mitte,208,W,012B,O,2,75,937,466,3,463,101,21.8,97,21.0,80,17.3,111,24.0,16,3.5,26,5.6,32,6.9
01W209,01,Mitte,209,W,012B,O,2,75,1307,696,9,687,133,19.4,173,25.2,141,20.5,146,21.3,20,2.9,32,4.7,42,6.1
01W210,01,Mitte,210,W,012C,O,2,75,1166,600,4,596,126,21.1,112,18.8,122,20.5,129,21.6,23,3.9,42,7.0,42,7.0
01W211,01,Mitte,211,W,012C,O,2,75,941,478,8,470,73,15.5,106,22.6,155,33.0,76,16.2,19,4.0,13,2.8,28,6.0
01W212,01,Mitte,212,W,012C,O,2,75,899,441,1,440,82,18.6,86,19.5,107,24.3,104,23.6,13,3.0,21,4.8,27,6.1
01W213,01,Mitte,213,W,012C,O,2,75,641,303,5,298,59,19.8,61,20.5,78,26.2,42,14.1,17,5.7,12,4.0,29,9.7
01W214,01,Mitte,214,W,012C,O,2,75,638,291,5,286,47,16.4,59,20.6,110,38.5,24,8.4,17,5.9,7,2.4,22,7.7
01W215,01,Mitte,215,W,012C,O,2,75,1096,592,12,580,134,23.1,102,17.6,219,37.8,36,6.2,29,5.0,10,1.7,50,8.6
01W216,01,Mitte,216,W,012D,O,2,75,1018,571,5,566,128,22.6,109,19.3,234,41.3,38,6.7,25,4.4,5,0.9,27,4.8
01W217,01,Mitte,217,W,012D,O,2,75,1133,518,18,500,90,18.0,100,20.0,222,44.4,30,6.0,14,2.8,11,2.2,33,6.6
01W218,01,Mitte,218,W,012D,O,2,75,1594,838,14,824,192,23.3,171,20.8,326,39.6,34,4.1,39,4.7,13,1.6,49,5.9
01W219,01,Mitte,219,W,012D,O,2,75,395,208,3,205,39,19.0,41,20.0,78,38.0,13,6.3,10,4.9,5,2.4,19,9.3
01W220,01,Mitte,220,W,012D,O,2,75,898,405,9,396,81,20.5,92,23.2,169,42.7,17,4.3,11,2.8,7,1.8,19,4.8
01W221,01,Mitte,221,W,012E,O,2,75,1340,665,8,657,146,22.2,153,23.3,137,20.9,94,14.3,35,5.3,47,7.2,45,6.8
01W222,01,Mitte,222,W,012E,O,2,75,930,456,4,452,101,22.3,93,20.6,177,39.2,24,5.3,15,3.3,8,1.8,34,7.5
01W223,01,Mitte,223,W,012E,O,2,75,1312,718,13,705,145,20.6,171,24.3,276,39.1,43,6.1,35,5.0,15,2.1,20,2.8
01W224,01,Mitte,224,W,012E,O,2,75,861,449,5,444,94,21.2,99,22.3,163,36.7,33,7.4,23,5.2,4,0.9,28,6.3
01W225,01,Mitte,225,W,012F,O,2,75,1308,706,8,698,166,23.8,164,23.5,238,34.1,44,6.3,33,4.7,12,1.7,41,5.9
01W226,01,Mitte,226,W,012F,O,2,75,855,447,7,440,100,22.7,89,20.2,179,40.7,24,5.5,17,3.9,7,1.6,24,5.5
01W227,01,Mitte,227,W,012F,O,2,75,1181,611,12,599,113,18.9,136,22.7,175,29.2,98,16.4,29,4.8,12,2.0,36,6.0
01W228,01,Mitte,228,W,012F,O,2,75,2122,1132,8,1124,272,24.2,312,27.8,205,18.2,181,16.1,32,2.8,47,4.2,75,6.7
01W300,01,Mitte,300,W,013A,W,3,75,1323,577,11,566,116,20.5,187,33.0,96,17.0,73,12.9,27,4.8,9,1.6,58,10.2
01W301,01,Mitte,301,W,013A,W,3,75,907,481,6,475,78,16.4,120,25.3,91,19.2,93,19.6,22,4.6,16,3.4,55,11.6
01W302,01,Mitte,302,W,013A,W,3,75,1167,582,11,571,110,19.3,172,30.1,93,16.3,100,17.5,19,3.3,20,3.5,57,10.0
01W303,01,Mitte,303,W,013A,W,3,75,902,447,13,434,86,19.8,124,28.6,82,18.9,72,16.6,15,3.5,16,3.7,39,9.0
01W304,01,Mitte,304,W,013E,W,3,75,907,490,7,483,107,22.2,138,28.6,65,13.5,92,19.0,28,5.8,19,3.9,34,7.0
01W305,01,Mitte,305,W,013A,W,3,75,1116,612,9,603,143,23.7,179,29.7,82,13.6,117,19.4,37,6.1,21,3.5,24,4.0
01W306,01,Mitte,306,W,013B,W,3,75,1355,756,4,752,111,14.8,206,27.4,124,16.5,205,27.3,10,1.3,25,3.3,71,9.4
01W307,01,Mitte,307,W,013B,W,3,75,1162,691,8,683,207,30.3,198,29.0,81,11.9,115,16.8,22,3.2,26,3.8,34,5.0
01W308,01,Mitte,308,W,013B,W,3,75,1124,670,8,662,119,18.0,214,32.3,88,13.3,173,26.1,21,3.2,13,2.0,34,5.1
01W309,01,Mitte,309,W,013B,W,3,75,1292,745,5,740,143,19.3,227,30.7,93,12.6,176,23.8,24,3.2,36,4.9,41,5.5
01W310,01,Mitte,310,W,013B,W,3,75,943,520,8,512,115,22.5,151,29.5,64,12.5,108,21.1,20,3.9,15,2.9,39,7.6
01W311,01,Mitte,311,W,013C,W,3,75,1066,566,3,563,133,23.6,164,29.1,67,11.9,130,23.1,22,3.9,27,4.8,20,3.6
01W312,01,Mitte,312,W,013C,W,3,75,823,411,7,404,72,17.8,131,32.4,66,16.3,87,21.5,16,4.0,12,3.0,20,5.0
01W313,01,Mitte,313,W,013C,W,3,75,888,449,5,444,104,23.4,137,30.9,43,9.7,88,19.8,23,5.2,25,5.6,24,5.4
01W314,01,Mitte,314,W,013C,W,3,75,1136,600,10,590,181,30.7,153,25.9,72,12.2,89,15.1,27,4.6,21,3.6,47,8.0
01W315,01,Mitte,315,W,013C,W,3,75,885,467,8,459,110,24.0,130,28.3,59,12.9,82,17.9,23,5.0,16,3.5,39,8.5
01W316,01,Mitte,316,W,013D,W,3,75,1198,664,10,654,198,30.3,210,32.1,98,15.0,73,11.2,23,3.5,13,2.0,39,6.0
01W317,01,Mitte,317,W,013D,W,3,75,792,394,3,391,85,21.7,116,29.7,65,16.6,66,16.9,18,4.6,8,2.0,33,8.4
01W318,01,Mitte,318,W,013D,W,3,75,1140,567,8,559,180,32.2,164,29.3,68,12.2,80,14.3,18,3.2,25,4.5,24,4.3
01W319,01,Mitte,319,W,013D,W,3,75,1047,545,8,537,119,22.2,148,27.6,75,14.0,104,19.4,32,6.0,32,6.0,27,5.0
01W320,01,Mitte,320,W,013D,W,3,75,626,367,1,366,111,30.3,112,30.6,30,8.2,72,19.7,15,4.1,13,3.6,13,3.6
01W321,01,Mitte,321,W,013E,W,3,75,1056,563,4,559,188,33.6,147,26.3,54,9.7,82,14.7,30,5.4,39,7.0,19,3.4
01W322,01,Mitte,322,W,013E,W,3,75,1236,538,8,530,190,35.8,137,25.8,57,10.8,53,10.0,29,5.5,30,5.7,34,6.4
01W323,01,Mitte,323,W,013E,W,3,75,1205,628,4,624,210,33.7,158,25.3,87,13.9,58,9.3,42,6.7,33,5.3,36,5.8
01W324,01,Mitte,324,W,013E,W,3,75,1542,706,5,701,230,32.8,199,28.4,93,13.3,87,12.4,25,3.6,39,5.6,28,4.0
01W325,01,Mitte,325,W,013F,W,3,75,1087,473,9,464,104,22.4,136,29.3,74,15.9,72,15.5,24,5.2,22,4.7,32,6.9
01W326,01,Mitte,326,W,013F,W,3,75,1122,558,8,550,130,23.6,152,27.6,86,15.6,99,18.0,24,4.4,15,2.7,44,8.0
01W327,01,Mitte,327,W,013F,W,3,75,1268,608,5,603,92,15.3,166,27.5,101,16.7,149,24.7,19,3.2,29,4.8,47,7.8
01W400,01,Mitte,400,W,014A,W,4,75,1320,647,10,637,132,20.7,188,29.5,104,16.3,96,15.1,30,4.7,17,2.7,70,11.0
01W401,01,Mitte,401,W,014A,W,4,75,962,477,5,472,75,15.9,127,26.9,74,15.7,80,16.9,29,6.1,22,4.7,65,13.8
01W402,01,Mitte,402,W,014A,W,4,75,1294,609,10,599,84,14.0,181,30.2,131,21.9,84,14.0,26,4.3,14,2.3,79,13.2
01W403,01,Mitte,403,W,014A,W,4,75,980,526,9,517,88,17.0,141,27.3,104,20.1,100,19.3,19,3.7,14,2.7,51,9.9
01W404,01,Mitte,404,W,014A,W,4,75,732,323,6,317,76,24.0,88,27.8,49,15.5,48,15.1,13,4.1,12,3.8,31,9.8
01W405,01,Mitte,405,W,014A,W,4,75,779,371,10,361,60,16.6,105,29.1,55,15.2,67,18.6,21,5.8,7,1.9,46,12.7
01W406,01,Mitte,406,W,014B,W,4,75,889,460,7,453,87,19.2,140,30.9,83,18.3,70,15.5,14,3.1,8,1.8,51,11.3
01W407,01,Mitte,407,W,014B,W,4,75,1179,671,13,658,153,23.3,171,26.0,107,16.3,117,17.8,22,3.3,24,3.6,64,9.7
01W408,01,Mitte,408,W,014B,W,4,75,1036,581,9,572,101,17.7,162,28.3,98,17.1,122,21.3,22,3.8,17,3.0,50,8.7
01W409,01,Mitte,409,W,014B,W,4,75,972,513,9,504,90,17.9,125,24.8,101,20.0,110,21.8,15,3.0,14,2.8,49,9.7
01W410,01,Mitte,410,W,014B,W,4,75,1194,618,8,610,110,18.0,162,26.6,97,15.9,145,23.8,21,3.4,10,1.6,65,10.7
01W411,01,Mitte,411,W,014B,W,4,75,1042,531,5,526,92,17.5,145,27.6,90,17.1,100,19.0,23,4.4,12,2.3,64,12.2
01W412,01,Mitte,412,W,014C,W,4,75,922,474,9,465,83,17.8,143,30.8,78,16.8,82,17.6,19,4.1,9,1.9,51,11.0
01W413,01,Mitte,413,W,014C,W,4,75,853,438,11,427,91,21.3,137,32.1,63,14.8,62,14.5,17,4.0,4,0.9,53,12.4
01W414,01,Mitte,414,W,014C,W,4,75,851,468,9,459,81,17.6,106,23.1,90,19.6,94,20.5,13,2.8,14,3.1,61,13.3
01W415,01,Mitte,415,W,014C,W,4,75,806,430,7,423,69,16.3,115,27.2,90,21.3,87,20.6,13,3.1,14,3.3,35,8.3
01W416,01,Mitte,416,W,014C,W,4,75,1034,547,10,537,121,22.5,155,28.9,94,17.5,88,16.4,25,4.7,12,2.2,42,7.8
01W417,01,Mitte,417,W,014C,W,4,75,1130,543,14,529,83,15.7,177,33.5,87,16.4,103,19.5,10,1.9,15,2.8,54,10.2
01W418,01,Mitte,418,W,014D,W,4,75,1164,510,7,503,91,18.1,161,32.0,80,15.9,90,17.9,16,3.2,16,3.2,49,9.7
01W419,01,Mitte,419,W,014D,W,4,75,1370,729,10,719,104,14.5,222,30.9,128,17.8,147,20.4,21,2.9,13,1.8,84,11.7
01W420,01,Mitte,420,W,014D,W,4,75,1030,546,10,536,102,19.0,142,26.5,96,17.9,111,20.7,14,2.6,15,2.8,56,10.4
01W421,01,Mitte,421,W,014D,W,4,75,797,420,11,409,102,24.9,104,25.4,70,17.1,55,13.4,20,4.9,11,2.7,47,11.5
01W422,01,Mitte,422,W,014D,W,4,75,905,445,10,435,78,17.9,111,25.5,81,18.6,84,19.3,17,3.9,10,2.3,54,12.4
01W423,01,Mitte,423,W,014E,W,4,75,856,428,6,422,97,23.0,128,30.3,58,13.7,62,14.7,22,5.2,11,2.6,44,10.4
01W424,01,Mitte,424,W,014E,W,4,75,1239,569,5,564,98,17.4,162,28.7,108,19.1,101,17.9,30,5.3,13,2.3,52,9.2
01W425,01,Mitte,425,W,014E,W,4,75,1291,667,15,652,125,19.2,156,23.9,139,21.3,121,18.6,22,3.4,12,1.8,77,11.8
01W426,01,Mitte,426,W,014E,W,4,75,1353,673,12,661,93,14.1,169,25.6,132,20.0,155,23.4,26,3.9,10,1.5,76,11.5
01W427,01,Mitte,427,W,014E,W,4,75,916,443,6,437,86,19.7,143,32.7,75,17.2,63,14.4,17,3.9,15,3.4,38,8.7
01W428,01,Mitte,428,W,014E,W,4,75,812,396,1,395,64,16.2,118,29.9,62,15.7,72,18.2,11,2.8,13,3.3,55,13.9
01W500,01,Mitte,500,W,015A,W,5,75,1034,519,10,509,143,28.1,146,28.7,82,16.1,40,7.9,33,6.5,14,2.8,51,10.0
01W501,01,Mitte,501,W,015A,W,5,75,833,470,20,450,143,31.8,137,30.4,59,13.1,38,8.4,26,5.8,10,2.2,37,8.2
01W502,01,Mitte,502,W,015A,W,5,75,577,263,7,256,71,27.7,83,32.4,40,15.6,18,7.0,14,5.5,9,3.5,21,8.2
01W503,01,Mitte,503,W,015A,W,5,75,1129,628,17,611,253,41.4,179,29.3,60,9.8,32,5.2,31,5.1,24,3.9,32,5.2
01W504,01,Mitte,504,W,015A,W,5,75,691,322,7,315,79,25.1,108,34.3,46,14.6,31,9.8,17,5.4,7,2.2,27,8.6
01W505,01,Mitte,505,W,015A,W,5,75,955,455,11,444,87,19.6,162,36.5,69,15.5,48,10.8,33,7.4,11,2.5,34,7.7
01W506,01,Mitte,506,W,015A,W,5,75,1038,574,19,555,220,39.6,154,27.7,53,9.5,42,7.6,33,5.9,17,3.1,36,6.5
01W507,01,Mitte,507,W,015B,W,5,75,1481,773,17,756,229,30.3,226,29.9,100,13.2,75,9.9,47,6.2,15,2.0,64,8.5
01W508,01,Mitte,508,W,015B,W,5,75,1148,622,14,608,186,30.6,192,31.6,78,12.8,52,8.6,41,6.7,14,2.3,45,7.4
01W509,01,Mitte,509,W,015B,W,5,75,1039,493,9,484,150,31.0,144,29.8,64,13.2,23,4.8,25,5.2,18,3.7,60,12.4
01W510,01,Mitte,510,W,015B,W,5,75,1027,509,12,497,164,33.0,140,28.2,67,13.5,22,4.4,34,6.8,11,2.2,59,11.9
01W511,01,Mitte,511,W,015B,W,5,75,1088,546,16,530,144,27.2,168,31.7,85,16.0,31,5.8,39,7.4,18,3.4,45,8.5
01W512,01,Mitte,512,W,015C,W,5,75,1074,448,13,435,101,23.2,128,29.4,85,19.5,45,10.3,18,4.1,6,1.4,52,12.0
01W513,01,Mitte,513,W,015C,W,5,75,1286,659,8,651,135,20.7,186,28.6,125,19.2,81,12.4,30,4.6,15,2.3,79,12.1
01W514,01,Mitte,514,W,015C,W,5,75,1027,469,10,459,101,22.0,131,28.5,84,18.3,53,11.5,23,5.0,13,2.8,54,11.8
01W515,01,Mitte,515,W,015C,W,5,75,1207,618,22,596,126,21.1,185,31.0,100,16.8,82,13.8,31,5.2,8,1.3,64,10.7
01W516,01,Mitte,516,W,015C,W,5,75,995,465,9,456,89,19.5,129,28.3,106,23.2,62,13.6,20,4.4,10,2.2,40,8.8
01W517,01,Mitte,517,W,015D,W,5,75,1401,602,10,592,154,26.0,156,26.4,105,17.7,80,13.5,26,4.4,12,2.0,59,10.0
01W518,01,Mitte,518,W,015D,W,5,75,1212,533,7,526,76,14.4,137,26.0,115,21.9,107,20.3,10,1.9,13,2.5,68,12.9
01W519,01,Mitte,519,W,015D,W,5,75,1346,743,19,724,113,15.6,222,30.7,144,19.9,129,17.8,29,4.0,16,2.2,71,9.8
01W520,01,Mitte,520,W,015D,W,5,75,1399,716,18,698,94,13.5,216,30.9,146,20.9,129,18.5,25,3.6,6,0.9,82,11.7
01W521,01,Mitte,521,W,015D,W,5,75,1322,524,19,505,181,35.8,169,33.5,73,14.5,22,4.4,15,3.0,18,3.6,27,5.3
01W522,01,Mitte,522,W,015D,W,5,75,946,457,14,443,126,28.4,104,23.5,58,13.1,84,19.0,20,4.5,14,3.2,37,8.4
01W523,01,Mitte,523,W,015E,W,5,75,696,398,8,390,169,43.3,117,30.0,45,11.5,11,2.8,20,5.1,7,1.8,21,5.4
01W524,01,Mitte,524,W,015E,W,5,75,874,441,5,436,123,28.2,108,24.8,58,13.3,55,12.6,33,7.6,14,3.2,45,10.3
01W525,01,Mitte,525,W,015E,W,5,75,829,412,6,406,65,16.0,115,28.3,91,22.4,64,15.8,17,4.2,8,2.0,46,11.3
01W526,01,Mitte,526,W,015E,W,5,75,1483,736,10,726,98,13.5,164,22.6,150,20.7,165,22.7,32,4.4,20,2.8,97,13.4
01W600,01,Mitte,600,W,016A,W,6,75,1575,679,18,661,96,14.5,185,28.0,138,20.9,100,15.1,23,3.5,21,3.2,98,14.8
01W601,01,Mitte,601,W,016A,W,6,75,816,399,11,388,104,26.8,117,30.2,60,15.5,43,11.1,19,4.9,15,3.9,30,7.7
01W602,01,Mitte,602,W,016A,W,6,75,1099,608,6,602,111,18.4,145,24.1,138,22.9,113,18.8,26,4.3,6,1.0,63,10.5
01W603,01,Mitte,603,W,016A,W,6,75,945,448,14,434,50,11.5,112,25.8,95,21.9,78,18.0,16,3.7,10,2.3,73,16.8
01W604,01,Mitte,604,W,016A,W,6,75,849,354,16,338,60,17.8,109,32.2,81,24.0,35,10.4,12,3.6,5,1.5,36,10.7
01W605,01,Mitte,605,W,016B,W,6,75,1105,445,7,438,106,24.2,134,30.6,87,19.9,51,11.6,16,3.7,3,0.7,41,9.4
01W606,01,Mitte,606,W,016B,W,6,75,900,431,9,422,97,23.0,109,25.8,91,21.6,67,15.9,12,2.8,2,0.5,44,10.4
