address,vote_type,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,electoral_district_berlin_election_id,electoral_district_federal_election_id,berlin_east_west,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_spd,party_grüne,party_cdu,party_die_linke,party_afd,party_fdp,party_tierschutzpartei,party_die_partei,party_team_todenhöfer,party_freie_wähler,party_volt,party_mlpd,party_büso,party_sgp,party_bündnis_deutschland,party_bsw,party_mera25,party_pdf,aufn
01W218,Zweitstimme,01,Mitte,218,W,012M,2,74,O,1240,794,446,0,589,12,585,4,113,62,67,150,106,11,6,5,1,1,2,0,1,0,0,59,1,0,
01W219,Zweitstimme,01,Mitte,219,W,012M,2,74,O,978,534,444,0,448,17,448,0,72,111,69,87,46,25,0,3,1,1,5,0,0,1,0,24,3,0,
01W220,Zweitstimme,01,Mitte,220,W,012D,2,74,O,1068,715,353,0,531,15,527,4,91,63,53,157,69,15,5,3,4,0,3,0,0,0,2,61,1,0,
01W221,Zweitstimme,01,Mitte,221,W,012K,2,74,O,933,588,345,0,429,11,425,4,62,54,59,104,53,30,2,1,0,1,2,0,0,0,0,54,2,1,
01W222,Zweitstimme,01,Mitte,222,W,012I,2,74,O,1023,717,306,0,482,13,477,5,82,48,78,112,65,24,4,0,0,0,7,0,0,0,0,55,1,1,
01W223,Zweitstimme,01,Mitte,223,W,012J,2,74,O,776,549,227,0,377,5,375,2,56,40,38,112,61,10,9,1,1,0,2,0,0,0,0,44,0,1,
01W224,Zweitstimme,01,Mitte,224,W,012K,2,74,O,909,645,264,0,462,5,453,9,70,18,86,122,74,16,5,1,0,0,0,0,0,0,1,60,0,0,
01W225,Zweitstimme,01,Mitte,225,W,012J,2,74,O,1178,780,398,0,627,12,622,5,80,68,80,154,117,23,8,3,1,3,5,1,0,1,2,72,0,4,
01W226,Zweitstimme,01,Mitte,226,W,012N,2,74,O,1245,724,521,0,592,22,587,5,113,118,88,125,51,35,2,0,3,1,6,0,0,0,0,42,3,0,
01W227,Zweitstimme,01,Mitte,227,W,012P,2,74,O,1315,847,468,0,663,16,660,3,100,80,94,165,96,16,11,3,1,4,2,3,0,0,2,80,2,1,
01W228,Zweitstimme,01,Mitte,228,W,012Q,2,74,O,1289,867,422,0,678,11,671,7,93,77,74,175,138,17,16,4,4,2,3,0,0,1,0,65,2,0,
01W229,Zweitstimme,01,Mitte,229,W,012N,2,74,O,1094,637,457,0,503,11,503,0,61,147,67,142,35,18,4,2,1,1,1,0,0,0,0,24,0,0,
01W230,Zweitstimme,01,Mitte,230,W,012Q,2,74,O,935,511,424,0,390,14,389,1,51,123,42,111,22,16,3,4,0,1,3,0,0,0,0,11,2,0,
01B2A,Zweitstimme,01,Mitte,2A,B,012A,2,74,O,0,0,0,0,602,602,601,1,85,83,154,98,68,43,6,3,1,0,7,0,0,0,2,51,0,0,
01B2B,Zweitstimme,01,Mitte,2B,B,012B,2,74,O,0,0,0,0,758,758,758,0,136,115,170,133,84,33,8,3,0,0,12,0,0,0,0,64,0,0,
01B2C,Zweitstimme,01,Mitte,2C,B,012C,2,74,O,0,0,0,0,929,929,927,2,114,152,209,162,89,113,8,2,1,2,8,0,0,0,0,65,0,2,
01B2D,Zweitstimme,01,Mitte,2D,B,012D,2,74,O,0,0,0,0,686,686,683,3,111,96,115,178,63,24,2,5,0,2,8,1,0,0,0,78,0,0,
01B2E,Zweitstimme,01,Mitte,2E,B,012E,2,74,O,0,0,0,0,702,702,699,3,110,109,120,169,60,37,6,5,0,0,5,0,0,0,1,76,1,0,
01B2F,Zweitstimme,01,Mitte,2F,B,012F,2,74,O,0,0,0,0,802,802,801,1,104,238,132,164,42,65,4,5,2,3,9,0,0,0,0,32,1,0,
01B2G,Zweitstimme,01,Mitte,2G,B,012G,2,74,O,0,0,0,0,648,648,648,0,72,214,101,151,31,35,2,3,1,0,14,0,0,0,0,21,3,0,
01B2H,Zweitstimme,01,Mitte,2H,B,012H,2,74,O,0,0,0,0,711,711,710,1,80,206,135,124,43,52,5,5,1,2,8,0,0,0,2,44,2,1,
01B2I,Zweitstimme,01,Mitte,2I,B,012I,2,74,O,0,0,0,0,615,615,612,3,119,81,97,165,46,20,7,6,1,1,8,0,0,0,2,58,1,0,
01B2J,Zweitstimme,01,Mitte,2J,B,012J,2,74,O,0,0,0,0,564,564,564,0,105,71,77,152,74,13,8,3,2,3,7,0,1,1,1,46,0,0,
01B2K,Zweitstimme,01,Mitte,2K,B,012K,2,74,O,0,0,0,0,553,553,551,2,82,76,89,143,63,22,4,2,1,1,5,1,0,0,2,59,0,1,
01B2L,Zweitstimme,01,Mitte,2L,B,012L,2,74,O,0,0,0,0,830,830,818,12,120,168,168,149,52,59,4,8,0,2,12,0,0,0,0,71,2,3,
01B2M,Zweitstimme,01,Mitte,2M,B,012M,2,74,O,0,0,0,0,792,792,791,1,98,179,118,193,61,42,11,6,1,0,17,1,0,0,1,62,0,1,
01B2N,Zweitstimme,01,Mitte,2N,B,012N,2,74,O,0,0,0,0,876,876,876,0,136,227,175,172,58,43,4,4,2,3,11,0,0,0,0,39,1,1,
01B2P,Zweitstimme,01,Mitte,2P,B,012P,2,74,O,0,0,0,0,417,417,417,0,61,67,63,86,59,15,7,0,0,1,4,0,0,0,0,52,1,1,
01B2Q,Zweitstimme,01,Mitte,2Q,B,012Q,2,74,O,0,0,0,0,765,765,763,2,102,230,103,182,34,37,2,6,1,1,12,0,0,0,1,50,2,0,
01W300,Zweitstimme,01,Mitte,300,W,013A,3,74,W,819,553,266,0,397,11,395,2,58,82,27,132,39,15,6,5,0,1,4,0,0,0,0,24,0,2,
01W301,Zweitstimme,01,Mitte,301,W,013A,3,74,W,658,499,159,0,271,5,269,2,30,45,21,102,30,10,3,2,1,3,0,0,0,0,0,17,5,0,
01W302,Zweitstimme,01,Mitte,302,W,013B,3,74,W,907,577,330,0,417,8,411,6,67,74,51,121,42,19,2,2,0,1,2,0,0,0,0,28,1,1,
01W303,Zweitstimme,01,Mitte,303,W,013B,3,74,W,896,622,274,0,445,14,442,3,57,96,42,139,53,14,3,2,3,0,5,0,0,0,0,28,0,0,
01W304,Zweitstimme,01,Mitte,304,W,013C,3,74,W,891,651,240,0,450,12,443,7,73,77,42,138,45,13,4,2,3,1,4,0,0,0,0,38,2,1,
01W305,Zweitstimme,01,Mitte,305,W,013D,3,74,W,896,607,289,0,488,2,483,5,81,127,57,113,44,13,3,4,1,0,8,2,0,0,0,29,0,1,
01W306,Zweitstimme,01,Mitte,306,W,013C,3,74,W,1352,811,541,0,674,13,670,4,104,205,67,188,45,17,2,3,0,2,6,0,0,0,1,26,2,2,
01W307,Zweitstimme,01,Mitte,307,W,013E,3,74,W,1109,705,404,0,594,11,592,2,102,176,78,126,45,22,2,2,1,1,4,1,0,0,0,32,0,0,
01W308,Zweitstimme,01,Mitte,308,W,013F,3,74,W,1289,846,443,0,738,14,735,3,119,217,89,189,44,23,3,5,2,0,10,0,0,0,0,34,0,0,
01W309,Zweitstimme,01,Mitte,309,W,013F,3,74,W,936,583,353,0,465,9,463,2,74,113,77,121,23,19,2,1,2,0,3,0,0,0,2,25,0,1,
01W310,Zweitstimme,01,Mitte,310,W,013G,3,74,W,1045,553,492,0,459,11,459,0,70,153,66,89,25,18,1,3,1,1,9,0,0,0,0,23,0,0,
01W311,Zweitstimme,01,Mitte,311,W,013G,3,74,W,1134,713,421,0,549,10,548,1,100,114,69,141,60,9,4,1,3,0,1,0,0,0,0,45,0,1,
01W312,Zweitstimme,01,Mitte,312,W,013H,3,74,W,840,511,329,0,395,8,394,1,75,121,45,83,28,16,3,1,0,0,7,0,0,0,0,13,1,1,
01W313,Zweitstimme,01,Mitte,313,W,013H,3,74,W,1083,759,324,0,571,7,564,7,98,109,108,116,54,27,5,2,0,0,5,0,0,0,2,36,2,0,
01W314,Zweitstimme,01,Mitte,314,W,013I,3,74,W,798,553,245,0,409,7,407,2,65,90,48,103,38,9,6,2,0,1,5,0,0,1,0,37,1,1,
01W315,Zweitstimme,01,Mitte,315,W,013I,3,74,W,967,735,232,0,494,10,489,5,93,39,98,100,63,27,6,0,1,0,3,0,0,0,0,59,0,0,
01W316,Zweitstimme,01,Mitte,316,W,013D,3,74,W,1042,686,356,0,554,8,552,2,110,141,78,105,53,26,9,4,0,2,5,0,0,0,0,19,0,0,
01W317,Zweitstimme,01,Mitte,317,W,013E,3,74,W,1156,721,435,0,581,12,579,2,113,135,105,106,56,19,4,2,1,3,10,0,0,0,1,23,1,0,
01W318,Zweitstimme,01,Mitte,318,W,013J,3,74,W,953,624,329,0,485,12,480,5,90,111,73,109,31,14,4,0,1,0,9,0,0,0,0,38,0,0,
01W319,Zweitstimme,01,Mitte,319,W,013J,3,74,W,1062,659,403,0,533,12,532,1,107,115,102,109,40,29,1,0,0,1,4,0,0,0,2,18,0,4,
01W320,Zweitstimme,01,Mitte,320,W,013L,3,74,W,585,374,211,0,346,10,344,2,64,110,48,71,25,14,1,0,0,0,1,0,0,0,0,10,0,0,
01W321,Zweitstimme,01,Mitte,321,W,013K,3,74,W,1009,554,455,0,402,12,400,2,73,114,60,62,40,23,3,1,1,0,7,1,0,0,0,15,0,0,
01W322,Zweitstimme,01,Mitte,322,W,013K,3,74,W,1163,636,527,0,473,3,472,1,81,72,104,90,66,29,2,1,1,1,0,0,0,0,0,20,4,1,
01W323,Zweitstimme,01,Mitte,323,W,013L,3,74,W,1073,682,391,0,500,14,497,3,88,78,108,81,55,47,3,2,1,0,6,0,0,0,0,28,0,0,
01W324,Zweitstimme,01,Mitte,324,W,013M,3,74,W,1065,721,344,0,497,10,491,6,92,67,98,86,73,37,2,0,4,1,2,0,0,0,1,26,2,0,
01W325,Zweitstimme,01,Mitte,325,W,013L,3,74,W,726,407,319,0,276,6,276,0,27,38,74,32,51,39,0,0,0,0,2,0,0,0,0,13,0,0,
01W326,Zweitstimme,01,Mitte,326,W,013M,3,74,W,1057,771,286,0,519,12,511,8,97,83,84,126,40,36,1,2,2,0,4,0,0,0,1,34,1,0,
01W327,Zweitstimme,01,Mitte,327,W,013N,3,74,W,1056,710,346,0,509,6,508,1,82,114,92,92,49,26,3,4,1,1,5,0,0,0,1,35,2,1,
01W328,Zweitstimme,01,Mitte,328,W,013N,3,74,W,897,609,288,0,461,14,457,4,71,121,74,113,30,12,1,1,0,0,4,0,0,0,0,29,1,0,
01W329,Zweitstimme,01,Mitte,329,W,013P,3,74,W,830,591,239,0,414,10,412,2,63,69,58,111,34,24,1,1,3,0,3,1,0,0,0,43,0,1,
01W330,Zweitstimme,01,Mitte,330,W,013P,3,74,W,1217,783,434,0,617,13,614,3,88,165,65,171,51,29,5,2,2,1,4,0,0,0,0,26,2,3,
01B3A,Zweitstimme,01,Mitte,3A,B,013A,3,74,W,0,0,0,0,378,378,375,3,64,99,41,104,22,12,3,3,0,1,4,1,0,0,0,19,0,2,
01B3B,Zweitstimme,01,Mitte,3B,B,013B,3,74,W,0,0,0,0,534,534,533,1,66,152,62,156,26,23,5,6,3,0,4,0,0,0,0,26,2,2,
01B3C,Zweitstimme,01,Mitte,3C,B,013C,3,74,W,0,0,0,0,707,707,707,0,123,215,83,168,33,23,4,4,1,3,10,0,0,0,0,38,2,0,
01B3D,Zweitstimme,01,Mitte,3D,B,013D,3,74,W,0,0,0,0,603,603,603,0,116,178,97,120,21,27,4,3,0,0,13,0,0,0,0,20,4,0,
01B3E,Zweitstimme,01,Mitte,3E,B,013E,3,74,W,0,0,0,0,772,772,772,0,152,223,133,137,31,42,9,7,3,1,10,0,0,0,0,23,0,1,
01B3F,Zweitstimme,01,Mitte,3F,B,013F,3,74,W,0,0,0,0,727,727,726,1,136,260,105,141,23,13,5,7,1,0,10,0,0,0,0,24,1,0,
01B3G,Zweitstimme,01,Mitte,3G,B,013G,3,74,W,0,0,0,0,817,817,815,2,156,256,140,138,46,29,5,6,0,0,15,0,0,0,0,21,3,0,
01B3H,Zweitstimme,01,Mitte,3H,B,013H,3,74,W,0,0,0,0,613,613,612,1,122,170,110,111,28,34,4,2,3,0,9,0,0,0,0,17,1,1,
01B3I,Zweitstimme,01,Mitte,3I,B,013I,3,74,W,0,0,0,0,427,427,427,0,76,92,84,82,30,22,2,4,2,3,10,0,0,0,0,19,0,1,
01B3J,Zweitstimme,01,Mitte,3J,B,013J,3,74,W,0,0,0,0,653,653,651,2,131,160,114,136,21,33,11,4,2,0,13,0,0,0,2,22,1,1,
01B3K,Zweitstimme,01,Mitte,3K,B,013K,3,74,W,0,0,0,0,895,895,893,2,170,209,220,119,57,54,16,4,2,3,10,0,0,0,1,27,0,1,
01B3L,Zweitstimme,01,Mitte,3L,B,013L,3,74,W,0,0,0,0,837,837,837,0,114,201,242,77,67,78,10,3,0,3,9,0,0,0,2,29,2,0,
01B3M,Zweitstimme,01,Mitte,3M,B,013M,3,74,W,0,0,0,0,557,557,557,0,83,124,133,92,39,33,6,4,5,1,8,0,0,1,1,25,1,1,
01B3N,Zweitstimme,01,Mitte,3N,B,013N,3,74,W,0,0,0,0,565,565,565,0,99,168,90,103,26,31,1,3,2,0,5,0,0,0,0,35,2,0,
01B3P,Zweitstimme,01,Mitte,3P,B,013P,3,74,W,0,0,0,0,592,592,590,2,86,195,93,116,28,28,4,5,4,0,7,0,0,0,1,22,1,0,
01W400,Zweitstimme,01,Mitte,400,W,014A,4,74,W,988,683,305,0,452,5,451,1,51,73,51,142,59,12,1,5,7,1,4,0,0,0,1,42,0,2,
01W401,Zweitstimme,01,Mitte,401,W,014A,4,74,W,940,674,266,0,487,13,487,0,58,128,41,151,51,13,5,3,0,3,8,0,0,0,0,22,3,1,
01W402,Zweitstimme,01,Mitte,402,W,014B,4,74,W,892,648,244,0,421,8,413,8,72,59,37,135,48,15,5,1,4,0,7,0,0,0,1,29,0,0,
01W403,Zweitstimme,01,Mitte,403,W,014L,4,74,W,1179,744,435,0,545,18,542,3,89,138,42,154,49,14,8,5,1,0,8,0,0,1,2,29,1,1,
01W404,Zweitstimme,01,Mitte,404,W,014I,4,74,W,813,557,256,0,436,11,435,1,66,102,42,156,27,10,5,4,0,1,3,0,0,0,1,17,1,0,
01W405,Zweitstimme,01,Mitte,405,W,014C,4,74,W,1154,804,350,0,555,13,547,8,70,120,44,182,38,18,6,2,3,0,9,0,0,0,0,52,3,0,
01W406,Zweitstimme,01,Mitte,406,W,014B,4,74,W,896,597,299,0,393,5,392,1,68,72,35,112,45,12,6,3,2,0,4,1,0,0,0,30,0,2,
01W407,Zweitstimme,01,Mitte,407,W,014C,4,74,W,788,549,239,0,392,8,387,5,67,85,34,130,26,8,6,2,1,3,2,0,0,0,0,19,4,0,
01W408,Zweitstimme,01,Mitte,408,W,014D,4,74,W,1166,791,375,0,595,10,591,4,78,135,69,173,56,24,9,1,0,3,2,1,0,0,0,38,1,1,
01W409,Zweitstimme,01,Mitte,409,W,014E,4,74,W,995,686,309,0,541,11,538,3,84,138,47,171,30,14,6,2,2,1,1,1,0,0,0,39,2,0,
01W410,Zweitstimme,01,Mitte,410,W,014D,4,74,W,802,505,297,0,416,7,415,1,58,112,53,118,34,15,2,1,0,0,4,0,0,1,1,16,0,0,
01W411,Zweitstimme,01,Mitte,411,W,014E,4,74,W,965,668,297,0,524,7,519,5,87,107,42,169,45,10,6,5,2,1,3,7,0,0,0,34,0,1,
01W412,Zweitstimme,01,Mitte,412,W,014F,4,74,W,1037,693,344,0,518,6,515,3,78,136,53,141,40,24,8,3,3,1,2,1,0,0,0,25,0,0,
01W413,Zweitstimme,01,Mitte,413,W,014F,4,74,W,1163,776,387,0,620,20,617,3,94,163,70,155,61,24,3,3,0,0,8,1,0,0,0,31,3,1,
01W414,Zweitstimme,01,Mitte,414,W,014G,4,74,W,1059,743,316,0,548,8,542,6,82,126,52,179,31,13,5,11,0,2,2,0,0,0,0,38,1,0,
01W415,Zweitstimme,01,Mitte,415,W,014G,4,74,W,1146,797,349,0,567,19,562,5,97,107,54,189,36,16,5,2,3,0,7,1,0,0,1,41,3,0,
01W416,Zweitstimme,01,Mitte,416,W,014H,4,74,W,927,657,270,0,483,12,482,1,87,90,50,144,50,12,4,8,0,1,5,1,1,0,1,25,3,0,
01W417,Zweitstimme,01,Mitte,417,W,014H,4,74,W,1043,696,347,0,542,12,538,4,78,158,37,169,33,13,6,3,0,0,6,2,0,1,0,29,2,1,
