address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,berlin_east_west,electoral_district_berlin_election_id,electoral_district_federal_election_id,eligible_voters,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_grüne,party_grüne_percentage,party_cdu,party_cdu_percentage,party_die_linke,party_die_linke_percentage,party_afd,party_afd_percentage,party_fdp,party_fdp_percentage,others,others_percentage
Adresse,Bezirksnummer,Bezirksname,Wahlbezirk,Wahlbezirksart,Briefwahlbezirksnummer,OstWest,Abgeordnetenhauswahlkreis,Bundestagswahlkreis,Wahlberechtigte insgesamt,Wählende,Ungültige Stimmen,Gültige Stimmen,SPD,SPD in Prozent,GRÜNE,GRÜNE in Prozent,CDU,CDU in Prozent,DIE LINKE,DIE LINKE in Prozent,AfD,AfD in Prozent,FDP,FDP in Prozent,Sonstige,Sonstige in Prozent
03B7D,03,Pankow,7D,B,037D,O,07,75,0,624,2,622,104,16.720257234726688,161,25.884244372990356,111,17.845659163987136,104,16.720257234726688,40,6.430868167202572,23,3.697749196141479,79,12.700964630225082
03B7E,03,Pankow,7E,B,037E,O,07,75,0,585,2,583,95,16.295025728987994,166,28.473413379073758,88,15.09433962264151,126,21.612349914236706,25,4.288164665523156,16,2.7444253859348198,67,11.49228130360206
03B7F,03,Pankow,7F,B,037F,O,07,75,0,634,1,633,80,12.63823064770932,230,36.334913112164294,85,13.428120063191153,122,19.273301737756714,19,3.0015797788309637,33,5.213270142180095,64,10.110584518167457
03B7G,03,Pankow,7G,B,037G,O,07,75,0,382,1,381,42,11.023622047244094,152,39.89501312335958,48,12.598425196850393,69,18.11023622047244,9,2.3622047244094486,23,6.036745406824147,38,9.973753280839896
03B7H,03,Pankow,7H,B,037H,O,07,75,0,377,1,376,55,14.627659574468085,142,37.765957446808514,58,15.425531914893616,58,15.425531914893616,15,3.9893617021276597,17,4.521276595744681,31,8.24468085106383
03B7I,03,Pankow,7I,B,037I,O,07,75,0,415,0,415,57,13.734939759036143,144,34.69879518072289,64,15.421686746987953,76,18.313253012048193,16,3.8554216867469884,16,3.8554216867469884,42,10.120481927710843
03B7K,03,Pankow,7K,B,037K,O,07,75,0,424,2,422,62,14.691943127962084,160,37.91469194312796,65,15.402843601895736,65,15.402843601895736,17,4.028436018957346,19,4.502369668246446,34,8.056872037914692
03B7L,03,Pankow,7L,B,037L,O,07,75,0,375,2,373,54,14.47721179624665,103,27.61394101876676,72,19.302949061662197,61,16.353887399463808,21,5.630026809651475,16,4.289544235924933,46,12.332439678284182
03B7M,03,Pankow,7M,B,037M,O,07,75,0,349,0,349,49,14.040114613180515,121,34.67048710601719,54,15.472779369627506,65,18.624641833810887,13,3.7249283667621778,14,4.011461318051576,33,9.455587392550143
03B7N,03,Pankow,7N,B,037N,O,07,82,0,690,1,689,90,13.062409288824384,143,20.754716981132077,149,21.6255442670537,136,19.738751814223512,40,5.805515239477503,30,4.354136429608127,101,14.658925979680696
03B7P,03,Pankow,7P,B,037P,O,07,82,0,570,1,569,76,13.356766256590511,134,23.550087873462214,110,19.332161687170473,120,21.0896309314587,28,4.92091388400703,22,3.8664323374340945,79,13.884007029876976
03B7Q,03,Pankow,7Q,B,037Q,O,07,82,0,582,1,581,85,14.629948364888124,179,30.808950086058516,84,14.457831325301203,115,19.793459552495698,24,4.130808950086059,22,3.7865748709122204,72,12.392426850258175
03B7R,03,Pankow,7R,B,037R,O,07,82,0,538,0,538,78,14.49814126394052,141,26.20817843866171,103,19.144981412639407,103,19.144981412639407,28,5.204460966542751,25,4.646840148698884,60,11.152416356877323
03B7T,03,Pankow,7T,B,037T,O,07,82,0,619,0,619,87,14.054927302100161,193,31.179321486268176,88,14.216478190630049,128,20.678513731825525,23,3.715670436187399,21,3.392568659127625,79,12.762520193861066
03B8A,03,Pankow,8A,B,038A,O,08,82,0,502,2,499,79,15.831663326653306,126,25.250501002004004,89,17.835671342685373,102,20.440881763527056,36,7.214428857715431,13,2.6052104208416833,54,10.821643286573146
03B8B,03,Pankow,8B,B,038B,O,08,82,0,532,1,531,78,14.689265536723164,165,31.07344632768362,90,16.94915254237288,98,18.455743879472696,30,5.649717514124294,23,4.3314500941619585,47,8.851224105461393
03B8C,03,Pankow,8C,B,038C,O,08,82,0,646,3,643,81,12.597200622083982,260,40.43545878693624,89,13.841368584758943,96,14.930015552099535,15,2.332814930015552,45,6.998444790046657,57,8.864696734059098
03B8D,03,Pankow,8D,B,038D,O,08,82,0,741,2,739,93,12.584573748308525,299,40.46008119079838,100,13.531799729364005,118,15.967523680649526,15,2.029769959404601,54,7.307171853856563,60,8.119079837618404
03B8E,03,Pankow,8E,B,038E,O,08,82,0,446,1,445,54,12.134831460674157,185,41.57303370786517,53,11.910112359550562,70,15.730337078651685,7,1.5730337078651686,31,6.96629213483146,45,10.112359550561797
03B8F,03,Pankow,8F,B,038F,O,08,82,0,685,2,683,107,15.666178623718888,185,27.086383601756953,129,18.887262079062957,132,19.32650073206442,32,4.685212298682284,53,7.759882869692533,45,6.588579795021962
03B8G,03,Pankow,8G,B,038G,O,08,82,0,421,0,421,54,12.826603325415679,183,43.46793349168646,58,13.77672209026128,66,15.676959619952493,9,2.137767220902613,27,6.413301662707839,24,5.7007125890736345
03B8H,03,Pankow,8H,B,038H,O,08,75,0,666,1,665,81,12.180451127819548,235,35.338345864661655,94,14.135338345864662,128,19.248120300751882,18,2.706766917293233,46,6.917293233082707,63,9.473684210526317
