address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,berlin_east_west,electoral_district_berlin_election_id,electoral_district_federal_election_id,eligible_voters,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_grüne,party_grüne_percentage,party_afd,party_cdu,party_cdu_percentage,party_die_linke,party_die_linke_percentage,party_afd_percentage,party_fdp,party_fdp_percentage,others,others_percentage
Adresse,Bezirksnummer,Bezirksname,Wahlbezirk,Wahlbezirksart,Briefwahlbezirksnummer,OstWest,Abgeordnetenhauswahlkreis,Bundestagswahlkreis,Wahlberechtigte insgesamt,Wählende,Ungültige Stimmen,Gültige Stimmen,SPD,SPD in Prozent,GRÜNE,GRÜNE in Prozent,CDU,CDU in Prozent,DIE LINKE,DIE LINKE in Prozent,AfD,AfD in Prozent,FDP,FDP in Prozent,Sonstige,Sonstige in Prozent
07B7F,07,Tempelhof-Schöneberg,7F,B,077F,W,07,80,0,726,12,714,200,28.011204481792717,82,11.484593837535014,245,34.31372549019608,15,2.100840336134454,51,7.142857142857142,73,10.224089635854341,48,6.722689075630252
07B7G,07,Tempelhof-Schöneberg,7G,B,077G,W,07,80,0,700,8,692,190,27.45664739884393,72,10.404624277456648,232,33.52601156069364,18,2.601156069364162,47,6.791907514450866,84,12.138728323699421,49,7.08092485549133
07B7H,07,Tempelhof-Schöneberg,7H,B,077H,W,07,80,0,328,5,323,83,25.696594427244584,35,10.8359133126935,114,35.294117647058826,12,3.7151702786377707,15,4.643962848297214,33,10.21671826625387,31,9.597523219814242
07B7I,07,Tempelhof-Schöneberg,7I,B,077I,W,07,80,0,578,12,566,163,28.79858657243816,71,12.54416961130742,166,29.328621908127207,22,3.8869257950530036,41,7.243816254416961,63,11.130742049469964,40,7.06713780918728
07B7K,07,Tempelhof-Schöneberg,7K,B,077K,W,07,80,0,1426,17,1409,355,25.195173882185944,213,15.117104329311568,465,33.00212916962384,43,3.0518097941802695,66,4.68417317246274,184,13.058907026259758,83,5.8907026259758695
07B7L,07,Tempelhof-Schöneberg,7L,B,077L,W,07,80,0,1239,16,1223,301,24.611610793131643,171,13.982011447260835,431,35.241210139002455,37,3.025347506132461,67,5.478331970564186,148,12.101390024529843,68,5.560098119378577
07B7M,07,Tempelhof-Schöneberg,7M,B,077M,W,07,80,0,444,4,440,113,25.681818181818183,57,12.954545454545455,157,35.68181818181818,16,3.6363636363636362,22,5,50,11.363636363636363,25,5.681818181818182
07B7N,07,Tempelhof-Schöneberg,7N,B,077N,W,07,80,0,377,5,372,94,25.268817204301076,41,11.021505376344086,122,32.795698924731184,14,3.763440860215054,30,8.064516129032258,39,10.483870967741936,32,8.60215053763441
07B7P,07,Tempelhof-Schöneberg,7P,B,077P,W,07,80,0,641,9,632,178,28.164556962025316,81,12.81645569620253,189,29.90506329113924,19,3.0063291139240507,46,7.2784810126582276,66,10.443037974683545,53,8.38607594936709
07B7R,07,Tempelhof-Schöneberg,7R,B,077R,W,07,80,0,687,6,681,184,27.019089574155654,72,10.572687224669604,234,34.36123348017621,18,2.643171806167401,47,6.901615271659324,81,11.894273127753303,45,6.607929515418502
07B7S,07,Tempelhof-Schöneberg,7S,B,077S,W,07,80,0,740,4,736,166,22.554347826086957,100,13.586956521739129,243,33.016304347826086,30,4.076086956521739,62,8.423913043478262,75,10.190217391304348,60,8.152173913043478
07W101,07,Tempelhof-Schöneberg,101,W,071A,W,01,80,1028,359,8,351,77,21.937321937321936,77,21.937321937321936,55,15.669515669515668,22,6.267806267806268,30,8.547008547008547,51,14.529914529914532,39,11.11111111111111
07W102,07,Tempelhof-Schöneberg,102,W,071A,W,01,80,1026,374,11,363,97,26.72176308539945,84,23.140495867768596,35,9.641873278236915,43,11.84573002754821,19,5.234159779614325,43,11.84573002754821,42,11.570247933884298
07W103,07,Tempelhof-Schöneberg,103,W,071B,W,01,80,1036,394,13,381,95,24.93438320209974,90,23.62204724409449,40,10.498687664041995,54,14.173228346456693,26,6.824146981627297,33,8.661417322834646,43,11.286089238845145
07W104,07,Tempelhof-Schöneberg,104,W,071B,W,01,80,917,376,12,364,88,24.175824175824175,97,26.64835164835165,35,9.615384615384617,54,14.835164835164836,25,6.868131868131869,24,6.593406593406594,41,11.263736263736265
07W105,07,Tempelhof-Schöneberg,105,W,071C,W,01,80,1088,306,7,299,54,18.06020066889632,100,33.44481605351171,30,10.033444816053512,52,17.391304347826086,18,6.0200668896321075,7,2.341137123745819,38,12.709030100334449
07W106,07,Tempelhof-Schöneberg,106,W,071D,W,01,80,1130,411,7,404,101,25,94,23.26732673267327,66,16.33663366336634,28,6.9306930693069315,26,6.435643564356436,55,13.613861386138614,34,8.415841584158416
07W107,07,Tempelhof-Schöneberg,107,W,071E,W,01,80,1121,429,9,420,120,28.57142857142857,123,29.28571428571429,44,10.476190476190476,42,10,23,5.476190476190476,38,9.047619047619047,30,7.142857142857142
07W108,07,Tempelhof-Schöneberg,108,W,071F,W,01,80,987,382,6,376,94,25,129,34.308510638297875,33,8.77659574468085,49,13.031914893617023,16,4.25531914893617,30,7.9787234042553195,25,6.648936170212766
07W109,07,Tempelhof-Schöneberg,109,W,071F,W,01,80,989,382,8,374,93,24.86631016042781,127,33.9572192513369,35,9.358288770053475,46,12.299465240641712,16,4.27807486631016,28,7.4866310160427805,29,7.754010695187167
07W110,07,Tempelhof-Schöneberg,110,W,071G,W,01,80,1165,472,12,460,116,25.217391304347824,126,27.391304347826086,37,8.043478260869565,67,14.565217391304348,22,4.782608695652174,35,7.608695652173914,57,12.391304347826088
07W111,07,Tempelhof-Schöneberg,111,W,071C,W,01,80,1028,365,10,355,75,21.12676056338028,109,30.704225352112672,31,8.732394366197182,58,16.338028169014084,16,4.507042253521127,17,4.788732394366197,49,13.802816901408452
07W112,07,Tempelhof-Schöneberg,112,W,071H,W,01,80,1061,293,5,288,51,17.708333333333336,104,36.11111111111111,25,8.680555555555555,57,19.791666666666664,15,5.208333333333334,8,2.7777777777777777,28,9.722222222222223
07W113,07,Tempelhof-Schöneberg,113,W,071I,W,01,80,1240,336,4,332,52,15.66265060240964,134,40.36144578313253,36,10.843373493975903,56,16.867469879518072,9,2.710843373493976,15,4.518072289156627,30,9.036144578313253
07W114,07,Tempelhof-Schöneberg,114,W,071K,W,01,80,1120,385,7,378,91,24.074074074074073,89,23.544973544973544,72,19.047619047619047,31,8.201058201058201,19,5.026455026455026,45,11.904761904761903,31,8.201058201058201
