address,vote_type,district_id,district_name,electoral_district_id,electoral_district_type,electoral_district_berlin_election_id,electoral_district_federal_election_id,berlin_east_west,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,vote_yes,vote_no
01W407,,01,Mitte,407,,4,75,W,1191,902,289,0,642,11,11,631,393,238
01W408,,01,Mitte,408,,4,75,W,995,728,267,0,543,7,16,527,273,254
01W409,,01,Mitte,409,,4,75,W,960,696,264,0,494,2,8,486,303,183
01W410,,01,Mitte,410,,4,75,W,1274,929,345,0,686,8,11,675,394,281
01W411,,01,Mitte,411,,4,75,W,1076,799,277,0,522,0,5,517,333,184
01W412,,01,Mitte,412,,4,75,W,894,646,248,0,460,0,17,443,252,191
01W413,,01,Mitte,413,,4,75,W,863,653,210,0,444,5,10,434,263,171
01W414,,01,Mitte,414,,4,75,W,838,641,197,0,420,5,2,418,231,187
01W415,,01,Mitte,415,,4,75,W,861,603,258,0,464,0,13,451,245,206
01W416,,01,Mitte,416,,4,75,W,1075,810,265,0,550,6,16,534,339,195
01W417,,01,Mitte,417,,4,75,W,1168,879,289,0,540,5,8,532,310,222
01W418,,01,Mitte,418,,4,75,W,1119,851,268,0,501,6,7,494,321,173
01W419,,01,Mitte,419,,4,75,W,1268,950,318,0,672,9,11,661,382,279
01W420,,01,Mitte,420,,4,75,W,983,733,250,0,541,11,13,528,305,223
01W421,,01,Mitte,421,,4,75,W,813,638,175,0,434,2,5,429,271,158
01W422,,01,Mitte,422,,4,75,W,1008,710,298,0,447,8,9,438,238,200
01W423,,01,Mitte,423,,4,75,W,876,690,186,0,413,4,12,401,245,156
01W424,,01,Mitte,424,,4,75,W,1229,923,306,0,627,6,17,610,337,273
01W425,,01,Mitte,425,,4,75,W,1316,973,343,0,685,10,11,674,335,339
01W426,,01,Mitte,426,,4,75,W,1268,906,362,0,596,6,13,583,313,270
01W427,,01,Mitte,427,,4,75,W,866,621,245,0,400,0,4,396,207,189
01W428,,01,Mitte,428,,4,75,W,819,559,260,0,360,0,9,351,205,146
01W500,,01,Mitte,500,,5,75,W,1017,717,300,0,464,3,6,458,281,177
01W501,,01,Mitte,501,,5,75,W,834,632,202,0,417,2,7,410,218,192
01W502,,01,Mitte,502,,5,75,W,547,438,109,0,232,0,3,229,128,101
01W503,,01,Mitte,503,,5,75,W,1064,814,250,0,558,0,5,553,199,354
01W504,,01,Mitte,504,,5,75,W,667,535,132,0,308,1,4,304,204,100
01W505,,01,Mitte,505,,5,75,W,956,763,193,0,434,0,5,429,251,178
01W506,,01,Mitte,506,,5,75,W,983,710,273,0,496,1,3,493,226,267
01W507,,01,Mitte,507,,5,75,W,1480,1094,386,0,748,6,8,740,324,416
01W508,,01,Mitte,508,,5,75,W,1211,858,353,0,654,2,3,651,315,336
01W509,,01,Mitte,509,,5,75,W,1125,911,214,0,534,0,4,530,299,231
01W510,,01,Mitte,510,,5,75,W,1057,869,188,0,544,0,10,534,312,222
01W511,,01,Mitte,511,,5,75,W,1118,894,224,0,495,1,6,489,289,200
01W512,,01,Mitte,512,,5,75,W,1027,834,193,0,399,1,9,390,235,155
01W513,,01,Mitte,513,,5,75,W,1357,1073,284,0,698,6,8,690,346,344
01W514,,01,Mitte,514,,5,75,W,1035,813,222,0,487,4,10,477,270,207
01W515,,01,Mitte,515,,5,75,W,1324,1078,246,0,676,7,10,666,386,280
01W516,,01,Mitte,516,,5,75,W,985,777,208,0,457,1,5,452,272,180
01W517,,01,Mitte,517,,5,75,W,1364,1056,308,0,592,4,7,585,305,280
01W518,,01,Mitte,518,,5,75,W,1292,1030,262,0,562,3,6,556,316,240
01W519,,01,Mitte,519,,5,75,W,1314,1009,305,0,674,8,26,648,333,315
01W520,,01,Mitte,520,,5,75,W,1371,1031,340,0,672,3,11,661,329,332
01W521,,01,Mitte,521,,5,75,W,1287,1043,244,0,475,1,6,469,301,168
01W522,,01,Mitte,522,,5,75,W,889,619,270,0,423,1,0,423,207,216
01W523,,01,Mitte,523,,5,75,W,649,492,157,0,369,0,5,364,214,150
01W524,,01,Mitte,524,,5,75,W,853,606,247,0,409,0,12,397,218,179
01W525,,01,Mitte,525,,5,75,W,859,654,205,0,432,5,12,420,201,219
01W526,,01,Mitte,526,,5,75,W,1481,1046,435,0,703,7,10,693,342,351
01W600,,01,Mitte,600,,6,75,W,1457,1146,311,0,619,7,12,607,288,319
01W601,,01,Mitte,601,,6,75,W,792,633,159,0,420,2,10,410,191,219
01W602,,01,Mitte,602,,6,75,W,1040,807,233,0,577,2,1,576,203,373
01W603,,01,Mitte,603,,6,75,W,907,729,178,0,432,4,7,425,191,234
01W604,,01,Mitte,604,,6,75,W,849,703,146,0,353,0,4,349,196,153
01W605,,01,Mitte,605,,6,75,W,1090,860,230,0,497,0,9,488,249,239
01W606,,01,Mitte,606,,6,75,W,835,648,187,0,405,1,13,392,174,218
01W607,,01,Mitte,607,,6,75,W,861,686,175,0,304,3,9,295,131,164
01W608,,01,Mitte,608,,6,75,W,1017,809,208,0,431,6,16,415,189,226
01W609,,01,Mitte,609,,6,75,W,1094,908,186,0,552,2,6,546,264,282
01W610,,01,Mitte,610,,6,75,W,1122,954,168,0,524,9,5,519,266,253
01W611,,01,Mitte,611,,6,75,W,1363,1099,264,0,664,6,9,655,356,299
01W612,,01,Mitte,612,,6,75,W,975,796,179,0,441,4,4,437,218,219
01W613,,01,Mitte,613,,6,75,W,1435,1106,329,0,687,0,12,675,343,332
01W614,,01,Mitte,614,,6,75,W,1180,887,293,0,615,7,12,603,330,273
01W615,,01,Mitte,615,,6,75,W,896,737,159,0,389,0,6,383,212,171
01W616,,01,Mitte,616,,6,75,W,1123,843,280,0,537,4,7,530,228,302
01W617,,01,Mitte,617,,6,75,W,1031,804,227,0,493,5,18,475,262,213
01W618,,01,Mitte,618,,6,75,W,1402,1128,274,0,646,5,18,628,323,305
01W619,,01,Mitte,619,,6,75,W,1221,945,276,0,611,6,20,591,305,286
01W620,,01,Mitte,620,,6,75,W,976,782,194,0,445,1,9,436,256,180
01W621,,01,Mitte,621,,6,75,W,980,851,129,0,419,5,18,401,252,149
01W622,,01,Mitte,622,,6,75,W,662,540,122,0,263,0,8,255,146,109
01W623,,01,Mitte,623,,6,75,W,901,676,225,0,353,3,6,347,164,183
01W624,,01,Mitte,624,,6,75,W,1248,1017,231,0,501,5,23,478,273,205
01W625,,01,Mitte,625,,6,75,W,1017,847,170,0,488,3,12,476,295,181
01W700,,01,Mitte,700,,7,75,W,804,636,168,0,355,0,4,351,233,118
01W701,,01,Mitte,701,,7,75,W,1306,904,402,0,611,5,20,591,267,324
01W702,,01,Mitte,702,,7,75,W,1076,838,238,0,481,5,13,468,281,187
01W703,,01,Mitte,703,,7,75,W,841,661,180,0,406,3,10,396,234,162
01W704,,01,Mitte,704,,7,75,W,849,620,229,0,381,1,11,370,192,178
01W705,,01,Mitte,705,,7,75,W,968,686,282,0,484,7,14,470,221,249
01W706,,01,Mitte,706,,7,75,W,1203,855,348,0,578,10,9,569,283,286
01W707,,01,Mitte,707,,7,75,W,1209,890,319,0,650,7,16,634,340,294
01W708,,01,Mitte,708,,7,75,W,1141,874,267,0,554,2,5,549,303,246
01W709,,01,Mitte,709,,7,75,W,1087,829,258,0,533,5,12,521,272,249
01W710,,01,Mitte,710,,7,75,W,1300,1005,295,0,587,1,15,572,346,226
01W711,,01,Mitte,711,,7,75,W,1056,800,256,0,529,6,9,520,298,222
01W712,,01,Mitte,712,,7,75,W,1255,1010,245,0,576,0,10,566,330,236
01W713,,01,Mitte,713,,7,75,W,919,698,221,0,372,4,5,367,237,130
01W714,,01,Mitte,714,,7,75,W,1091,892,199,0,480,4,14,466,273,193
01W715,,01,Mitte,715,,7,75,W,1182,995,187,0,569,6,11,558,374,184
01W716,,01,Mitte,716,,7,75,W,913,755,158,0,446,0,9,437,299,138
01W717,,01,Mitte,717,,7,75,W,1127,932,195,0,534,4,8,526,356,170
01W718,,01,Mitte,718,,7,75,W,844,758,86,0,366,1,11,355,223,132
01W719,,01,Mitte,719,,7,75,W,985,875,110,0,456,3,19,437,307,130
01W720,,01,Mitte,720,,7,75,W,1198,949,249,0,595,6,18,577,349,228
01W721,,01,Mitte,721,,7,75,W,1116,964,152,0,500,1,16,484,339,145
01W722,,01,Mitte,722,,7,75,W,1023,845,178,0,530,0,17,513,308,205
01W723,,01,Mitte,723,,7,75,W,1044,828,216,0,537,2,6,531,307,224
01W724,,01,Mitte,724,,7,75,W,895,752,143,0,451,0,10,441,292,149
01W725,,01,Mitte,725,,7,75,W,1029,857,172,0,473,7,12,461,322,139
02W101,,02,Friedrichshain-Kreuzberg,101,,1,83,W,1095,681,414,0,504,8,12,492,260,232
02W102,,02,Friedrichshain-Kreuzberg,102,,1,83,W,1760,1162,598,0,918,13,24,894,406,488
02W103,,02,Friedrichshain-Kreuzberg,103,,1,83,W,1704,1115,589,0,864,16,33,831,380,451
02W104,,02,Friedrichshain-Kreuzberg,104,,1,83,W,1533,1039,494,0,821,13,24,797,400,397
02W105,,02,Friedrichshain-Kreuzberg,105,,1,83,W,1743,1176,567,0,859,12,22,837,478,359
02W106,,02,Friedrichshain-Kreuzberg,106,,1,83,W,1851,1267,584,0,973,11,33,940,452,488
02W107,,02,Friedrichshain-Kreuzberg,107,,1,83,W,1500,1026,474,0,697,8,19,678,323,355
02W108,,02,Friedrichshain-Kreuzberg,108,,1,83,W,1814,1236,578,0,938,17,18,920,444,476
02W109,,02,Friedrichshain-Kreuzberg,109,,1,83,W,1502,1064,438,0,812,12,26,786,333,453
02W110,,02,Friedrichshain-Kreuzberg,110,,1,83,W,1414,972,442,0,735,12,24,711,308,403
02W111,,02,Friedrichshain-Kreuzberg,111,,1,83,W,1597,1110,487,0,835,8,26,809,333,476
02W112,,02,Friedrichshain-Kreuzberg,112,,1,83,W,1748,1255,493,0,906,13,5,901,383,518
02W113,,02,Friedrichshain-Kreuzberg,113,,1,83,W,1518,974,544,0,805,10,33,772,290,482
02W114,,02,Friedrichshain-Kreuzberg,114,,1,83,W,1152,774,378,0,631,9,15,616,230,386
02W115,,02,Friedrichshain-Kreuzberg,115,,1,83,W,1329,895,434,0,697,4,4,693,293,400
02W116,,02,Friedrichshain-Kreuzberg,116,,1,83,W,1678,1147,531,0,889,13,36,853,361,492
02W117,,02,Friedrichshain-Kreuzberg,117,,1,83,W,1534,1216,318,0,761,7,19,742,366,376
02W118,,02,Friedrichshain-Kreuzberg,118,,1,83,W,1453,1054,399,0,696,14,33,663,257,406
02W119,,02,Friedrichshain-Kreuzberg,119,,1,83,W,1579,1094,485,0,837,13,36,801,305,496
02W120,,02,Friedrichshain-Kreuzberg,120,,1,83,W,1798,1285,513,0,920,21,31,889,387,502
02W121,,02,Friedrichshain-Kreuzberg,121,,1,83,W,1618,1085,533,0,879,14,25,854,323,531
02W122,,02,Friedrichshain-Kreuzberg,122,,1,83,W,1426,1136,290,0,696,8,23,673,301,372
02W201,,02,Friedrichshain-Kreuzberg,201,,2,83,W,1059,699,360,0,565,15,18,547,190,357
02W202,,02,Friedrichshain-Kreuzberg,202,,2,83,W,1351,1162,189,0,613,4,19,594,333,261
02W203,,02,Friedrichshain-Kreuzberg,203,,2,83,W,1150,853,297,0,579,3,14,565,268,297
02W204,,02,Friedrichshain-Kreuzberg,204,,2,83,W,869,652,217,0,476,8,14,462,202,260
02W205,,02,Friedrichshain-Kreuzberg,205,,2,83,W,1356,954,402,0,738,11,14,724,270,454
02W206,,02,Friedrichshain-Kreuzberg,206,,2,83,W,1374,972,402,0,686,26,30,656,256,400
02W207,,02,Friedrichshain-Kreuzberg,207,,2,83,W,1319,969,350,0,710,5,22,688,252,436
02W208,,02,Friedrichshain-Kreuzberg,208,,2,83,W,1084,760,324,0,595,13,19,576,263,313
02W209,,02,Friedrichshain-Kreuzberg,209,,2,83,W,1171,905,266,0,595,10,33,562,256,306
02W210,,02,Friedrichshain-Kreuzberg,210,,2,83,W,1166,820,346,0,573,10,32,541,199,342
02W211,,02,Friedrichshain-Kreuzberg,211,,2,83,W,1126,847,279,0,588,11,20,568,223,345
02W212,,02,Friedrichshain-Kreuzberg,212,,2,83,W,1207,884,323,0,722,14,23,699,234,465
02W213,,02,Friedrichshain-Kreuzberg,213,,2,83,W,1053,801,252,0,567,9,21,546,254,292
02W214,,02,Friedrichshain-Kreuzberg,214,,2,83,W,1427,1064,363,0,815,13,24,791,321,470
02W215,,02,Friedrichshain-Kreuzberg,215,,2,83,O,1702,1179,523,0,924,12,24,900,387,513
02W216,,02,Friedrichshain-Kreuzberg,216,,2,83,O,1302,867,435,0,680,8,38,642,274,368
02W217,,02,Friedrichshain-Kreuzberg,217,,2,83,O,1660,1111,549,0,938,10,29,909,349,560
02W218,,02,Friedrichshain-Kreuzberg,218,,2,83,O,1711,1174,537,0,901,6,37,864,364,500
02W219,,02,Friedrichshain-Kreuzberg,219,,2,83,O,974,671,303,0,517,6,20,497,195,302
02W220,,02,Friedrichshain-Kreuzberg,220,,2,83,O,1497,1066,431,0,832,7,23,809,338,471
02W221,,02,Friedrichshain-Kreuzberg,221,,2,83,O,1438,1014,424,0,760,5,30,730,330,400
02W222,,02,Friedrichshain-Kreuzberg,222,,2,83,O,1350,884,466,0,724,8,17,707,279,428
02W223,,02,Friedrichshain-Kreuzberg,223,,2,83,O,1697,1266,431,0,868,8,19,849,462,387
02W224,,02,Friedrichshain-Kreuzberg,224,,2,83,O,1423,1042,381,0,775,8,20,755,331,424
02W225,,02,Friedrichshain-Kreuzberg,225,,2,83,O,1445,1018,427,0,768,10,24,744,308,436
