id,district_id,electoral_district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_cdu,party_die_linke,party_spd,party_grüne,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_die_grauen,party_freie_wähler,party_verjüngungsforschung,party_ödp,party_du,party_v_partei3,party_dkp,party_mlpd,party_büso,party_sgp,party_wir_bürger,party_heimat,party_die_humanisten,party_team_todenhöfer,party_volt,party_die_basis,party_b,others,party_bündnis_21,other_applicant_1,other_applicant_2,other_applicant_3,other_applicant_menschliche_welt,other_applicant_4,other_applicant_5,other_applicant_6,other_applicant_7,other_applicant_8,other_applicant_9,voter_turnout,invalid_votes_percentage,valid_votes_percentage,party_cdu_percentage,party_die_linke_percentage,party_spd_percentage,party_grüne_percentage,party_afd_percentage,party_fdp_percentage,party_die_partei_percentage,party_tierschutzpartei_percentage,party_piraten_percentage,party_die_grauen_percentage,party_freie_wähler_percentage,party_verjüngungsforschung_percentage,party_ödp_percentage,party_du_percentage,party_v_partei3_percentage,party_dkp_percentage,party_mlpd_percentage,party_büso_percentage,party_sgp_percentage,party_wir_bürger_percentage,party_heimat_percentage,party_die_humanisten_percentage,party_team_todenhöfer_percentage,party_volt_percentage,party_die_basis_percentage,party_b_percentage,others_percentage,party_bündnis_21_percentage,other_applicant_1_percentage,other_applicant_2_percentage,other_applicant_3_percentage,other_applicant_menschliche_welt_percentage,other_applicant_4_percentage,other_applicant_5_percentage,other_applicant_6_percentage,other_applicant_7_percentage,other_applicant_8_percentage,other_applicant_9_percentage
086B,08,6B,0,0,0,0,394,394,388,6,119,7,113,40,30,46,8,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,0,2,0,0,1,0,0,0,0,2,0,0,0,inf,1.5228426395939088,98.47715736040608,30.670103092783506,1.804123711340206,29.12371134020619,10.309278350515463,7.731958762886598,11.855670103092782,2.0618556701030926,2.8350515463917527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25773195876288657,0.0,0.0,1.0309278350515463,0.0,1.0309278350515463,0.0,0.5154639175257731,0.0,0.0,0.25773195876288657,0.0,0.0,0.0,0.0,0.5154639175257731,0.0,0.0,0.0
086C,08,6C,0,0,0,0,298,298,295,3,111,13,81,20,19,35,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,inf,1.006711409395973,98.99328859060402,37.6271186440678,4.406779661016949,27.45762711864407,6.779661016949152,6.440677966101695,11.864406779661017,2.3728813559322033,2.0338983050847457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3389830508474576,0.0,0.0,0.0,0.0,0.3389830508474576,0.0,0.0,0.3389830508474576,0.0,0.0,0.0,0.0,0.0
086D,08,6D,0,0,0,0,618,618,609,9,207,22,175,59,45,65,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,inf,1.4563106796116505,98.54368932038835,33.99014778325123,3.6124794745484397,28.735632183908045,9.688013136289,7.389162561576355,10.673234811165845,0.8210180623973727,3.9408866995073892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49261083743842365,0.0,0.16420361247947454,0.0,0.16420361247947454,0.0,0.0,0.0,0.0,0.0,0.16420361247947454,0.0,0.16420361247947454,0.0,0.0,0.0
086E,08,6E,0,0,0,0,567,567,561,6,192,24,148,38,55,53,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,inf,1.0582010582010581,98.94179894179894,34.22459893048128,4.27807486631016,26.38146167557932,6.7736185383244205,9.803921568627452,9.44741532976827,1.2477718360071302,5.347593582887701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8912655971479502,0.0,1.2477718360071302,0.0,0.35650623885918004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
086F,08,6F,0,0,0,0,344,344,339,5,121,9,108,16,31,22,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,inf,1.4534883720930232,98.54651162790698,35.693215339233035,2.6548672566371683,31.858407079646017,4.71976401179941,9.144542772861357,6.489675516224189,0.8849557522123894,6.489675516224189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5899705014749262,0.0,1.1799410029498525,0.0,0.0,0.0,0.0,0.2949852507374631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
086G,08,6G,0,0,0,0,334,334,322,12,124,10,82,32,16,39,4,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,inf,3.592814371257485,96.40718562874252,38.50931677018634,3.1055900621118013,25.465838509316768,9.937888198757763,4.968944099378882,12.111801242236025,1.2422360248447204,2.484472049689441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3105590062111801,0.0,0.0,0.9316770186335404,0.0,0.3105590062111801,0.0,0.3105590062111801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3105590062111801,0.0,0.0,0.0
086H,08,6H,0,0,0,0,129,129,127,2,46,6,24,10,23,3,5,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,inf,1.550387596899225,98.44961240310077,36.22047244094488,4.724409448818897,18.89763779527559,7.874015748031496,18.11023622047244,2.3622047244094486,3.937007874015748,6.299212598425196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7874015748031495,0.0,0.0,0.0,0.0,0.0,0.0,0.7874015748031495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
086I,08,6I,0,0,0,0,292,292,289,3,121,11,77,24,18,27,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,inf,1.0273972602739725,98.97260273972603,41.86851211072664,3.8062283737024223,26.643598615916954,8.304498269896193,6.228373702422145,9.342560553633218,0.6920415224913495,1.7301038062283738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34602076124567477,0.0,0.6920415224913495,0.0,0.34602076124567477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
086J,08,6J,0,0,0,0,578,578,550,28,185,21,142,51,57,48,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,inf,4.844290657439446,95.15570934256056,33.63636363636363,3.8181818181818183,25.818181818181817,9.272727272727273,10.363636363636363,8.727272727272728,1.6363636363636365,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8181818181818181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.7272727272727273,0.0,0.0,0.0
086K,08,6K,0,0,0,0,519,519,509,10,211,22,116,25,57,30,6,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,inf,1.9267822736030826,98.07321772639692,41.45383104125737,4.322200392927308,22.789783889980352,4.911591355599214,11.19842829076621,5.893909626719057,1.1787819253438114,5.1080550098231825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19646365422396855,0.0,0.0,1.5717092337917484,0.0,0.7858546168958742,0.0,0.0,0.0,0.0,0.19646365422396855,0.0,0.0,0.0,0.0,0.3929273084479371,0.0,0.0,0.0
