electoral_district_id,electoral_district_name,district_name,eligible_voters,eligible_voters_a1,eligible_voters_a2,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_cdu,party_cdu_percentage,party_grüne,party_grüne_percentage,party_die_linke,party_die_linke_percentage,party_afd,party_afd_percentage,party_piraten,party_piraten_percentage,party_fdp,party_fdp_percentage,party_tierschutzpartei,party_tierschutzpartei_percentage,party_die_partei,party_die_partei_percentage,party_npd,party_npd_percentage,party_familie,party_familie_percentage,party_volksabstimmung,party_volksabstimmung_percentage,party_ödp,party_ödp_percentage,party_freie_wähler,party_freie_wähler_percentage,party_dkp,party_dkp_percentage,party_mlpd,party_mlpd_percentage,party_sgp,party_sgp_percentage,party_bp,party_bp_percentage,party_tierschutz_hier,party_tierschutz_hier_percentage,party_tierschutzallianz,party_tierschutzallianz_percentage,party_bündnis_c,party_bündnis_c_percentage,party_big,party_big_percentage,party_die_direkte,party_die_direkte_percentage,party_diem25,party_diem25_percentage,party_III_weg,party_III_weg_percentage,party_die_grauen,party_die_grauen_percentage,party_die_rechte,party_die_rechte_percentage,party_die_violetten,party_die_violetten_percentage,party_liebe,party_liebe_percentage,party_die_frauen,party_die_frauen_percentage,party_graue_panther,party_graue_panther_percentage,party_lkr,party_lkr_percentage,party_menschliche_welt,party_menschliche_welt_percentage,party_nl,party_nl_percentage,party_ökolinx,party_ökolinx_percentage,party_partei_für_die_tiere,party_partei_für_die_tiere_percentage,party_gesundheitsforschung,party_gesundheitsforschung_percentage,party_volt,party_volt_percentage
09 AH_WK 2,Abgeordnetenhauswahlkreis 2,Treptow-Köpenick,38713,32353,6360,21699,56,244,21455,2740.0,12,2171.0,10,4123.0,19,4281.0,20,2935.0,13,207.0,1,727.0,3,607.0,2,1405.0,6,76.0,0,249.0,1,50.0,0,143.0,0,152.0,0,66.0,0,20.0,0,9.0,0,15.0,0,96.0,0,61.0,0,17.0,0,16.0,0,52.0,0,29.0,0,204.0,1,13.0,0,111.0,0,17.0,0,25.0,0,73.0,0,39.0,0,119.0,0,36.0,0,30.0,0,26.0,0,53.0,0,93.0,0,54.0
09 AH_WK 3,Abgeordnetenhauswahlkreis 3,Treptow-Köpenick,35517,29642,5875,19786,55,229,19557,2521.0,12,2571.0,13,3406.0,17,3181.0,16,3387.0,17,147.0,0,860.0,4,514.0,2,895.0,4,102.0,0,293.0,1,42.0,0,122.0,0,202.0,1,54.0,0,19.0,0,5.0,0,12.0,0,109.0,0,54.0,0,23.0,0,11.0,0,29.0,0,31.0,0,138.0,0,8.0,0,136.0,0,5.0,0,29.0,0,36.0,0,31.0,0,103.0,0,28.0,0,34.0,0,18.0,0,16.0,0,69.0,0,68.0
09 AH_WK 4,Abgeordnetenhauswahlkreis 4,Treptow-Köpenick,35162,28694,6468,21195,60,215,20980,2740.0,13,2840.0,13,4111.0,19,3681.0,17,3175.0,15,179.0,0,905.0,4,471.0,2,975.0,4,99.0,0,242.0,1,50.0,0,121.0,0,174.0,0,41.0,0,11.0,0,5.0,0,15.0,0,84.0,0,51.0,0,17.0,0,5.0,0,37.0,0,14.0,0,164.0,0,14.0,0,116.0,0,12.0,0,21.0,0,20.0,0,40.0,0,105.0,0,24.0,0,28.0,0,20.0,0,30.0,0,51.0,0,53.0
09 AH_WK 5,Abgeordnetenhauswahlkreis 5,Treptow-Köpenick,30279,24876,5403,17593,58,185,17408,2434.0,14,2345.0,13,2603.0,15,3362.0,19,3049.0,17,99.0,0,723.0,4,364.0,2,676.0,3,159.0,0,253.0,1,44.0,0,114.0,0,125.0,0,43.0,0,12.0,0,5.0,0,18.0,0,75.0,0,63.0,0,13.0,0,5.0,0,27.0,0,15.0,0,102.0,0,17.0,0,100.0,0,10.0,0,15.0,0,19.0,0,35.0,0,98.0,0,22.0,0,38.0,0,7.0,0,24.0,0,36.0,0,77.0
09 AH_WK 6,Abgeordnetenhauswahlkreis 6,Treptow-Köpenick,33730,26792,6938,22459,66,219,22240,3148.0,14,3051.0,13,4649.0,20,4192.0,18,3039.0,13,134.0,0,946.0,4,389.0,1,878.0,3,67.0,0,188.0,0,32.0,0,133.0,0,149.0,0,58.0,0,11.0,0,8.0,0,13.0,0,84.0,0,46.0,0,15.0,0,9.0,0,33.0,0,22.0,0,194.0,0,5.0,0,110.0,0,6.0,0,19.0,0,32.0,0,42.0,0,91.0,0,38.0,0,35.0,0,17.0,0,40.0,0,33.0,0,53.0
10 AH_WK 1,Abgeordnetenhauswahlkreis 1,Marzahn-Hellersdorf,32052,29033,3019,12437,38,254,12183,1369.0,11,1142.0,9,1219.0,10,2847.0,23,2800.0,23,130.0,1,348.0,2,320.0,2,482.0,4,125.0,1,234.0,1,37.0,0,66.0,0,95.0,0,46.0,0,18.0,0,3.0,0,10.0,0,84.0,0,69.0,0,6.0,0,3.0,0,26.0,0,8.0,0,50.0,0,16.0,0,115.0,0,14.0,0,22.0,0,27.0,0,38.0,0,127.0,1,21.0,0,20.0,0,11.0,0,12.0,0,30.0,0,70.0
10 AH_WK 2,Abgeordnetenhauswahlkreis 2,Marzahn-Hellersdorf,34017,29246,4771,15917,46,206,15711,2081.0,13,1842.0,11,1592.0,10,3881.0,24,3141.0,20,159.0,1,484.0,3,340.0,2,501.0,3,136.0,0,201.0,1,40.0,0,75.0,0,130.0,0,71.0,0,17.0,0,7.0,0,15.0,0,73.0,0,53.0,0,10.0,0,9.0,0,21.0,0,25.0,0,72.0,0,16.0,0,145.0,0,11.0,0,13.0,0,23.0,0,40.0,0,166.0,1,15.0,0,18.0,0,7.0,0,14.0,0,42.0,0,46.0
10 AH_WK 3,Abgeordnetenhauswahlkreis 3,Marzahn-Hellersdorf,33505,30406,3099,13162,39,237,12925,1456.0,11,1152.0,8,1369.0,10,2822.0,21,2943.0,22,146.0,1,328.0,2,398.0,3,584.0,4,129.0,1,287.0,2,51.0,0,50.0,0,114.0,0,44.0,0,14.0,0,9.0,0,10.0,0,90.0,0,61.0,0,14.0,0,8.0,0,31.0,0,13.0,0,75.0,0,17.0,0,129.0,1,15.0,0,18.0,0,41.0,0,46.0,0,136.0,1,8.0,0,33.0,0,2.0,0,14.0,0,30.0,0,53.0
10 AH_WK 4,Abgeordnetenhauswahlkreis 4,Marzahn-Hellersdorf,34236,27881,6355,19881,58,210,19671,2476.0,12,3115.0,15,2918.0,14,4161.0,21,3234.0,16,142.0,0,717.0,3,380.0,1,742.0,3,85.0,0,202.0,1,37.0,0,102.0,0,153.0,0,91.0,0,18.0,0,6.0,0,12.0,0,66.0,0,61.0,0,13.0,0,3.0,0,23.0,0,27.0,0,103.0,0,9.0,0,149.0,0,10.0,0,12.0,0,25.0,0,47.0,0,152.0,0,41.0,0,20.0,0,9.0,0,22.0,0,44.0,0,54.0
10 AH_WK 5,Abgeordnetenhauswahlkreis 5,Marzahn-Hellersdorf,33653,26542,7111,22371,66,181,22190,2839.0,12,4138.0,18,3824.0,17,3549.0,16,3584.0,16,164.0,0,1075.0,4,403.0,1,714.0,3,62.0,0,237.0,1,42.0,0,126.0,0,186.0,0,48.0,0,14.0,0,9.0,0,27.0,0,72.0,0,45.0,0,21.0,0,4.0,0,37.0,0,30.0,0,136.0,0,12.0,0,139.0,0,6.0,0,14.0,0,22.0,0,34.0,0,137.0,0,57.0,0,22.0,0,16.0,0,25.0,0,55.0,0,57.0
