address,vote_type,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,electoral_district_berlin_election_id,electoral_district_federal_election_id,berlin_east_west,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_cdu,party_die_linke,party_spd,party_grüne,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_die_grauen,party_freie_wähler,party_verjüngungsforschung,party_ödp,party_du,party_v_partei3,party_dkp,party_mlpd,party_büso,party_sgp,party_wir_bürger,party_heimat,party_die_humanisten,party_team_todenhöfer,party_volt,party_die_basis,party_b,others,party_bündnis_21,other_applicant_1,other_applicant_2,other_applicant_3,other_applicant_meschliche_welt,other_applicant_4,other_applicant_5,other_applicant_6,other_applicant_7,other_applicant_8,other_applicant_9,aufn,partial_election_repetition
01W204,Erststimme,01,Mitte,204,W,012C,2,75,O,1581,774,807,0,525,16,514,11,111,51,128,90,43,68,3,4,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W205,Erststimme,01,Mitte,205,W,012C,2,75,O,1241,741,500,0,457,13,448,9,66,85,97,78,50,39,11,6,5,0,0,0,2,0,0,0,2,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W206,Erststimme,01,Mitte,206,W,012D,2,75,O,1321,791,530,0,491,5,484,7,59,95,101,110,44,34,7,12,5,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W207,Erststimme,01,Mitte,207,W,012D,2,75,O,1083,607,476,0,430,9,423,7,57,101,119,77,36,10,3,4,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,7,0,0,0,0,0,0,0,0,0,0,0,2,0,,
01W208,Erststimme,01,Mitte,208,W,012E,2,75,O,931,442,489,0,357,16,351,6,54,48,65,128,11,28,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W209,Erststimme,01,Mitte,209,W,012E,2,75,O,1160,623,537,0,488,20,483,5,48,76,82,174,24,41,14,6,1,0,0,0,2,0,0,0,1,0,0,0,0,2,0,3,8,0,0,0,0,0,0,0,0,0,0,1,0,0,,
01W210,Erststimme,01,Mitte,210,W,012F,2,75,O,1157,618,539,0,473,12,471,2,50,67,75,181,24,45,4,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W211,Erststimme,01,Mitte,211,W,012F,2,75,O,888,553,335,0,375,9,369,6,34,81,61,112,35,15,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,8,0,0,0,0,0,0,0,0,0,0,0,1,0,,
01W212,Erststimme,01,Mitte,212,W,012G,2,75,O,883,482,401,0,373,9,372,1,35,59,47,144,22,35,10,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,,
01W213,Erststimme,01,Mitte,213,W,012G,2,75,O,616,354,262,0,232,16,227,5,28,49,38,54,17,17,4,5,1,0,0,0,2,0,0,0,1,0,0,0,0,2,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W214,Erststimme,01,Mitte,214,W,012G,2,75,O,859,486,373,0,288,3,279,9,41,39,62,58,20,37,6,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W215,Erststimme,01,Mitte,215,W,012H,2,75,O,987,591,396,0,424,2,409,15,80,81,106,52,46,19,7,8,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W216,Erststimme,01,Mitte,216,W,012H,2,75,O,957,510,447,0,368,7,358,10,48,72,96,46,42,22,7,11,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,,
01W217,Erststimme,01,Mitte,217,W,012I,2,75,O,1012,613,399,0,359,3,349,10,50,84,86,52,27,26,4,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W218,Erststimme,01,Mitte,218,W,012I,2,75,O,980,629,351,0,414,8,401,13,63,88,111,39,48,20,9,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,,
01W219,Erststimme,01,Mitte,219,W,012I,2,75,O,770,511,259,0,303,12,296,7,32,60,83,48,36,14,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W220,Erststimme,01,Mitte,220,W,012J,2,75,O,1045,590,455,0,373,6,366,7,44,81,87,66,38,26,4,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,
